Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
Rivera G.C.,,Unusual General Rifling Characteristics in a Lorcin L25,2002,AFTE Journal,34,1,,52,,,,,,,"Gene C. Rivera, Charlotte-Mecklenburg Police Dept. Crime Lab, Charlotte, NC",Lorcin; 25 Auto; General Rifling Characteristics,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Gibson W.M. ,,Bryco Arms Makes a Model Name Change,2002,AFTE Journal,34,1,,52,,,,,,,"Wendy M. Gibson, Virginia Division of Forensic Science, Richmond, VA",Bryco Arms; Jennings Nine,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Bartocci C.R.,,"New Russian Assault Rifle, The AN94",2001,AFTE Journal,33,3,,275,276,,,,,,"Christopher R. Bartocci, Wisconsin State Crime Laboratory, Milwaukee, WI",AN94; Nikonov;AK47; AK74; 5.45x39mm; Russian rifles; Assault Rifle; BBSP,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Keisler M., Fazio J. ",,Hi-Point Firearms Hidden Serial Number,2001,AFTE Journal,33,93,,273,274,,,,,,"Sgt. M. Keisler and Sgt. J. Fazio, Firearms and Toolmark Examiners, Indiana State Police",Hidden Serial Number; Hi-Point Firearms; Polymer Frame,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Caunt R. ,,Interview with Sid Woodcock of Detonics Manufacturing Corp,2001,AFTE Journal,33,4,,354,358,,,,,,"Robert Caunt, Vancouver Police Department, Vancouver British Columbia, Canada",.451 Detonics Magnum; Compact 9; Combat Master; Detonics; Scoremaster; Servicemaster; Sid Woodcock,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Keisler M.A.,,Maschinengewehr 08/15,2001,AFTE Journal,33,3,,256,257,,,,,,"Sgt. Mark A. Keisler, Firearms and Toolmark Examiner, Indiana State Police, Indpls, IN",German Machine Gun; Maschinengewehr 08/15; Maxim Machine Gun; MG 08/15; World War I,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Neel M.T., Fullerton A.T., Correa J.J.J. ",,The Unique Modular System of the Infinity Firearm,2002,AFTE Journal,34,2,,205,206,,,,,,"Michael T. Neel, Bureau of Alcohol, Tabacco, & Firearms, Atlanta Forensic Science Laboratory, Atlanta, GA; Aaron T. Fullerton, Texas Department of Public Safety Crime Laboratory, Lubbock, TX; Joseph J.J. Correa, Texas Department of Public Safety Crime Lab",Infinity firearms; interchangeable breechface; modular system; Strayer-Voigt,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Nedivi L., Giverts P., Shoshani E., Brauner P.",,The Magal - A New Weapon in the Fight on Urban Terrorism,2003,AFTE Journal,35,1,,72,73,,,,,,"A Case Report By Lior Nedivi, Israel National Police, Pavel Giverts & Ezra Shoshani, Weapons Identification Laboratory, DIFS, Israel Police National Headquarters, and Paul Brauner, DIFS, Israel National Police Headquarters",MAGAL; urban weapon;.30 carbine; 7.62X33mm; urban terrorism,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Hayes C.M.,,Personal Defence Weapons - Answer in Search of a Question?,2001,Wound Ballistics Review,5,1,,30,36,,,,,,,,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Zielinski K.R. ,,"Full-Auto Conversion of an Uzi, Model B",2002,AFTE Journal,34,4,,399,400,,,,,,"A Case Report By Kurt R Zielinski, Illinois State Police Forensic Science Center, Chicago, IL",Conversion; Full Auto; Model B; Uzi,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Bartocci C.R.,,Fire Control Part Variations in Colt M16/AR15 and Sporter Type Rifles,2003,AFTE Journal,35,1,,12,18,,,,,,"By: Christopher R. Bartocci, Wisconsin State Crime Laboratory, Milwaukee, WI",M16; M16A1; M16A2; M4; AR15; Colt Sporter; Colt Match; Post-Ban Colt Sporter; Full Auto Conversion; Fire Control Group Differences,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"DeFrance C.S., Van Arsdale M.D. ",,Full Auto Conversion of Colt AR-15 and Norinco MAK-90,2002,AFTE Journal,34,2,,170,171,,,,,,"Charles S. DeFrance and Michael D. Van Arsdale, Federal Bureau of Investigation, Washington, D.C.",full auto conversion; Colt; AR-15; Norinco; MAK-90,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Allen S., Spinder T. ",,Full-Auto Intratec or Not,2002,AFTE Journal,34,1,,49,,,,,,,"Susan Allen and Travis Spinder, Southwestern Institute of Forensic Sciences, Dallas, TX",Conversion; disconnector; fullautomatic; Intratec Tec 9; modify,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Shoshani E., Nedivi L., Giverts P.",,Ejector's Cut-Out Marks in Shotguns and Their Comparison Value,2002,AFTE Journal,34,4,,391,393,,,,,,"A Case Report By Ezra Shoshani, Lior Nedivi, and Pavel Giverts, Israel National Police",Ejector cut-out marks; Breda; Remington; Beretta; shotgun; class characteristics; individual characteristics,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Bartocci C.R.,,The Current Production ArmaLite AR-10 Series Rifle,2002,AFTE Journal,34,3,,312,313,,,,,,"Christopher R. Bartocci, Wisconsin State Crime Laboratory, Milwaukee, WI",ArmaLite; AR-10; AR-10B; AR-10A2; SR25; Eagle Arms; Knight's Armament; Knight's Manufacturing,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Thompson E., Wyant R.",,Sardius 9mm Semi-Automatic Pistol,2002,AFTE Journal,34,3,,319,,,,,,,"Evan Thompson and Rick Wyant, Washington State Patrol Crime Laboratory, Marysville, Washington",Sardius; semiautomatic,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Amberger R. ,,Unusually Rifled Shotgun Barrel,2002,AFTE Journal,34,3,,311,,,,,,,"A Case Report By Richard Amberger, Illinois State Police, Metro-East Forensic Laboratory, Fairview Heights, Illinois",Shotgun Barrel; Polygonal Rifling,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Shoshani E., Argaman U., Hocherman G., Koffman A. ",,Metal Chip Marks on Fired Cartridge Cases,2002,AFTE Journal,34,2,,172,174,,,,,,"Ezra Shoshani, B.Sc. (Eng.), Uri Argaman, M.B.A., B.Sc. (Eng.), Gil Hocherman, M.Sc. (Eng.), Avi Koffman, B.Sc. (Eng.), Firearms Identification Laboratory, Division of Identification and Forensic Science (DIFS), Israel Police National Headquarters, Jerusa",metal chip; cartridge case; individual characteristics,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Wallace E. ,,Rivet Impression in Bullet Nose,2002,AFTE Journal,34,2,,168,169,,,,,,"Edward Wallace, Bexar County Criminal Investigation Laboratory, San Antonio, TX",Bullet Nose; Impact; Ralph Lauren Jeans; Rivet,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Register R E., Beach G.T. ",,Unusual Breech Face on a Taurus Firearm...?,2001,AFTE Journal,33,4,,334,,,,,,,"Richard E. Register and Glen T. Beach, Bureau of Alcohol, Tobacco and Firearms, Forensic Science Laboratory, Rockville, MD",Breech face; Concave firing pin aperture; Drilling operation; Taurus PT92AFS,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Moline K. ,,Identification of a Compensated Glock Pistol,2001,AFTE Journal,33,4,,333,,,,,,,"Kurt Moline, Bureau of Criminal Apprehension Forensic Science Laboratory, St. Paul, MN",Compensated Pistols; Glock Pistols; Identification; Ported Barrels,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Monturo C. ,,Breechface Marks of the Beretta Model 3032 Tomcat,2001,AFTE Journal,33,2,,142,,,,,,,"Chris Monturo, Miami Valley Regional Crime Laboratory, Dayton, OH",Breechface marks; .32 ACP ; Beretta,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Bartocci C.R.,,"Characteristics of the 7.62 x 39mm Cartridge, Telling Whether a Fired Cartridge Case Was Fired in an SKS or AK Type Rifle",2002,AFTE Journal,34,2,,144,147,,,,,,"Christopher R. Bartocci, Wisconsin State Crime Laboratory, Milwaukee",SKS; AK47; AKM; AK74; Galil; Receiver Marks; Receiver Cover Marks; Ejection Marks; 7.62x39mm and 5.45x39mm,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Hocherman G., Giverts P., Shosani E. ",,Identification of Polygonal Barrel Sub-Family Characteristics,2003,AFTE Journal,35,2,,197,200,,,,,,"By: Gil Hocherman, Pavel Giverts, Ezra Shosani, Division of Identification and Forensic Science, Israel Police National H.Q., Jerusalem, Israel",Polygonal barrel; rifling; identification; bullet; family characteristics; Jericho; Glock; Heckler & Koch,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Clark J.R. ,,An Interesting Magazine Mark,2003,AFTE Journal,35,1,,71,,,,,,,"A Case Report By John R. Clark, Monroe County Dept. of Public Safety Crime Laboratory, Rochester, NY",Beretta Model 3032; breech face; magazine; magazine mark; striated; weld,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Coody A.C.,,Consecutively Manufactured Ruger P-89 Slides,2003,AFTE Journal,35,2,,157,160,,,,,,"By: Amy C. Coody, Kansas Bureau of Investigation, Topeka, Kansas",Bead blasting; Breechface shear; Chamfering; Consecutive Breechface(s); Consecutive Breechface Marks; Consecutive Ruger slides; Filing; Identification; Individual characteristics,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Thompson E., Wyant R.",,9mm Smith & Wesson Ejectors,2002,AFTE Journal,34,4,,406,407,,,,,,"A Technical Report By Evan Thompson and Rick Wyant, Washington State Patrol Crime Laboratory, Marysville, Washington",Ejectors; class characteristics; family and individual characteristics,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"DeFrance C.S., Van Arsdale M.D. ",,Validation Study of Electrochemical Rifling,2003,AFTE Journal,35,1,,35,37,,,,,,"By: Charles S. DeFrance and Michael D. Van Arsdale, Federal Bureau of Investigation, Washington, D.C.",electrochemical machining; electrochemical rifling; ECR; validation study,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Cooper M.,,"Serial Number ""Restoration"" on a Colt All American Model 2000",2002,AFTE Journal,34,1,,48,,,,,,,"Michael Cooper, Southern Illinois Forensic Science Centre, Carbondale, Illinois",Serial Number; Mikrosil; Serial Number Plate; Colt All American Model 2000,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Shoshani E., Klain A., Argaman U.",,Altering a Serial Number,2001,AFTE Journal,33,2,,133,134,,,,,,"Ezra Shoshani, B.Sc, Asny Klain, Uri Argaman, B.Sc, Division of Identification and Forensic Science (D.I.F.S.), Israel National Police, Police Headquarters, Jerusalem, Israel",serial number; CZ 75; reprint; alteration,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Klees G.S. ,,The Restoration of Obliterated Laser-Etched Firearm Identifiers by Conventional and Alternative Decryption Methods,2002,AFTE Journal,34,3,,264,267,,,,,,"Gregory S. Klees, Bureau of Alcohol, Tobacco and Firearms, Washington Forensic Science Laboratory, Rockville, Maryland",serial number; restoration; barcode; laser etching; decryption,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Hiss J., Shoshani E., Zaitsew K., Giverts P., Kahana T.",7004012984;56615653900;6504795860;6504185253;55996637700;,Self-inflicted gunshot wound caused by a home-made gun - Medico-legal and ballistic examination,2003,Journal of Clinical Forensic Medicine,10,3,,165,168,,16,10.1016/S1353-1131(03)00040-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141854281&doi=10.1016%2fS1353-1131%2803%2900040-3&partnerID=40&md5=4dafbdbae462e565ea3cc1af664373c4,"The National Centre of Forensic Med., 67 Ben Zvi Street, Tel Aviv 61085, Israel; Div. of Identification/Forensic Sci., Israel National Police, Jerusalem, Israel","Hiss, J., The National Centre of Forensic Med., 67 Ben Zvi Street, Tel Aviv 61085, Israel; Shoshani, E., Div. of Identification/Forensic Sci., Israel National Police, Jerusalem, Israel; Zaitsew, K., The National Centre of Forensic Med., 67 Ben Zvi Street, Tel Aviv 61085, Israel; Giverts, P., Div. of Identification/Forensic Sci., Israel National Police, Jerusalem, Israel; Kahana, T., Div. of Identification/Forensic Sci., Israel National Police, Jerusalem, Israel",Ballistic; Ballistic examination; Fatal; Gunpowder; Gunshot; Gunshot wound; Penetrating; Self-infliction; Suicide; Wound; Zip gun,gunpowder; adult; article; automutilation; autopsy; ballistics; case report; criminal behavior; depression; fatality; firearm; forensic medicine; gunshot injury; human; male; medical literature; medicolegal aspect; suicide; thorax injury,,Article,Final,,Scopus,2-s2.0-0141854281,,IFSMS 2004,Firearms,Firearms
"Üner H.B., Gökdoǧan M.R., Çakan H.",6601985132;6506465469;6602233637;,Some samples of weapons and instruments used as weapon in criminal offenses in Turkey,2003,Forensic Science International,132,2,,113,116,,12,10.1016/S0379-0738(03)00004-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037468914&doi=10.1016%2fS0379-0738%2803%2900004-5&partnerID=40&md5=8d0fe3b357899b3f0a4122ed7cf82973,"Institute of Forensic Sciences, Istanbul University, 34303 Cerrahpaşa, Istanbul, Turkey","Üner, H.B., Institute of Forensic Sciences, Istanbul University, 34303 Cerrahpaşa, Istanbul, Turkey; Gökdoǧan, M.R., Institute of Forensic Sciences, Istanbul University, 34303 Cerrahpaşa, Istanbul, Turkey; Çakan, H., Institute of Forensic Sciences, Istanbul University, 34303 Cerrahpaşa, Istanbul, Turkey",Criminalistic; Firearms; Instruments; Sharp-pointed weapons,adult; article; case report; human; legal aspect; male; offender; priority journal; Turkey (republic); violence; weapon,,Article,Final,,Scopus,2-s2.0-0037468914,,IFSMS 2004,Firearms,Firearms
"Shakir A., Koehler S.A., Wecht C.H.",7003839328;7005605874;7004811733;,A review of nail gun suicides and an atypical case report,2003,Journal of Forensic Sciences,48,2,,409,413,,20,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037344711&partnerID=40&md5=3fea2ffe8a1b23d2de74b1f643073041,"Allegheny County Coroner's Office, 542 Fourth Avenue, Pittsburgh, PA 15219, United States","Shakir, A., Allegheny County Coroner's Office, 542 Fourth Avenue, Pittsburgh, PA 15219, United States; Koehler, S.A., Allegheny County Coroner's Office, 542 Fourth Avenue, Pittsburgh, PA 15219, United States; Wecht, C.H., Allegheny County Coroner's Office, 542 Fourth Avenue, Pittsburgh, PA 15219, United States",Atypical case; Forensic science; Nail gun; Ring of bone; Suicide,adult; article; autopsy; bone defect; case report; clinical feature; depression; equipment; firearm; forensic pathology; human; male; nail gun; priority journal; skull radiography; suicide; suicide attempt; Construction Materials; Foreign Bodies; Forensic Medicine; Head Injuries; Penetrating; Humans; Male; Middle Aged; Suicide,,Article,Final,,Scopus,2-s2.0-0037344711,,IFSMS 2004,Firearms,Firearms
"Desmarais A., Attar L.",,Alarm Pistols Firing 9mm K. (.380 A.C.P),2002,AFTE Journal,34,4,,401,402,,,,,,"A Case Report By Andre' Desmarais and Lakdar Attar, Laboratoire de Police Scientifique de Lyon, France",9mm A.C.P.; 9mm Kurz. 9mm Knall; 9mm P.A.K.; alarm pistols; blank pistols; blanks,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Argaman U., Shoshani E., Klein A.",,An Altered Revolver,2002,AFTE Journal,34,4,,394,395,,,,,,"A Case Report By Uri Argaman and Ezra Shoshani, Division of Identification & Forensic Science (D.I.F.S.), Israel Police National Headquarters, Jerusalem, Israel",weapon alteration; homemade weapon; revolver,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Ventura F., Blasi C., Celesti R.",23010828100;7003407055;6507365565;,Suicide with the latest type of slaughterer's gun,2002,American Journal of Forensic Medicine and Pathology,23,4,,326,328,,13,10.1097/00000433-200212000-00004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036904740&doi=10.1097%2f00000433-200212000-00004&partnerID=40&md5=f82771fea2d9ceaa2f6bf5e6d0de5f20,"Department of Forensic Medicine, University of Genoa, Division of Forensic Medicine, Genoa, Italy","Ventura, F., Department of Forensic Medicine, University of Genoa, Division of Forensic Medicine, Genoa, Italy; Blasi, C., Department of Forensic Medicine, University of Genoa, Division of Forensic Medicine, Genoa, Italy; Celesti, R., Department of Forensic Medicine, University of Genoa, Division of Forensic Medicine, Genoa, Italy",Captive bolt pistol; Slaughterer's gun; Suicide,adult; article; case report; firearm; forensic pathology; gunshot injury; head injury; human; male; suicide; Head Injuries; Penetrating; Humans; Male; Middle Aged; Suicide; Wounds; Gunshot,,Article,Final,,Scopus,2-s2.0-0036904740,,IFSMS 2004,Firearms,Firearms
MacDonald M. ,,Pen Guns and Zip Guns,2002,PROHIBITED AND CONCEALED WEAPONS REVIEW,8,,,15,,,,,,,,,,,Review,,,,,,IFSMS 2004,Firearms,Firearms
Hertel G.W.,,The Safegom Revolver,2002,AFTE Journal,34,3,,320,321,,,,,,The Safegom Revolver,Safegom revolver; non-lethal weapon; rubber projectiles,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Argaman U., Shoshani E. ",,A Lethal Paint Pistol,2002,AFTE Journal,34,3,,304,305,,,,,,"Uri Argaman and Ezra Shoshani, Firearms Identification Laboratory, Division of Identification & Forensic Science (D.I.F.S.), Israel Police National Headquarters, Jerusalem, Israel",weapon alteration; homemade weapon; paint-pistol,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Shiers A. ,,Disguised and Converted Firearms: POLICE-REPORT,2002,,,,,1,4,,,,,,,,,,Others,,,,,,IFSMS 2004,Firearms,Firearms
"Tyquiengco J., Toves E.",,A Homemade Firearm,2001,AFTE Journal,33,3,,259,260,,,,,,"J. Tyquiengco and E. Toves, Guam Police Forensic Science Division, Tiyan, Guam U.S.A.",homemade device,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Argaman U., Shoshani E. ",,Dangerous Walking Stick,2001,AFTE Journal,33,3,,248,250,,,,,,Dangerous Walking Stick,weapon alteration; homemade weapon; walking stick; cane; concealed firearm; zip-gun,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Grandy J. ,,The Construction and Relative Efficiency of a Homemade Sound Suppressor vs. a Commercial Mode,2001,AFTE Journal,33,2,,103,111,,,,,,"Jennifer Grandy, Strathclyde University, Master's Intern, Indianapolis-Marion County Forensic Services Agency, Indianapolis, Indiana",Ciener; suppressor; baffles; precursor wave; blow-by; supersonic crack; jet noise; muzzle blast,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Caunt R. ,,Dieseling of Airguns Using Commonly Available Fuels,2003,AFTE Journal,35,2,,167,173,,,,,,"Robert Caunt, Vancouver Police Department Forensic Firearm Unit, Vancouver, Canada",Adiabatic compression; airgun; airgun dieseling; Barakuda device; detonation; diesel; overlubrication; secondary ignition; timing,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Hartig J.S., Najafi-Shoushtari S.H., Grüne I., Yan A., Ellington A.D., Famulok M.",7003584811;7005830578;6506470966;7103203056;35497668300;57205787618;,Air rifle injury with an entrance through the nose: A case report and review of the literature,2002,International Journal of Legal Medicine,116,5,,292,294,,9,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036919906&partnerID=40&md5=b3390a0031d7606d84b2fa925766eb40,"Kekulé Institut f�r Organische Chemie und Biochemie, University of Bonn, Gerhard-Domagk-Strasse 1, 53121 Bonn, Germany; Department of Chemistry and Biochemistry, University of Texas, ICMB A4800/MBB 3.448BA, 26th and Speedway, Austin, TX 78712, United States","Hartig, J.S., Kekulé Institut f�r Organische Chemie und Biochemie, University of Bonn, Gerhard-Domagk-Strasse 1, 53121 Bonn, Germany; Najafi-Shoushtari, S.H., Kekulé Institut f�r Organische Chemie und Biochemie, University of Bonn, Gerhard-Domagk-Strasse 1, 53121 Bonn, Germany; Grüne, I., Kekulé Institut f�r Organische Chemie und Biochemie, University of Bonn, Gerhard-Domagk-Strasse 1, 53121 Bonn, Germany; Yan, A., Department of Chemistry and Biochemistry, University of Texas, ICMB A4800/MBB 3.448BA, 26th and Speedway, Austin, TX 78712, United States; Ellington, A.D., Department of Chemistry and Biochemistry, University of Texas, ICMB A4800/MBB 3.448BA, 26th and Speedway, Austin, TX 78712, United States; Famulok, M., Kekulé Institut f�r Organische Chemie und Biochemie, University of Bonn, Gerhard-Domagk-Strasse 1, 53121 Bonn, Germany",Air rifle; Gunshot injury; Potential lethality,adult; article; ballistics; case report; computer assisted tomography; entrance wound; female; gunshot injury; homicide; human; lethality; maxilla; neurologic disease; nose; priority journal; sphenoid; velocity; wound,,Article,Final,,Scopus,2-s2.0-0036919906,,IFSMS 2004,Firearms,Firearms
"Bock H., Neu M., Betz P., Seidl S.",7201825965;7006744784;7006587183;57201300107;,Unusual craniocerebral injury caused by a pneumatic nail gun,2002,International Journal of Legal Medicine,116,5,,279,281,,25,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036910806&partnerID=40&md5=d4faf8e1b184ad9ec56a07c25175fcec,"Department of Legal Medicine, University of Erlangen-Nuremberg, Universitätsstrasse 22, 91054 Erlangen, Germany","Bock, H., Department of Legal Medicine, University of Erlangen-Nuremberg, Universitätsstrasse 22, 91054 Erlangen, Germany; Neu, M.; Betz, P., Department of Legal Medicine, University of Erlangen-Nuremberg, Universitätsstrasse 22, 91054 Erlangen, Germany; Seidl, S., Department of Legal Medicine, University of Erlangen-Nuremberg, Universitätsstrasse 22, 91054 Erlangen, Germany",Cranial injury; Nail gun,adult; article; case report; disease course; forensic medicine; head injury; hemiparesis; human; male; nail; priority journal; resuscitation; skull radiography; suicidal behavior; Accidents; Occupational; Adult; Construction Materials; Foreign Bodies; Forensic Medicine; Head Injuries; Penetrating; Humans; Male; Suicide; Attempted,,Article,Final,,Scopus,2-s2.0-0036910806,,IFSMS 2004,Firearms,Firearms
"Anders S., Junge M., Schulz F., Püschel K.",57200811182;7006385234;7102769788;35500896800;,Cutaneous current marks due to a stun gun injury,2003,Journal of Forensic Sciences,48,3,,640,642,,16,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038034463&partnerID=40&md5=5210338dc77ce4b0f0c83eb77e4c8dbf,"Institute for Legal Medicine, University of Hamburg, Butenfeld 34, 22529 Hamburg, Germany","Anders, S., Institute for Legal Medicine, University of Hamburg, Butenfeld 34, 22529 Hamburg, Germany; Junge, M., Institute for Legal Medicine, University of Hamburg, Butenfeld 34, 22529 Hamburg, Germany; Schulz, F., Institute for Legal Medicine, University of Hamburg, Butenfeld 34, 22529 Hamburg, Germany; Püschel, K., Institute for Legal Medicine, University of Hamburg, Butenfeld 34, 22529 Hamburg, Germany",Current mark; Electrocution; Forensic histopathology; Forensic science; Stun gun; Taser,adult; article; autopsy; case report; clinical feature; disease marker; electrocution; forensic identification; histopathologic skin reaction; human; human tissue; male; priority journal; skin abrasion; thorax; Electric Injuries; Electric Stimulation; Forensic Medicine; Homicide; Humans; Male; Middle Aged; Skin,,Article,Final,,Scopus,2-s2.0-0038034463,,IFSMS 2004,Firearms,Firearms
Buttle J.W.,,"What's Good For Them Is Good For Us': Outside Influences on the Adoption of Incapacitate Sprays by the British Police,",2003,INT J POLICE SCI MANAGE,5,2,,98,111,,,10.1350/ijps.5.2.98.14323,,,"John W. Buttle Centre for Comparative Criminology and Criminal Justice, School of Social Science, University of Wales, Bangor, Gwynedd LL57 2DG, UK",,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Turner M.S., Jumbelic M.I.",7403215433;6603516597;,Stun gun injuries in the abuse and death of a seven-month-old infant,2003,Journal of Forensic Sciences,48,1,,180,182,,11,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037230165&partnerID=40&md5=28e8163a2488b02c6ff3b711ce8791ca,,"Turner, M.S.; Jumbelic, M.I.",Electrocution; Forensic science; Infant homicide; Stun gun deaths; Stun gun homicide; Stun gun injuries,article; case report; child abuse; child death; electric shock; electrode; erythema; homicide; human; infant; male; priority journal,,Article,Final,,Scopus,2-s2.0-0037230165,,IFSMS 2004,Firearms,Firearms
