Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
Suzuki S.,,,2003,National Research Institute of Police Science,,,,,,,,,,,,,,,Private Information,,,,,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Gornushkin I.B., Ruiz-Medina A., Anzano J.M., Smith B.W., Winefordner J.D.",6603852984;6602081850;24350726100;57207486441;35276825600;,Identification of particulate materials by correlation analysis using a microscopic laser induced breakdown spectrometer,2000,Journal of analytical atomic spectrometry,15,6,,581,586,,61,10.1039/a909873i,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0343005876&doi=10.1039%2fa909873i&partnerID=40&md5=adcd33872d9f94fab8864735d583fefd,"Department of Chemistry, PO Box 117200, University of Florida, Gainesville, FL 32611, United States; Depto. de Quim. Fis. y Analitica, Facultad de Ciencias Experimentales, Universidad de Jaén, Paraje las Lagunillas s/n, 23071, Jaén, Spain; Depto. Quimica Analitica Fac. Vet., Universidad de Zaragoza, Miguel Servet, 177, 50013 Zaragoza, Spain","Gornushkin, I.B., Department of Chemistry, PO Box 117200, University of Florida, Gainesville, FL 32611, United States; Ruiz-Medina, A., Department of Chemistry, PO Box 117200, University of Florida, Gainesville, FL 32611, United States, Depto. de Quim. Fis. y Analitica, Facultad de Ciencias Experimentales, Universidad de Jaén, Paraje las Lagunillas s/n, 23071, Jaén, Spain; Anzano, J.M., Department of Chemistry, PO Box 117200, University of Florida, Gainesville, FL 32611, United States, Depto. Quimica Analitica Fac. Vet., Universidad de Zaragoza, Miguel Servet, 177, 50013 Zaragoza, Spain; Smith, B.W., Department of Chemistry, PO Box 117200, University of Florida, Gainesville, FL 32611, United States; Winefordner, J.D., Department of Chemistry, PO Box 117200, University of Florida, Gainesville, FL 32611, United States",,Chemical analysis; Correlation methods; Laser applications; Particles (particulate matter); Powders; Probability; Solid state lasers; Spectrum analysis; Chemical speciation analysis; Microscopic laser induced breakdown spectrometer; Particulate geologic materials; Spectral libraries; Spectrometers,"Gornushkin, I.B.; Univ of Florida, Gainesville, United States",Article,Final,,Scopus,2-s2.0-0343005876,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Croft D.J., Pye K.",7101684579;7005357074;,The potential use of continuous-flow isotope-ratio mass spectrometry as a tool in forensic soil analysis: A preliminary report,2003,Rapid Communications in Mass Spectrometry,17,23,,2581,2584,,12,10.1002/rcm.1174,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344664533&doi=10.1002%2frcm.1174&partnerID=40&md5=a982372a83ee601d0b81cc620ed9e262,"Croft SAT, Haulfre, Llanfair Road, Llanfair, Clydogau SA48 8JZ, United Kingdom; Kenneth Pye Associates Ltd., Crowthorne Business Estate, Old Wokingham Road, Crowthorne RG45 6AW, United Kingdom","Croft, D.J., Croft SAT, Haulfre, Llanfair Road, Llanfair, Clydogau SA48 8JZ, United Kingdom; Pye, K., Kenneth Pye Associates Ltd., Crowthorne Business Estate, Old Wokingham Road, Crowthorne RG45 6AW, United Kingdom",,carbon; isotope; nitrogen; analytic method; conference paper; crime; forensic medicine; geology; isotope analysis; mass spectrometry; shoe; soil analysis; time,"Croft, D.J.; Croft SAT, Haulfre, Llanfair Road, Llanfair, Clydogau SA48 8JZ, United Kingdom; email: debracroft@yahoo.co.uk",Conference Paper,Final,,Scopus,2-s2.0-0344664533,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Fourel F., Phillips A., Mounier L.",,Forensic Applications in Continuous Flow IRMS Using the IsoPrime,2003,Forensic Science International ,136 SUPPLEMENT 1,,,113,114,,,,,,,Continuous flow IRMS; IsoPrime; Isotope ratio mass spectrometry,,"Fourel F.; Micromass UK Ltd, Manchester M23 9LZ, Lancs, England",Meeting,,,,,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Sandroni V., Smith C.M.M., Donovan A.",6603481128;8093742700;21741966100;,"Microwave digestion of sediment, soils and urban particulate matter for trace metal analysis",2003,Talanta,60,4,,715,723,,129,10.1016/S0039-9140(03)00131-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037773249&doi=10.1016%2fS0039-9140%2803%2900131-0&partnerID=40&md5=8159f6fa8c0d0cf9171d66fb2c6d0fbb,"Department of Chemistry, University College Cork, Cork, Ireland","Sandroni, V., Department of Chemistry, University College Cork, Cork, Ireland; Smith, C.M.M., Department of Chemistry, University College Cork, Cork, Ireland; Donovan, A., Department of Chemistry, University College Cork, Cork, Ireland",Metals; Microwave digestion; Sediment; Soils,Atomic spectroscopy; Calcium; Coal carbonization; Distillation; Inductively coupled plasma; Iron; Nitric acid; Sediments; Soils; Trace analysis; Microwave digestion; Microwaves; cadmium; calcium; chromium; copper; iron; lead; magnesium; manganese; nitric acid; trace metal; vanadium; zinc; accuracy; article; atomic emission spectrometry; digestion; marine environment; microwave radiation; particulate matter; sediment; sludge; soil analysis; urban area,"Sandroni, V.; Department of Chemistry, University College Cork, Cork, Ireland; email: sandroniva@yahoo.fr",Article,Final,,Scopus,2-s2.0-0037773249,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Sutherland R.A., Tack F.M.G., Tolosa C.A., Verloo M.G.",7402351589;7005864023;6603726682;7004021446;,Metal extraction from road sediment using different strength reagents: Impact on anthropogenic contaminat signals,2001,Environmental Monitoring and Assessment,71,3,,221,242,,24,10.1023/A:1011810319015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034789920&doi=10.1023%2fA%3a1011810319015&partnerID=40&md5=0f1f567cd383ca5f57bb066376eed2de,"University of Hawaii, Geomorphology Laboratory, Department of Geography, 2424 Maile Way, Honolulu, HI, United States; University of Gent, Laboratory of Analytical Chemistry and Applied Ecochemistry, Coupure Links-653, Gent, Belgium","Sutherland, R.A., University of Hawaii, Geomorphology Laboratory, Department of Geography, 2424 Maile Way, Honolulu, HI, United States; Tack, F.M.G., University of Gent, Laboratory of Analytical Chemistry and Applied Ecochemistry, Coupure Links-653, Gent, Belgium; Tolosa, C.A., University of Hawaii, Geomorphology Laboratory, Department of Geography, 2424 Maile Way, Honolulu, HI, United States; Verloo, M.G., University of Gent, Laboratory of Analytical Chemistry and Applied Ecochemistry, Coupure Links-653, Gent, Belgium",Anthropogenic contaminant signals; Concentration enrichment ratios; Labile (nonresidual) trace metals; Lithogenic elements; Road deposited sediment,"Hydrochloric acid; Impurities; Metals; Sediments; Storm sewers; Anthropogenic contaminant signals; Extraction; aluminum; chloride; cobalt; copper; edetic acid; inorganic compound; iron; lead; manganese; metal; nickel; nitric acid; organic compound; reagent; toxic substance; zinc; anthropogenic source; fluvial deposit; nonpoint source pollution; road; stormwater; urban pollution; anthropology; article; concentration (parameters); controlled study; digestion; drain; geographic distribution; microwave radiation; motor vehicle; pH; pollution; sediment; signal transduction; soil; stone formation; urban area; Chelating Agents; Edetic Acid; Environmental Monitoring; Geologic Sediments; Hydrogen-Ion Concentration; Metals, Heavy; Rain; Vehicle Emissions; Water Movements","Sutherland, R.A.; University of Hawaii, Geomorphology Laboratory, Department of Geography, 2424 Maile Way, Honolulu, HI, United States; email: Sutherla@Hawaii.edu",Article,Final,,Scopus,2-s2.0-0034789920,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
Sutherland R.A.,7402351589;,"Comparison between non-residual Al, Co, Cu, Fe, Mn, Ni, Pb and Zn released by a three-step sequential extraction procedure and a dilute hydrochloric acid leach for soil and road deposited sediment",2002,Applied Geochemistry,17,4,,353,365,,145,10.1016/S0883-2927(01)00095-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036192489&doi=10.1016%2fS0883-2927%2801%2900095-6&partnerID=40&md5=46d9ef6049599c32cbf69cfe0492c74b,"University of Hawaii, Geomorphology Laboratory, Department of Geography, 2424 Maile Way, Honolulu, HI 96822, United States","Sutherland, R.A., University of Hawaii, Geomorphology Laboratory, Department of Geography, 2424 Maile Way, Honolulu, HI 96822, United States",,Carbon; pH; Pollution; Sediments; Soils; Labile phases; Extraction; hydrochloric acid; leachate; road transport; roadside environment; soil chemistry; soil pollution; United States,"Sutherland, R.A.; University of Hawaii, Geomorphology Laboratory, Department of Geography, 2424 Maile Way, Honolulu, HI 96822, United States; email: sutherla@hawaii.edu",Article,Final,,Scopus,2-s2.0-0036192489,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Terashima S., Imai N., Tominaga M., Hirata S., Taniguchi M.",7103349427;7101716675;55136797500;7202205691;7402403190;,Preparation of a new GSJ geochemical reference material: JSO-2 soil,2000,Bunseki Kagaku,49,5,,319,324,,9,10.2116/bunsekikagaku.49.319,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034404117&doi=10.2116%2fbunsekikagaku.49.319&partnerID=40&md5=a8046964ebc28fcd0a613124152de853,"Geological Survey of Japan, 1-1-3, Higashi, Tsukuba-shi, Ibaraki 305-8567, Japan; Natl. Inst. for Rsrc./Environment, 16-3, Onogawa, Tsukuba-shi, Ibaraki 305-8569, Japan; Chugoku Natl. Indust. Res. Institute, 2-2-2, Hirosuehiro, Kure-shi, Hiroshima 737-0197, Japan","Terashima, S.; Imai, N., Geological Survey of Japan, 1-1-3, Higashi, Tsukuba-shi, Ibaraki 305-8567, Japan; Tominaga, M., Natl. Inst. for Rsrc./Environment, 16-3, Onogawa, Tsukuba-shi, Ibaraki 305-8569, Japan; Hirata, S., Chugoku Natl. Indust. Res. Institute, 2-2-2, Hirosuehiro, Kure-shi, Hiroshima 737-0197, Japan; Taniguchi, M., Geological Survey of Japan, 1-1-3, Higashi, Tsukuba-shi, Ibaraki 305-8567, Japan",Chemical forms; Geochemical reference material; GSJ; JSO-2 soil: Minor and trace elements,,,Article,Final,Open Access,Scopus,2-s2.0-0034404117,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
Teetsov A.S.,,An Organized Approach to Isolating and Mounting Small Particles for Polarized Light Microscopy,2002,The Microscope,50,,,159,168,,1,,,,"Teetsov, A.S.",,,,Article,Final,,Scopus,2-s2.0-77953473906,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Gunter M.E., Twamley B.",35615924000;7004674968;,A new method to determine the optical orientation of biaxial minerals: A mathematical approach,2001,Canadian Mineralogist,39,6,,1701,1711,,14,10.2113/gscanmin.39.6.1701,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035713043&doi=10.2113%2fgscanmin.39.6.1701&partnerID=40&md5=f4f501f74e35e1a8fe1973874e50cebc,"Department of Geological Sciences, University of Idaho, Moscow, ID 83844-3022, United States","Gunter, M.E., Department of Geological Sciences, University of Idaho, Moscow, ID 83844-3022, United States; Twamley, B., Department of Geological Sciences, University of Idaho, Moscow, ID 83844-3022, United States",Biaxial minerals; Optical orientation; Spindle stage; X-ray diffraction,Calculations; Diffractometers; Goniometers; Single crystals; Orientation matrix; Mineralogy; crystallography; mathematical analysis; optical property; orientation; X-ray diffraction,"Gunter, M.E.; Department of Geological Sciences, University of Idaho, Moscow, ID 83844-3022, United States; email: mgunter@uidaho.edu",Article,Final,,Scopus,2-s2.0-0035713043,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Bandli B.R., Gunter M.E.",,"Identification and characterization of mineral and asbestos particles using the spindle stage and the scanning electron microscope: The Libby, Montana, U.S.A. amphibole-asbestos as an example",2001,The Microscope,49,,,191,199,,9,,,,"Bandli, B.R.; Gunter, M.E.",,,,Article,Final,,Scopus,2-s2.0-0742290668,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Brown B.M., Gunter M.E.",,"Morphological and optical characterization of amphiboles from Libby, Montana USA by spindle stage assisted-polarized light microscopy",2003,The Microscope,51,3,,121,140,,16,,,,"Brown, B.M.; Gunter, M.E.",,,,Article,Final,,Scopus,2-s2.0-33748568356,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Petraco N.D.K., Kubic T.A.",,"Color atlas and manual of Microscopy for Criminalists, Chemists, and Conservators",2004,,,,,310,,,1,,,,"Nicholas, P.; Thomas, K.",,,,Book,Final,,Scopus,2-s2.0-84886232102,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Blott S.J., Croft D.J., Pye K., Saye S.E., Wilson H.E.",,Particle size determination of soils for forensic purposes using laser diffraction,2003,"Forensic Geoscience: Principles, Techniques and Applications",,,,14,,,1,,,,"Blott, S.J.; Croft, D.J.; Pye, K.; Saye, S.E.; Wilson, H.E.",,,,Article,,,Scopus,2-s2.0-13444303502,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
Wiltshire P.E.J.,,Palynology and Related Botanical Evidence – Its Recent Contribution to Forensic Investigations,2003,"Forensic Geoscience: Principles, Techniques and Applications",,,,,,,,,,,,,,,Article,,,,,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Kondo R., Tsutsuki K., Tani M., Maruyama R.",,"Differentiation of genera Pinus, Picea, and Abies by the transfusion tracheid phytoliths of Pinaceae leaves",2002,Pedologist,46,,,32,35,,4,https://doi.org/10.18920/pedologist.46.1_32,https://www.jstage.jst.go.jp/article/pedologist/46/1/46_KJ00007984905/_article/-char/ja/,,"Kondo, R.; Tsutsuki, K.; Tani, M.; Maruyama, R.",,,,Article,Final,,Scopus,2-s2.0-84962321525,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Kondo R., Oosawa S., Tsutsuki K., Tani M., Shibano S.",,Characteristics of the opal phytoliths derived from Piaceae leaves,2003,Pedologist,47,2,,90,103,,3,https://doi.org/10.18920/pedologist.47.2_90,https://agris.fao.org/agris-search/search.do?recordID=JP2004005894,,"Kondo, R.; Oosawa, S.; Tsutsuki, K.; Tani, M.; Shibano, S.",,,,Summary,Final,,Scopus,2-s2.0-85026944585,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
Ogura J.,,The relation between the morphology of microscopic charcoal and the original vegetation 1,1999,J. Kyoto Seika Univ.,17,,,53,69,,1,,,,"Ogura, J.",,,,Article,Final,,Scopus,2-s2.0-85034772416,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
Ogura J. ,,The relation between the morphology of microscopic charcoal and the original vegetation 2,2000,J. Kyoto Seika Univ.,19,,,2,21,,,,https://www.kyoto-seika.ac.jp/researchlab/wp/wp-content/uploads/kiyo/pdf-data/sa19/s_ogura.pdf,,"Ogura, J.",,,,Article,,,,,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
Ogura J. ,,The relation between the morphology of microscopic charcoal and the original vegetation 3,2001,J. Kyoto Seika Univ.,21,,,32,50,,,,https://www.kyoto-seika.ac.jp/researchlab/wp/wp-content/uploads/kiyo/pdf-data/sa20/s_ogura.pdf,,"Ogura, J.",,,,Article,,,,,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
Ogura J. ,,The Changes of Forms of Microscopic Charcoal Particles due to the Difference of Burning Temperature,2003,J. Kyoto Seika Univ.,25,,,247,266,,,,https://www.kyoto-seika.ac.jp/researchlab/wp/wp-content/uploads/kiyo/pdf-data/sa25/ogura.pdf,,"Ogura, J.",,,,Article,,,,,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
Ogura J. ,,A Study of Microscopic Charcoal Particles included in the Samples used for the Pollen Analysis of Midoroga-ike Pond,2002,J. Kyoto Seika Univ.,22,,,267,288,,,,https://www.kyoto-seika.ac.jp/researchlab/wp/wp-content/uploads/kiyo/pdf-data/sa22/ogura.pdf,,"Ogura, J.",,,,Article,,,,,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Sugita R., Suzuki S., Marumo Y. ",,Validity of Micro Algae for Forensic Discrimination of Soil. ,2004,Japanese Journal of Association of Science and Technology for Identification,9,2,,113,122,,,10.3408/jasti.9.113,https://www.jstage.jst.go.jp/article/jasti/9/2/9_2_113/_article/-char/en,,, Soil; Alga; Forensic discrimination; Culture; Morphology,,,Article,,,,,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Krstic S., Duma A., Janevska B., Levkov Z., Nikolova K., Noveska M.",35334367900;6701379128;6508202221;12804778000;6701645559;6507903893;,Diatoms in forensic expertise of drowning - A Macedonian experience,2002,Forensic Science International,127,3,,198,203,,46,10.1016/S0379-0738(02)00125-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037125140&doi=10.1016%2fS0379-0738%2802%2900125-1&partnerID=40&md5=c7c5256b1fcd9513e16114955bdcaf4c,"Faculty of Natural Sciences, Institute of Biology, P.O. Box 162, 1000 Skopje, North Macedonia; Faculty of Medicine, Institute of Forensic Medicine, 1000 Skopje, North Macedonia","Krstic, S., Faculty of Natural Sciences, Institute of Biology, P.O. Box 162, 1000 Skopje, North Macedonia; Duma, A., Faculty of Medicine, Institute of Forensic Medicine, 1000 Skopje, North Macedonia; Janevska, B., Faculty of Medicine, Institute of Forensic Medicine, 1000 Skopje, North Macedonia; Levkov, Z., Faculty of Natural Sciences, Institute of Biology, P.O. Box 162, 1000 Skopje, North Macedonia; Nikolova, K., Faculty of Medicine, Institute of Forensic Medicine, 1000 Skopje, North Macedonia; Noveska, M., Faculty of Natural Sciences, Institute of Biology, P.O. Box 162, 1000 Skopje, North Macedonia",Diatoms; Drowning; Forensic expertise; Methods,animal experiment; animal tissue; article; cause of death; contamination; controlled study; diatom; drowning; forensic identification; forensic medicine; human; human tissue; laboratory test; nonhuman; priority journal; qualitative analysis; quantitative analysis; rat; reliability; animal; autopsy; bone marrow; brain; drowning; esophagus; hair; heart; isolation and purification; kidney; liver; lung; methodology; microbiology; mortality; skin; stomach; tissue distribution; Animal; Autopsy; Bone Marrow; Brain; Cause of Death; Diatoms; Drowning; Esophagus; Forensic Medicine; Hair; Heart; Human; Kidney; Liver; Lung; Rats; Skin; Stomach; Tissue Distribution; Water Microbiology; Animals; Autopsy; Bone Marrow; Brain; Cause of Death; Esophagus; Hair; Heart; Humans; Kidney; Liver; Lung; Rats; Skin; Stomach; Tissue Distribution; Water Microbiology,"Krstic, S.; Faculty of Natural Sciences, Institute of Biology, P.O. Box 162, 1000 Skopje, North Macedonia; email: skrstic@iunona.pmf.ukim.edu.mk",Article,Final,,Scopus,2-s2.0-0037125140,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Horswell J., Cordiner S.J., Maas E.W., Martin T.M., Sutherland B.W., Speir T.W., Nogales B., Osborn A.M.",6701519259;6602950581;7005313634;7403463606;7102925521;7004000955;6602832049;7005276204;,Forensic comparison of soils by bacterial community DNA profiling,2002,Journal of Forensic Sciences,47,2,,350,353,,73,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036193772&partnerID=40&md5=53b2f5f4a6eb3924d47801ca69eacd5a,"Inst. Envtl. Sci./Res. Limited (ESR), Kenepuru Science Centre, PO Box 50 348, Porirua, New Zealand","Horswell, J., Inst. Envtl. Sci./Res. Limited (ESR), Kenepuru Science Centre, PO Box 50 348, Porirua, New Zealand; Cordiner, S.J., Inst. Envtl. Sci./Res. Limited (ESR), Kenepuru Science Centre, PO Box 50 348, Porirua, New Zealand; Maas, E.W., Inst. Envtl. Sci./Res. Limited (ESR), Kenepuru Science Centre, PO Box 50 348, Porirua, New Zealand; Martin, T.M., Inst. Envtl. Sci./Res. Limited (ESR), Kenepuru Science Centre, PO Box 50 348, Porirua, New Zealand; Sutherland, B.W., Inst. Envtl. Sci./Res. Limited (ESR), Kenepuru Science Centre, PO Box 50 348, Porirua, New Zealand; Speir, T.W., Inst. Envtl. Sci./Res. Limited (ESR), Kenepuru Science Centre, PO Box 50 348, Porirua, New Zealand; Nogales, B., Inst. Envtl. Sci./Res. Limited (ESR), Kenepuru Science Centre, PO Box 50 348, Porirua, New Zealand; Osborn, A.M., Inst. Envtl. Sci./Res. Limited (ESR), Kenepuru Science Centre, PO Box 50 348, Porirua, New Zealand",Bacteria; DNA; Fingerprinting; Forensic science; Forensic testing; Soil,"bacterial DNA; article; bacterial flora; clothing; crime; DNA determination; DNA fingerprinting; forensic science; nonhuman; polymerase chain reaction; priority journal; restriction fragment length polymorphism; shoe; soil analysis; Chromosomes, Bacterial; Clothing; Criminology; DNA Fingerprinting; Genetics, Microbial; Humans; Polymorphism, Restriction Fragment Length; Shoes; Soil Microbiology","Horswell, J.; Inst. Envtl. Sci./Res. Limited (ESR), Kenepuru Science Centre, PO Box 50 348, Porirua, New Zealand",Article,Final,,Scopus,2-s2.0-0036193772,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"van Haeringen W.A., Panneman H., van Haeringen H.",, Microbial Community Profiling and Characterization (MCPC),2003,Forensic Science International 2003,136 SUPPLEMENT 1,,,108,108,,,,,,,,,"van Haeringen W.A., Panneman H.; VHIP, NL-6708 PW Wageningen, Netherlands",Meeting,,,,,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
