Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
Adam C.,,Forensic Evidence in Court,2016,Forensic Evidence in Court,,,,,,,,,,,,,,,Book,,,,,,IFSMS 2019,Paint-Glass,Paint-Glass
"Adamson L., Fasano D.",39760932200;35948860200;,Advancements in Tio2 composite technology,2012,PCI-Paint and Coatings Industry,28,8,,,,,,,,,"Adamson, L.; Fasano, D.",Opaque polymer; Pre-composite polymer; TiO2,,"Adamson, L.",Note,Final,,Scopus,2-s2.0-84864945405,,IFSMS 2013,Paint-Glass,Paint-Glass
"Adamson L., Fasano D.",,Polymeric hiding technologies that make TiO2 work smarter,2011,Paint and Coatings Industry,,,,27,,,,,,,,,,,Magazine,,,,,,IFSMS 2013,Paint-Glass,Paint-Glass
Adamsons K.,26035167600;,Chemical depth profiling of multi-layer automotive coating systems,2002,Progress in Organic Coatings,45,02-Mar,,69,81,,23,10.1016/S0300-9440(02)00106-6,,"DuPont Performance Coatings, Marshall R and D Laboratory, DuPont Company, 3401 Grays Ferry Avenue, Philadelphia, PA 19146, United States","Adamsons, K., DuPont Performance Coatings, Marshall R and D Laboratory, DuPont Company, 3401 Grays Ferry Avenue, Philadelphia, PA 19146, United States",Acrylic/melamine cross-linked networks; Automotive coating systems; Basecoat; Chemical depth profiling; Chemical surface analysis; Clearcoat; Electrocoat; IR; Optical microscopy; Primer; Service life prediction; UV-Vis; Weathering and durability,Composition; Infrared spectroscopy; Multilayers; Optical microscopy; Thermal stratification; Ultraviolet spectroscopy; Weathering; Automotive coating systems; Coating techniques,"Adamsons, K.; DuPont Performance Coatings, Marshall R and D Laboratory, DuPont Company, 3401 Grays Ferry Avenue, Philadelphia, PA 19146, United States",Conference Paper,Final,,Scopus,2-s2.0-0036787874,,IFSMS 2004,Paint-Glass,Paint-Glass
Adamsons K.,26035167600;,"A modern analytical toolbox: Defect (W&D) studies of automotive coating systems, including depth profiling studies",2012,Journal of Coatings Technology and Research,9,6,,745,756,,5,10.1007/s11998-012-9412-z,,"Coatings Technology Center, DuPont Performance Coatings, Experimental Station, Rt. 141 and Henry Clay Rd., Wilmington, DE 19803, United States","Adamsons, K., Coatings Technology Center, DuPont Performance Coatings, Experimental Station, Rt. 141 and Henry Clay Rd., Wilmington, DE 19803, United States",Analytical toolbox; Defect analysis; Durability; Service life; W&D studies,Degradation; Depth profiling; Durability; Service life; Analytical toolbox; Automotive coatings; Chemical compositions; Defect analysis; Interface/interphases; Measurement technologies; Micromorphologies; Morphology changes; Coatings,"Adamsons, K.; Coatings Technology Center, DuPont Performance Coatings, Experimental Station, Rt. 141 and Henry Clay Rd., Wilmington, DE 19803, United States; email: Kadamsons@aol.com",Article,Final,,Scopus,2-s2.0-84870846477,,IFSMS 2013,Paint-Glass,Paint-Glass
"Adler D.C., Stenger J., Gorczynska I., Lie H., Hensick T., Spronk R., Wolohojian S., Khandekar N., Jiang J.Y., Barry S., Cable A.E., Huber R., Fujimoto J.G.",7201806990;56754820800;6603113757;23027944700;23027785800;23028801400;23029130700;6602238478;10141455800;16237906000;15922347600;9846383000;35502803600;,Comparison of three-dimensional optical coherence tomography and high resolution photography for art conservation studies,2007,Optics Express,15,24,,15972,15986,,60,10.1364/OE.15.015972,,"Department of Electrical Engineering and Computer Science, Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, MA 02139, United States; Harvard University Art Museums, Harvard University, Cambridge, MA 02138, United States; Thorlabs Inc., Newton, NJ 07860, United States; BioMolekulare Optik, Fakultät für Physik, Ludwig-Maximilians-Universität München, 80538 München, Germany","Adler, D.C., Department of Electrical Engineering and Computer Science, Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, MA 02139, United States; Stenger, J., Harvard University Art Museums, Harvard University, Cambridge, MA 02138, United States; Gorczynska, I., Department of Electrical Engineering and Computer Science, Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, MA 02139, United States; Lie, H., Harvard University Art Museums, Harvard University, Cambridge, MA 02138, United States; Hensick, T., Harvard University Art Museums, Harvard University, Cambridge, MA 02138, United States; Spronk, R., Harvard University Art Museums, Harvard University, Cambridge, MA 02138, United States; Wolohojian, S., Harvard University Art Museums, Harvard University, Cambridge, MA 02138, United States; Khandekar, N., Harvard University Art Museums, Harvard University, Cambridge, MA 02138, United States; Jiang, J.Y., Thorlabs Inc., Newton, NJ 07860, United States; Barry, S., Thorlabs Inc., Newton, NJ 07860, United States; Cable, A.E., Thorlabs Inc., Newton, NJ 07860, United States; Huber, R., Department of Electrical Engineering and Computer Science, Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, MA 02139, United States, BioMolekulare Optik, Fakultät für Physik, Ludwig-Maximilians-Universität München, 80538 München, Germany; Fujimoto, J.G., Department of Electrical Engineering and Computer Science, Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, MA 02139, United States",,Fourier analysis; Lasers; Micrometers; Photography; Three dimensional; Tomography; Arbitrary sectioning depths; Fourier domain mode locked (FDML) laser; High resolution digital photography; Micrometer-scale resolutions; Coherent light,"Fujimoto, J.G.; Department of Electrical Engineering and Computer Science, Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, MA 02139, United States; email: jgfuji@mit.edu",Article,Final,,Scopus,2-s2.0-36749015574,,IFSMS 2010,Paint-Glass,Paint-Glass
Adriaens A.,7003953087;,Non-destructive analysis and testing of museum objects: An overview of 5 years of research,2005,Spectrochimica Acta - Part B Atomic Spectroscopy,60,12,,1503,1516,,87,10.1016/j.sab.2005.10.006,,"Ghent University, Department of Analytical Chemistry, Krijgslaan 281-S12, 9000 Ghent, Belgium","Adriaens, A., Ghent University, Department of Analytical Chemistry, Krijgslaan 281-S12, 9000 Ghent, Belgium",Cultural heritage; Inorganic material; Non-destructive analysis,Chemical analysis; Nondestructive examination; Social aspects; Cultural heritage; Inorganic materials; Physical analyses; Museums,"Adriaens, A.; Ghent University, Department of Analytical Chemistry, Krijgslaan 281-S12, 9000 Ghent, Belgium; email: annemie.adriaens@ugent.be",Review,Final,,Scopus,2-s2.0-28944454764,,IFSMS 2007,Paint-Glass,Paint-Glass
Adriaens A.,7003953087;,Non-destructive analysis and testing of museum objects: An overview of 5 years of research,2005,Spectrochimica Acta - Part B Atomic Spectroscopy,60,12,,1503,1516,,87,10.1016/j.sab.2005.10.006,,"Ghent University, Department of Analytical Chemistry, Krijgslaan 281-S12, 9000 Ghent, Belgium","Adriaens, A., Ghent University, Department of Analytical Chemistry, Krijgslaan 281-S12, 9000 Ghent, Belgium",Cultural heritage; Inorganic material; Non-destructive analysis,Chemical analysis; Nondestructive examination; Social aspects; Cultural heritage; Inorganic materials; Physical analyses; Museums,"Adriaens, A.; Ghent University, Department of Analytical Chemistry, Krijgslaan 281-S12, 9000 Ghent, Belgium; email: annemie.adriaens@ugent.be",Review,Final,,Scopus,2-s2.0-28944454764,,IFSMS 2007,Paint-Glass,Paint-Glass
"Aeschliman D.B., Bajic S.J., Baldwin D.P., Houk R.S.",6603825824;6603900514;7201847539;7005665392;,Spatially-resolved analysis of solids by laser ablation-inductively coupled plasma-mass spectrometry: Trace elemental quantification without matrix-matched solid standards,2003,Journal of Analytical Atomic Spectrometry,18,8,,872,877,,34,10.1039/b205683f,,"Ames Laboratory, Department of Chemistry, Iowa State University, Ames, IA 50011, United States","Aeschliman, D.B., Ames Laboratory, Department of Chemistry, Iowa State University, Ames, IA 50011, United States; Bajic, S.J., Ames Laboratory, Department of Chemistry, Iowa State University, Ames, IA 50011, United States; Baldwin, D.P., Ames Laboratory, Department of Chemistry, Iowa State University, Ames, IA 50011, United States; Houk, R.S., Ames Laboratory, Department of Chemistry, Iowa State University, Ames, IA 50011, United States",,Fractionation; Inductively coupled plasma; Mass spectrometry; Trace elements; Piezoelectric microbalance; Laser ablation,"Houk, R.S.; Ames Laboratory, Department of Chemistry, Iowa State University, Ames, IA 50011, United States; email: rshouk@iastate.edu",Article,Final,,Scopus,2-s2.0-0043011663,,IFSMS 2004,Paint-Glass,Paint-Glass
"Aeschliman D.B., Bajic S.J., Baldwin D.P., Houk R.S.",6603825824;6603900514;7201847539;7005665392;,Multivariate pattern matching of trace elements in solids by laser ablation inductively coupled plasma-mass spectrometry: Source attribution and preliminary diagnosis of fractionation,2004,Analytical Chemistry,76,11,,3119,3125,,17,10.1021/ac0345042,,"Ames Laboratory, U.S. Department of Energy, Iowa State University, Ames, IA 50011, United States","Aeschliman, D.B., Ames Laboratory, U.S. Department of Energy, Iowa State University, Ames, IA 50011, United States; Bajic, S.J., Ames Laboratory, U.S. Department of Energy, Iowa State University, Ames, IA 50011, United States; Baldwin, D.P., Ames Laboratory, U.S. Department of Energy, Iowa State University, Ames, IA 50011, United States; Houk, R.S., Ames Laboratory, U.S. Department of Energy, Iowa State University, Ames, IA 50011, United States",,Dissolution; Fractionation; Laser ablation; Principal component analysis; Forensic materials; Laser focus; Trace elements; trace element; article; finger dermatoglyphics; forensic science; fractionation; laser ablation inductively coupled plasma mass spectrometry; mass spectrometry; principal component analysis; quantitative analysis; solid state,"Houk, R.S.; Ames Laboratory, U.S. Department of Energy, Iowa State University, Ames, IA 50011, United States; email: rshouk@iastate.edu",Article,Final,,Scopus,2-s2.0-2642570863,,IFSMS 2004,Paint-Glass,Paint-Glass
"Aeschliman D.B., Bajic S.J., Baldwin D.P., Houk R.S.",6603825824;6603900514;7201847539;7005665392;,Multivariate pattern matching of trace elements in solids by laser ablation inductively coupled plasma-mass spectrometry: Source attribution and preliminary diagnosis of fractionation,2004,Analytical Chemistry,76,11,,3119,3125,,17,10.1021/ac0345042,,"Ames Laboratory, U.S. Department of Energy, Iowa State University, Ames, IA 50011, United States","Aeschliman, D.B., Ames Laboratory, U.S. Department of Energy, Iowa State University, Ames, IA 50011, United States; Bajic, S.J., Ames Laboratory, U.S. Department of Energy, Iowa State University, Ames, IA 50011, United States; Baldwin, D.P., Ames Laboratory, U.S. Department of Energy, Iowa State University, Ames, IA 50011, United States; Houk, R.S., Ames Laboratory, U.S. Department of Energy, Iowa State University, Ames, IA 50011, United States",,Dissolution; Fractionation; Laser ablation; Principal component analysis; Forensic materials; Laser focus; Trace elements; trace element; article; finger dermatoglyphics; forensic science; fractionation; laser ablation inductively coupled plasma mass spectrometry; mass spectrometry; principal component analysis; quantitative analysis; solid state,"Houk, R.S.; Ames Laboratory, U.S. Department of Energy, Iowa State University, Ames, IA 50011, United States; email: rshouk@iastate.edu",Article,Final,,Scopus,2-s2.0-2642570863,,IFSMS 2007,Paint-Glass,Paint-Glass
"Ahmad S., Ashraf S.M., Sharmin E., Mohomad A., Alam M.",7401992797;7006168370;8914809100;13411595500;35561021700;,"Synthesis, formulation, and characterization of siloxane-modified epoxy-based anticorrosive paints",2006,Journal of Applied Polymer Science,100,6,,4981,4991,,35,10.1002/app.23295,,"Materials Research Laboratory, Department of Chemistry, Jamia Millia Islamia, New Delhi 110 025, India","Ahmad, S., Materials Research Laboratory, Department of Chemistry, Jamia Millia Islamia, New Delhi 110 025, India; Ashraf, S.M., Materials Research Laboratory, Department of Chemistry, Jamia Millia Islamia, New Delhi 110 025, India; Sharmin, E., Materials Research Laboratory, Department of Chemistry, Jamia Millia Islamia, New Delhi 110 025, India; Mohomad, A., Materials Research Laboratory, Department of Chemistry, Jamia Millia Islamia, New Delhi 110 025, India; Alam, M., Materials Research Laboratory, Department of Chemistry, Jamia Millia Islamia, New Delhi 110 025, India",Coatings; Cross-linking; Curing of polymers; Polysiloxane; Resins,Coatings; Corrosive effects; Crosslinking; Curing; Epoxy resins; Resins; Silicones; Synthesis (chemical); Corrosion stability performance; Curing of polymers; Paint formulation; Polydimethylsiloxane; Paint; coating; corrosion; epoxy resin; modification; physicochemical property; polydimethylsiloxane; polymerization; spectroscopy; synthesis; thermal analysis; thermogravimetry,"Ahmad, S.; Materials Research Laboratory, Department of Chemistry, Jamia Millia Islamia, New Delhi 110 025, India; email: sharifahmad_jmi@yahoo.co.in",Article,Final,,Scopus,2-s2.0-33646560956,,IFSMS 2007,Paint-Glass,Paint-Glass
"Aibéo C.L., Goffin S., Schalm O., Van Der Snickt G., Laquière N., Eyskens P., Janssens K.",57208968970;24779258100;7003269217;15133302800;24780084300;24779577700;26642922800;,Micro-Raman analysis for the identification of pigments from 19th and 20th century paintings,2008,Journal of Raman Spectroscopy,39,8 SPEC. ISS.,,1091,1098,,27,10.1002/jrs.1990,,"Chemistry Department, University of Florence, Via della Lastruccia, 3, 50019 Sesto F.no (FI), Italy; University College of Antwerp, Conservation Studies, Blindenstraat 7-9, 2000 Antwerp, Belgium; Chemistry Department, University of Antwerp, Building B, Universiteitsplein 1, B - 2610 Wilrijk, Antwerpen, Belgium","Aibéo, C.L., Chemistry Department, University of Florence, Via della Lastruccia, 3, 50019 Sesto F.no (FI), Italy; Goffin, S., University College of Antwerp, Conservation Studies, Blindenstraat 7-9, 2000 Antwerp, Belgium; Schalm, O., University College of Antwerp, Conservation Studies, Blindenstraat 7-9, 2000 Antwerp, Belgium; Van Der Snickt, G., Chemistry Department, University of Antwerp, Building B, Universiteitsplein 1, B - 2610 Wilrijk, Antwerpen, Belgium; Laquière, N., University College of Antwerp, Conservation Studies, Blindenstraat 7-9, 2000 Antwerp, Belgium; Eyskens, P., University College of Antwerp, Conservation Studies, Blindenstraat 7-9, 2000 Antwerp, Belgium; Janssens, K., Chemistry Department, University of Antwerp, Building B, Universiteitsplein 1, B - 2610 Wilrijk, Antwerpen, Belgium",Pigments; Raman spectroscopy; SEM; XRF,,"Aibéo, C. L.; Chemistry Department, University of Florence, Via della Lastruccia, 3, 50019 Sesto F.no (FI), Italy; email: aibeo@yahooo.com",Conference Paper,Final,,Scopus,2-s2.0-51549090457,,IFSMS 2010,Paint-Glass,Paint-Glass
Aitken C. G. G. ,,Evaluation of Evidence,2003,Australian Journal of Forensic Sciences,35,,,105,114,,,,,,,,,,Article,,,,,,IFSMS 2004,Paint-Glass,Paint-Glass
Aitken C.G.G.,7004998506;,Bayesian hierarchical random effects models in forensic science,2018,Frontiers in Genetics,9,APR,126,,,,4,10.3389/fgene.2018.00126,,"School of Mathematics and Maxwell Institute, The University of Edinburgh, Edinburgh, United Kingdom","Aitken, C.G.G., School of Mathematics and Maxwell Institute, The University of Edinburgh, Edinburgh, United Kingdom",Bayes' Theorem; Evidence evaluation; Forensic science; Hierarchical models; Likelihood ratios; Random effects; SAILR; Statistics,forensic science; human; landscape; review; scientist; software; statistical analysis; statistics,"Aitken, C.G.G.; School of Mathematics and Maxwell Institute, The University of EdinburghUnited Kingdom; email: cgga@ed.ac.uk",Review,Final,Open Access,Scopus,2-s2.0-85045529269,,IFSMS 2019,Paint-Glass,Paint-Glass
"Aitken C.G.G., Lucy D.",7004998506;35388878700;,Evaluation of trace evidence in the form of multivariate data,2004,Journal of the Royal Statistical Society. Series C: Applied Statistics,53,1,,109,122,,171,10.1046/j.0035-9254.2003.05271.x,,"University of Edinburgh, Edinburgh, United Kingdom; School of Mathematics, Joseph Bell Ctr. Forensic Stat./L.R., University of Edinburgh, Mayfield Road, Edinburgh EH9 3JZ, United Kingdom","Aitken, C.G.G., University of Edinburgh, Edinburgh, United Kingdom, School of Mathematics, Joseph Bell Ctr. Forensic Stat./L.R., University of Edinburgh, Mayfield Road, Edinburgh EH9 3JZ, United Kingdom; Lucy, D., University of Edinburgh, Edinburgh, United Kingdom",Evaluation of evidence; Forensic science; Likelihood ratio; Muitivariate data,,"Aitken; School of Mathematics, Joseph Bell Ctr. Forensic Stat./L.R., University of Edinburgh, Mayfield Road, Edinburgh EH9 3JZ, United Kingdom; email: C.G.G.Aitken@ed.ac.uk",Article,Final,,Scopus,2-s2.0-1342324886,,IFSMS 2007,Paint-Glass,Paint-Glass
