"Keyword"	"Fingermarks"
"ADHESIVE POWDER"	1
"ADHESIVE TAPE"	5
"ADHESIVE TAPE REMOVAL"	1
"ADHESIVE TAPES"	3
"ADHESIVES"	1
"ADIPOCERE"	1
"ADMINISTRATION AND ORGANIZATION"	1
"ADOBEÆ PHOTOSHOPÆ"	1
"ADOLESCENT"	1
"ADSORPTION ISOTHERMS"	1
"AEE"	1
"AFIS,DACTYLOSCOPY,EURODAC, PRUM, INTEROPERABILITY,LARGE-SCALE SYSTEMS"	1
"AFTERGLOW"	1
"AG+"	1
"AGE DETERMINATION"	7
"AGE ESTIMATION"	4
"AGE FACTORS"	1
"AGED FINGERMARK"	1
"AGED FINGERMARKS"	1
"AGEING"	22
"AGEING CURVES"	1
"AGGREGATION-INDUCED EMISSION"	2
"AGGREGATION INDUCED EMISSION"	3
"AGING FACTOR"	1
"AGING MODEL"	1
"AGING MODELS"	1
"AGNPS@PDA@PDMS"	1
"AIEE"	1
"AIPE"	1
"AIS"	1
"AL-DOPED ZNO THIN FILM"	1
"ALCOHOL MISUSE"	1
"ALDEHYDES"	1
"ALGERIA"	1
"ALGINATE"	1
"ALGORITHM"	1
"ALKALI METAL IONS"	1
"ALOE-VERA GEL"	1
"ALQ3"	2
"ALTERATION"	1
"ALTERNATE LIGHT SOURCE"	1
"ALTERNATE LIGHT SOURCES"	2
"ALTERNATIVE HYPOTHESES"	1
"ALTERNATIVE LIGHT SOURCE"	1
"ALTERNATIVE SPECIMEN"	1
"ALUMINOSILICATES"	1
"ALUMINUM POWDER"	2
"AM-FM REACTION-DIFFUSION"	1
"AMELOGENIN GENE"	2
"AMIDATION REACTION"	1
"AMIDO BLACK"	5
"AMINO ACID"	20
"AMINO ACID QUANTIFICATION"	1
"AMINO ACID REAGENT"	3
"AMINO ACID REAGENTS"	2
"AMMONIUM HYDROXIDE"	1
"AMMONIUM NITRATE"	1
"AMMUNITION"	1
"AMMUNITION CASES"	1
"AMORPHOUS SILICA NANOPARTICLE"	1
"AMPF?STRÆ IDENTIFILER PLUS"	1
"AMPHETAMINE AND DERIVATIVES"	1
"ANALGESICS"	1
"ANALOGUE"	1
"ANALYSIS"	3
"ANALYSIS-COMPARISON-EVALUATION (ACE) METHOD"	1
"ANALYST"	1
"ANALYTICAL CHEMISTRY"	2
"ANATOMICAL MARKER"	1
"ANATOMY"	1
"ANCIENT DNA"	1
"ANFIS CLASSIFIER"	1
"ANGLE"	1
"ANGLE OF GAIT"	1
"ANIMATION"	1
"ANOVA"	1
"ANTHOCYANIN"	1
"ANTHRACENE"	1
"ANTHRAX SPORES"	1
"ANTHROPOMETRY"	4
"ANTI-COUNTERFEITING"	8
"ANTI-COUNTERFEITING APPLICATIONS"	1
"ANTI-COUNTERFEITING INK"	2
"ANTI-FINGER PRINT"	1
"ANTI-HHB"	1
"ANTI-MIMETIC"	1
"ANTI-STOKES MATERIALS"	2
"ANTIBODIES"	7
"ANTIBODY"	2
"ANTICOUNTERFEITING"	1
"ANTIFAKE INK"	1
"ANTIFINGERPRINT"	1
"ANTIPATHOGENS"	1
"ANTISPOOFING"	1
"APPEAL CASES"	1
"APPLICATION"	1
"APPLICATIONS"	1
"APPRENTICESHIP"	1
"APTAMER"	5
"AQUATIC FINGERPRINT"	1
"AQUEOUS COLLOIDAL SOLUTION"	1
"AQUEOUS ELECTROLYTE"	1
"AQUEOUS ELECTROLYTES"	3
"AQUEOUS SYNTHESIS"	2
"ARCH"	3
"ARCH INDEX"	1
"ARCHIVED LATENT FINGERPRINTS"	1
"ARGENTINA POPULATION"	2
"ARKLONE SUBSTITUTES"	1
"ARMY"	1
"ARSON"	3
"ARSON DETECTION RATES"	1
"ARTIFICIAL BLOOD"	1
"ARTIFICIAL ECCRINE FINGERPRINT"	1
"ARTIFICIAL FINGERS"	1
"ARTIFICIAL LATENT FINGERPRINT"	1
"ARTIFICIAL SWEAT"	1
"ARTIFICIAL SWEAT PRINTED FINGERPRINTS"	1
"ARYLDIAZONIUM GOLD(III) SALTS"	1
"ASPARTIC ACID"	1
"ASSOCIATION"	2
"ASYMMETRY"	1
"ATD ANGLE"	4
"ATMOSPHERIC PRESSURE CHEMICAL IONIZATION-MASS SPECTROMETRY"	1
"ATOMIC FORCE"	1
"ATOMIC FORCE MICROSCOPE"	1
"ATOMIC FORCE MICROSCOPY"	1
"ATOMIZER"	1
"ATR"	1
"ATR-FT-IR SPECTROSCOPY"	1
"ATTENUATED TOTAL REFLECTANCE"	1
"ATTENUATED TOTAL REFLECTION"	1
"ATVS"	1
"AU NANOPARTICLES"	1
"AU SEEDS"	1
"AUSTRALIAN CRIMINAL JUSTICE"	1
"AUTHENTICATION"	1
"AUTOFLUORESCENCE"	1
"AUTOMATED LATENT RECOGNITION"	1
"AUTOMATED MATCHERS"	1
"AUTOMATIC FINGERPRINT RECOGNITION"	1
"AUTOMATIC INTERPRETATION METHOD"	2
"AUTOPSY"	1
"AXIAL TRI RADIUS"	1
"AYAHUASCA"	1
"AZOMETHINE-ZINC (II) COMPLEXES"	1
"BACKGROUND CORRECTION"	2
"BACKGROUND INTERFERENCE"	3
"BACTERIAL TRANSMISSION"	1
"BAD QUALITY FINGERPRINTS"	1
"BALL MILLING"	1
"BALLISTIC"	2
"BALLPRINT"	1
"BANANA PEEL ACTIVATED CARBON"	1
"BANKNOTES"	1
"BARBITURATES"	1
"BASE"	1
"BASE-RATE"	1
"BASELINE PERFORMANCE"	1
"BASIC VIOLET 2"	1
"BASIC VIOLET 3"	1
"BASIC YELLOW 40"	4
"BASQUE VALLEYS"	1
"BATH TEMPERATURE"	1
"BAYE'S THEOREM"	2
"BAYESIAN"	1
"BAYESIAN DECISION THEORY"	3
"BAYESIAN FRAMEWORK"	3
"BAYESIAN NETWORK"	2
"BAYESIAN STATISTICS"	1
"BEHAVIORAL"	1
"BENCHMARK"	1
"BENCHMARKING"	2
"BENDECTIN"	1
"BENTONITE"	2
"BENZALKONIUM CHLORIDE"	1
"BENZAZOLE"	1
"BENZOQUINONE"	1
"BETWEEN-FINGER VARIABILITY"	1
"BIAS"	13
"BIAS BLIND SPOT"	1
"BIFUNCTIONAL REAGENTS"	1
"BIFURCATION"	1
"BIFURCATION POINTS"	1
"BIMANUAL DIFFERENCE"	1
"BINARIZATION"	2
"BINARY PIXEL"	2
"BINARY PIXEL FEATURE"	1
"BINDERS"	1
"BIO-INSPIRED"	1
"BIO-SURFACTANT"	1
"BIO MEDIATED SYNTHESIS"	1
"BIOASSAY"	2
"BIOLABELING"	1
"BIOLOGICAL"	1
"BIOLOGICAL AGENTS"	1
"BIOLOGICAL TRACE"	1
"BIOLOGICAL TRACES"	1
"BIOMARKERS"	1
"BIOMETRIC"	1
"BIOMETRIC AUTHENTICATION"	2
"BIOMETRIC DETECTION"	1
"BIOMETRIC IDENTIFICATION"	2
"BIOMETRIC SECURITY"	1
"BIOMETRIC SYSTEMS"	3
"BIOMETRIC TECHNOLOGY"	1
"BIOMETRICS"	34
"BIOMETRICS FUSION"	1
"BIOPHOTONICS"	1
"BIOSENSING"	2
"BIOSENSOR"	1
"BIOSENSORS"	1
"BIOSPECTROSCOPY"	1
"BIOSYNTHESIS"	1
"BIOTECHNOLOGY"	1
"BIOTERRORISM"	1
"BIPARTITE GRAPH MATCHING"	1
"BIPOLAR DISORDER"	1
"BLACK POWDER"	2
"BLACKENING"	2
"BLANCHING EFFECT"	1
"BLIND TESTING"	2
"BLIND TESTS"	1
"BLOCK COPOLYMER"	1
"BLOOD"	16
"BLOOD-CONTAMINATED FINGERMARKS"	1
"BLOOD-SENSITIVE REAGENTS"	1
"BLOOD ANALYSIS"	9
"BLOOD ENHANCEMENT"	3
"BLOOD FINGERPRINT"	1
"BLOOD GROUP"	1
"BLOOD GROUPS"	5
"BLOOD STAIN"	4
"BLOOD STAINED FINGERPRINTS"	1
"BLOODMARKS"	1
"BLOODSTAIN PATTERN ANALYSIS"	2
"BLOODSTAIN PATTERNS"	1
"BLOODY PRINTS"	1
"BLOTTING"	1
"BLUE TONING"	1
"BMI"	1
"BODY CONSTITUTION"	1
"BOG BODY"	1
"BOTULINUM TOXIN"	1
"BRASS"	3
"BRASS AMMUNITION"	1
"BRASS CARTRIDGE CASINGS"	1
"BRICKS AND STONES"	1
"BROMINE"	1
"BRONCHIAL ASTHMA"	1
"BRUCINE"	1
"BRUISE"	1
"BRUNER HEARING"	1
"BURGLARY"	1
"BURIED CADAVER"	1
"BURNED DOCUMENTS"	1
"BUTYLENE GLYCOL"	1
"BY-40"	1
"CADMIUM CHLORIDE"	2
"CADMIUM SELENIUM"	1
"CADMIUM SULFIDE"	4
"CADMIUM TELLURIDE"	1
"CAFFEINE"	1
"CALIBRATION"	1
"CANADIAN CRIMINAL JUSTICE"	1
"CANDIDA RUGOSA LIPASE NANOCONJUGATES"	1
"CANDIDATE LISTS"	1
"CANDLE SOOT"	1
"CANDOR"	1
"CAPACITIVE READER EVALUATION"	1
"CAPECITABINE"	1
"CAPILLARY ELECTROPHORESIS"	1
"CARBON"	2
"CARBON DOT"	1
"CARBON DOTS"	7
"CARBON NANOMATERIALS"	1
"CARBON NANOPARTICLE"	1
"CARBON NANOPARTICLES"	1
"CARTRIDGE"	1
"CARTRIDGE CASE"	1
"CARTRIDGE CASES"	1
"CARTRIDGE CASES AND BRASS PLATES"	1
"CARTRIDGE CASINGS"	1
"CASE BASED REASONING"	1
"CASE MANAGERS"	1
"CASE WORK SAMPLES"	1
"CASEWORK"	1
"CASEWORK APPLICATION"	1
"CASTING MATERIAL"	1
"CATALYSIS AND BIOMETRIC"	1
"CATALYST"	1
"CATEGORIZATION"	1
"CATHEPSIN-D"	1
"CATIONIC DYE"	2
"CBRN"	1
"CDS"	1
"CDS QUANTUM DOTS"	1
"CDSE"	1
"CDSE NANOPARTICLE SUSPENSION"	1
"CDSE QDS GREEN SYNTHESIS"	1
"CDSSE QUANTUM DOTS"	1
"CDTE"	3
"CDTE QDS"	2
"CDTE QUANTUM DOTS"	1
"CE3+AND TB3+CO-DOPED ALN PHOSPHOR"	1
"CELL IMAGING"	1
"CELLULOSE MEMBRANE"	1
"CHALLENGES"	1
"CHARRING"	2
"CHEILOSCOPY"	2
"CHEMICAL"	1
"CHEMICAL AGENTS"	1
"CHEMICAL ANALYSIS"	2
"CHEMICAL CHARACTERIZATION"	1
"CHEMICAL CO-PRECIPITATION METHOD"	1
"CHEMICAL COMPOSITION"	2
"CHEMICAL ENHANCEMENT"	1
"CHEMICAL IMAGING"	13
"CHEMICAL IMAGING OF FINGERPRINTS"	1
"CHEMICAL PROFILE"	1
"CHEMICAL REACTION"	1
"CHEMICAL REAGENTS"	1
"CHEMICAL, BIOLOGICAL, RADIOLOGICAL, AND NUCLEAR FORENSICS"	1
"CHEMILUMINESCENCE"	2
"CHEMOMETRICS"	3
"CHILD"	2
"CHINESE"	1
"CHITOSAN"	3
"CHLORATE"	1
"CHLORIDE ION"	1
"CHLORINE"	1
"CHLOROPHYLL"	1
"CHOLESTEROL"	3
"CHOLESTERYL ESTERS"	1
"CHROMATIC WHITE-LIGHT SENSOR"	3
"CHROMATIC WHITE LIGHT SENSOR"	2
"CID"	1
"CIE"	1
"CIE AND CCT"	1
"CIRCULAR REASONING"	1
"CLARITY MAP"	1
"CLASSIFICATION"	5
"CLAY MINERALS"	1
"CLEANING"	1
"CLIMATE"	1
"CLING FILM"	1
"CLOTHING"	1
"CLOTTING"	1
"CN YELLOW CRYSTALS"	1
"CO-ELECTRODEPOSITION"	1
"CO2TIO4 NANOPOWDER"	1
"COCAINE AND DERIVATIVES"	1
"CODOPING"	1
"COFFEE RING EFFECT"	1
"COGNITION"	2
"COGNITIVE BIAS"	7
"COGNITIVE BIASES"	1
"COGNITIVE CONTAMINATION"	1
"COGNITIVE FACTORS"	1
"COGNITIVE FORENSICS"	6
"COGNITIVE INFLUENCES"	1
"COGNITIVE PSYCHOLOGY"	2
"COGNITIVE SCIENCE"	1
"COGNITIVE TOP-DOWN PROCESSING"	1
"COHERENCE"	2
"COLD CASE"	1
"COLD CASES"	1
"COLLABORATIVE EXERCISES"	1
"COLLABORATIVE EXERCISES 2015"	1
"COLLOID"	1
"COLLOIDAL"	1
"COLLOIDAL GOLD"	1
"COLLOIDAL SOLUTION"	1
"COLON CANCER"	1
"COLOR CONTRAST"	1
"COLOR HINDRANCE"	1
"COLORIMETRIC"	3
"COLORIMETRIC IMAGING"	1
"COLOURED AND MAGNETISABLE PARTICLES"	1
"COLUMNAR THIN FILM"	7
"COLUMNAR THIN FILM (CTF)"	1
"COLUMNAR THIN FILMS"	2
"COMBUSTION"	3
"COMBUSTION SYNTHESIS"	2
"COMPACT DISC"	1
"COMPARATIVE STUDY"	1
"COMPARISON"	1
"COMPARISON PROFICIENCY TEST"	1
"COMPETITIVE ENZYME IMMUNOASSAY"	1
"COMPLEXITY"	1
"COMPONENT"	1
"COMPONENT RECOGNITION"	1
"COMPOSITE"	1
"COMPOSITE TASK"	1
"COMPOSITION"	6
"COMPUTATIONAL"	1
"COMPUTATIONAL QUANTUM CHEMISTRY"	1
"COMPUTED TOMOGRAPHY"	1
"COMPUTER FORENSICS"	1
"COMPUTERS"	1
"CON?RMATION BIAS"	1
"CONCLUSION"	1
"CONCLUSION CRITERIA"	1
"CONDENSATION"	1
"CONDITIONING"	1
"CONDUCTING POLYMER"	1
"CONDUCTIVE SUBSTRATES"	1
"CONDUCTIVE SURFACES"	1
"CONFIDENCE INTERVAL"	1
"CONFIGURAL"	1
"CONFIRMATION BIAS"	9
"CONFLICT"	2
"CONFLICT OF INTEREST"	1
"CONFORMAL-EVAPORATED-FILM-BY-ROTATION TECHNIQUE"	1
"CONFORMAL-EVAPORATED FILM BY ROTATION"	1
"CONFORMAL EVAPORATED FILM BY ROTATION"	1
"CONGENITAL CARDIAC DISEASE"	1
"CONJUGATED OLIGOMER"	2
"CONJUGATED POLYELECTROLYTE"	1
"CONJUGATED POLYMER"	1
"CONJUGATED POLYMER NANOPARTICLES"	1
"CONSERVATION"	1
"CONSULTATION"	1
"CONTACT"	1
"CONTACT-LESS FINGERPRINT ACQUISITION"	1
"CONTACT AREA"	1
"CONTACT DNA"	2
"CONTACT POTENTIAL DIFFERENCE"	1
"CONTACT RESIDUES"	1
"CONTACT STAINS"	1
"CONTACTLESS TECHNIQUE"	2
"CONTAMINANT"	1
"CONTAMINANTS"	1
"CONTAMINATION"	3
"CONTENT ANALYSIS"	2
"CONTENTS BASED INFORMATION RETRIEVAL"	1
"CONTEXT BIAS"	1
"CONTEXT EFFECTS"	6
"CONTEXT INFORMATION MANAGEMENT"	1
"CONTEXTUAL"	1
"CONTEXTUAL BIAS"	2
"CONTEXTUAL EFFECTS"	2
"CONTEXTUAL IN?UENCES"	1
"CONTEXTUAL INFLUENCE"	1
"CONTEXTUAL INFORMATION"	3
"CONTRAST"	2
"CONTRAST DEVELOPMENT"	1
"CONTRAST INDEX"	1
"CONTROLLED SUBSTANCES"	2
"CONTUSION"	1
"CONVENTIONAL POWDERS"	1
"CONVOLUTIONAL NEURAL NETWORK"	1
"CONVOLUTIONAL NEURAL NETWORKS"	2
"COOMASSIE BRILLIANT BLUE"	1
"COPOLYMER"	1
"COPPER"	2
"COPPER PHTHALOCYANINE"	1
"CORE-SHELL"	1
"CORE-SHELL MICROSPHERES"	1
"CORE–SHELL NANOPARTICLES"	1
"CORE SHELL"	1
"CORNEOMETER"	1
"CORNULIN"	1
"CORONENEDIIMIDES"	1
"CORPSE"	1
"CORRELATION ALGORITHMS"	1
"CORROBORATION"	1
"CORROBORATIVE EVIDENCE"	1
"CORROSION"	4
"COSMETICS"	2
"COTININE"	1
"COTTON"	1
"COUNTER-TERRORISM"	1
"COUNTER TERRORISM"	1
"COUNTERFEITED BANKNOTES"	1
"COUNTERFEITING"	1
"COURT"	1
"COURT ORDER"	1
"CPU"	1
"CREASE DETECTION"	1
"CREATIVE MATERIALS"	1
"CRIME"	2
"CRIME-LITE EYE"	1
"CRIME ANALYSIS"	2
"CRIME DETECTION"	1
"CRIME SCENE"	9
"CRIME SCENE AND ANTI-COUNTERFEITING"	1
"CRIME SCENE FORENSICS"	5
"CRIME SCENE INVESTIGATION"	5
"CRIME SCENE LINKING"	2
"CRIME SCENES"	2
"CRIME SCOPE"	1
"CRIMELITES"	1
"CRIMINAL IDENTIFICATION"	1
"CRIMINAL INVESTIGATION"	1
"CRIMINAL JUSTICE"	2
"CRIMINAL TECHNOLOGY"	1
"CRIMINALISTICS"	6
"CRIMINOLOGY"	1
"CRITICAL ANALYSIS"	1
"CROSSING NUMBER"	1
"CRYOGUN"	1
"CRYPTOGRAPHY"	1
"CRYSTAL VIOLET"	1
"CSFPO"	1
"CSI EFFECT"	2
"CUPRORIVAITE"	2
"CURCUMIN"	1
"CURE MONITORING"	1
"CURRENT CAPABILITIES"	1
"CURRICULA"	1
"CURVED SURFACE"	1
"CURVED SURFACES"	2
"CUTICULAR LIPIDS"	1
"CW VISIBLE LASER"	1
"CWL"	1
"CYANIDE QUANTITATION"	1
"CYANO VAC"	1
"CYANOACRILE METHOD"	1
"CYANOACRYLATE"	21
"CYANOACRYLATE (SUPERGLUE) FUMING"	1
"CYANOACRYLATE ESTER/RHODAMINE 6G"	1
"CYANOACRYLATE FUMING"	21
"CYANOACRYLATE STAIN"	1
"CYANOACRYLATE STAINS"	2
"CYANOBLOOM UV"	1
"CYANOCRILATE"	1
"CYRANOACRYLATE FUMING"	1
"D13S317"	1
"D16S539"	3
"D18S51"	2
"D19S433"	2
"D21S11"	2
"D2S1338"	2
"D3S1358"	2
"D7S820"	1
"D8S1179"	2
"DACTYLOGRAPHY"	5
"DACTYLOSCOPIC METHODS"	2
"DACTYLOSCOPIC TRACE"	1
"DACTYLOSCOPY"	12
"DACTYLOSCOPY, IDENTIFICATION, HISTORY, FINGERPRINTS"	1
"DANSYL CHLORIDE"	1
"DARK ADAPTATION"	1
"DARK SURFACES"	1
"DART-MASS SPECTROMETRY"	1
"DATA MINIMIZATION"	1
"DATA PROTECTION"	1
"DATA REPORTING"	1
"DATA SECURITY"	1
"DATABASE"	3
"DATING"	4
"DAUBERT"	7
"DECEPTION"	1
"DECIDING NOT TO DECIDE"	1
"DECISION"	2
"DECISION-THEORETIC CRITERION"	1
"DECISION ANALYSIS"	1
"DECISION MAKING"	11
"DECISION MODELS"	1
"DECISION THEORY"	3
"DECISIONS"	1
"DECOMPOSITION"	3
"DECOMPOSITION ODOUR PROFILING"	1
"DECONTAMINATION"	3
"DEEP EUTECTIC SOLVENT"	1
"DEEP LEARNING"	1
"DEEP NEURAL NETWORKS"	1
"DEFENSE SYSTEMS"	1
"DEFLECTOMETRY"	1
"DEFORMATION"	1
"DEGRADATION"	6
"DEGRADATION PRODUCTS"	1
"DEGRADATION RATIO"	1
"DEGREE OF PERSISTENCE"	1
"DELAUNAY TRIANGULATION"	2
"DENDRIMER"	1
"DENDRIMERS"	2
"DENSE CORRESPONDENCE"	1
"DENTAL ARCH FORM"	1
"DENTAL CARIES"	3
"DEPLETION SERIES"	1
"DEPOSITION PRESSURE"	1
"DEPRIVATION"	1
"DERMAL RIDGES"	1
"DERMATOGLYPHIC PATTERNS"	2
"DERMATOGLYPHIC STUDY"	1
"DERMATOGLYPHIC VARIATIONS"	1
"DERMATOGLYPHICS"	31
"DERMCIDIN"	3
"DESCRIPTOR"	1
"DESIGN AND IMPLEMENTATION OF SIGNAL PROCESSING SYSTEMS"	1
"DESIGNED EXPERIMENT"	1
"DETECTION"	17
"DETECTION EFFECTIVENESS"	1
"DETECTION MECHANISM"	1
"DETECTION METHOD"	1
"DETECTION OF FINGERMARKS"	1
"DETECTION SEQUENCES"	1
"DETECTION TECHNIQUES"	1
"DEVELOPERS"	1
"DEVELOPING AGENTS"	2
"DEVELOPMENT"	10
"DEVELOPMENT ENHANCERS"	1
"DEVELOPMENT METHODS"	1
"DEVELOPMENTAL INSTABILITY"	1
"DHA"	1
"DIABETES MELLITUS"	2
"DIACETYLENES"	2
"DIAGNOSTIC ERROR"	1
"DIAGNOSTICS"	2
"DIAMOND™ NUCLEIC ACID DYE"	1
"DIATOMITE"	1
"DICTIONARY LEARNING"	1
"DIELECTRIC CORE-METAL SHELL NANOWIRES"	1
"DIFFERENT SURFACES"	1
"DIFFERENTIAL HYSTERESIS PROCESSING"	1
"DIFFERENTIAL OXIDATION"	1
"DIFFUSE REFLECTANCE SPECTROSCOPY"	1
"DIFFUSED REFLECTANCE"	1
"DIFFUSION"	1
"DIGITAL CAMERAS"	1
"DIGITAL COLOR MAPPING"	1
"DIGITAL DERMATOGLYPHICS"	1
"DIGITAL FINGERPRINT COLLECTION"	1
"DIGITAL FORENSIC"	5
"DIGITAL IMAGE"	1
"DIGITIZED CRIME SCENE FORENSICS"	1
"DILUTED BLOOD"	1
"DIMENSIONALITY REDUCTION"	1
"DIRECT AMPLIFICATION"	1
"DIRECT ANALYTE-PROBED NANOEXTRACTION"	1
"DIRECT MICROSCOPIC IMAGES"	1
"DISCLOSURE"	1
"DISCONTINUITIES"	1
"DISCREPANCY"	1
"DISCRETE COSINE TRANSFORM"	1
"DISCRIMINANT ANALYSIS"	1
"DISCRIMINATION"	1
"DISK DRIVE"	1
"DISPERSE DYES"	1
"DISPERSIBLE RAMAN SUBSTRATES"	1
"DISPLAY DEVICES"	1
"DISPLAYS"	1
"DISPLAYS DEVICES"	1
"DISTORTION"	7
"DISTRIBUTED COGNITION"	1
"DISULFUR DINITRIDE"	1
"DIVISIBLE MATTER"	1
"DNA"	17
"DNA ANALYSIS"	4
"DNA COLLECTION TECHNIQUE"	1
"DNA DATABASE"	1
"DNA DEGRADATION"	1
"DNA DETECTION"	1
"DNA EVIDENCE"	2
"DNA EXTRACTION"	2
"DNA IQÔ"	1
"DNA PROFILES"	1
"DNA PROFILING"	3
"DNA RECOVERY"	2
"DNA STR PROFILE"	1
"DNA TESTING"	1
"DNA TRANSFER"	2
"DNA TYPING"	19
"DOCUMENT ANALYSIS"	1
"DOCUMENT EXAMINATION"	1
"DOCUMENT INKS"	1
"DOCUMENTS"	1
"DODGE AND BUM"	1
"DOMEX"	1
"DONOR PROFILING"	1
"DRS"	1
"DRUG"	5
"DRUG DETECTION"	2
"DRUG OF ABUSE"	4
"DRUGS AND EXPLOSIVES"	1
"DRY-WET"	1
"DRYING"	1
"DUAL-MODE LUMINESCENCE"	1
"DUAL ACTION"	1
"DUAL ACTION REAGENTS"	1
"DUAL FINGERPRINT REAGENT"	1
"DUAL FINGERPRINT REAGENTS"	1
"DUCT TAPE"	1
"DUSTING AGENT"	1
"DUSTING POWDER"	1
"DUTIES"	1
"DYE"	1
"DYE LOADING"	1
"DYE SOLUTION"	1
"DYE STAINING"	1
"DYNAMIC"	1
"DYNAMICS"	1
"DYNAMITE"	1
"DYSTONIA"	1
"E-BAY DEFENCE"	1
"EARLY CHILDHOOD CARIES"	1
"EASY-TO-CLEAN"	1
"ECCRINE LATENT FINGERPRINT"	1
"ECCRINE MATERIAL"	1
"ECCRINE SWEAT"	2
"ECCRINE SWEAT, DOCUMENTS"	1
"ECCRINE VS. SEBACEOUS"	1
"EDGE FEATURES"	1
"EDUCATION"	1
"EFFECT OF TIME"	1
"EFFECTIVENESS"	1
"EFFICIENCY"	1
"EGGS"	1
"EGYPTIAN BLUE PIGMENT"	1
"EGYPTIANS"	1
"EIS"	1
"ELECTRICAL TAPE"	2
"ELECTROACTIVE POLYMER"	1
"ELECTROCHEMICAL IMAGE"	1
"ELECTROCHEMICAL MECHANISM"	8
"ELECTROCHEMILUMINESCENCE"	1
"ELECTROCHEMILUMINESCENCE (ECL)"	1
"ELECTROCHEMILUMINESCENCE IMAGING"	1
"ELECTROCHEMILUMINESCENE"	1
"ELECTROCHEMISTRY"	1
"ELECTROCHROMIC"	1
"ELECTROCHROMISM"	2
"ELECTRODEPOSITION"	3
"ELECTROMAGNETIC SPECTRUM"	1
"ELECTRON BEAM IRRADIATION"	1
"ELECTRON MICROSCOPY"	2
"ELECTRONIC DEVICES"	1
"ELECTROPHOTOGRAPHY"	1
"ELECTROPOLYMERIZATION"	1
"ELECTROSPINNING"	1
"ELECTROSPRAY DEPOSITION"	1
"ELECTROSPRAY IONIZATION"	1
"ELECTROSTATIC"	1
"ELECTROSTATIC INTERACTION"	2
"ELECTROSTATICS"	1
"ELEMENTAL IMAGING"	1
"ELFT"	1
"ELLIPSOMETRY"	1
"EMBALMING"	1
"EMBRYOLOGY"	2
"EMED-SF®"	1
"EMOTION"	1
"EMOTIONAL CONTEXT"	1
"EMPIRICAL RESEARCH"	1
"ENERGY TRANSFER"	2
"ENFSI EFP-WG"	3
"ENHANCED FINGERPRINTS"	1
"ENHANCED RAMAN ANALYSIS"	1
"ENHANCED VISUALIZATION"	1
"ENHANCEMENT"	14
"ENHANCEMENT FACTOR"	1
"ENHANCEMENT OF MUDDY SHOEPRINTS"	1
"ENHANCEMENT TECHNIQUES"	1
"ENVIRONMENT"	1
"ENVIRONMENTAL CONDITIONS"	1
"ENVIRONMENTAL CONTAMINATION"	1
"ENVIRONMENTAL INFLUENCE"	1
"ENZYMES"	1
"EOSIN-BLUE"	1
"EPIDERMAL PORE"	1
"EPIDERMAL RIDGE DENSITY"	1
"EPIDERMAL RIDGES"	3
"EPIGENETIC"	1
"EPISTEMOLOGY"	2
"EPITHELIAL CELLS"	2
"ERGAL"	1
"ERRONEOUS EXCLUSIONS"	1
"ERRONEOUS IDENTIFICATION"	1
"ERROR ANALYSIS"	1
"ERROR RATE"	2
"ERROR RATES"	5
