"Keyword"	"Questioned Document"
"ASTM STANDARDS"	1
"ATOMIC FORCE"	1
"ATOMIC FORCE MICROSCOPY"	1
"ATOMIC FORCE MICROSCOPY (AFM)"	1
"ATR"	1
"ATR-FTIR"	3
"ATR-FTIR SPECTROSCOPY"	2
"ATR FTIR, BALLPOINT, MULTIVARIATE CHEMOMETRIC, PCA"	1
"ATRÂ€“FTIR"	1
"ATTRIBUTE AGREEMENT ANALYSIS"	2
"AUTHENTICATION"	3
"AUTHOR IDENTIFICATION"	1
"AUTHORSHIP"	1
"AUTHORSHIP ATTRIBUTION"	2
"AUTHORSHIP ATTRIBUTION FEATURES"	1
"AUTHORSHIP IDENTIFICATION"	1
"AUTHORSHIP INVARIANCENESS"	1
"AUTHORSHIP VERIFICATION"	1
"AUTO-SIMULATION"	1
"AUTOMATED BIOMETRIC"	1
"AUTOMATED BORDER CONTROL"	1
"AUTOMATIC COMPARISON"	1
"AUTOPEN"	1
"AVERAGE GRADIENT"	1
"BAG-OF-WORDS"	1
"BAG OF NOTES"	1
"BAGGING"	1
"BALL-PEN"	1
"BALL POINT PEN"	2
"BALLISTICS AND EXPLOSIVES"	1
"BALLPOINT"	3
"BALLPOINT INK"	17
"BALLPOINT INK DISCRIMINATION"	1
"BALLPOINT PEN"	3
"BALLPOINT PENS"	2
"BALLPOINT WRITING INKS"	1
"BAND SELECTION"	1
"BANDING"	2
"BANDING ARTIFACTS"	1
"BANK DYE"	1
"BANK FRAUD"	1
"BANK ROBBERY"	1
"BANK SECURITY"	1
"BANKNOTE RECOGNITION"	1
"BANKNOTES"	2
"BANKNOTES CHARACTERIZATION"	1
"BARRIER COATINGS"	1
"BATCH VARIATION"	1
"BAYES"	1
"BAYES' FACTOR"	2
"BAYES CLASSIFIER"	1
"BAYES THEOREM"	1
"BAYESÂ€™ THEOREM"	1
"BAYESIAN APPROACH"	2
"BAYESIAN NETWORK"	3
"BAYESIAN PARAMETER ESTIMATION"	1
"BEHAVIORAL BIOMETRICS"	1
"BEHAVIOURAL BIOMETRICS"	1
"BENCHMARK"	1
"BERNOULLI HMMS"	1
"BIAS"	1
"BIBLICAL EXEGESIS"	1
"BIC BALLPOINT"	1
"BIOMECHANICS"	1
"BIOMETRIC RECOGNITION"	1
"BIOMETRICS"	8
"BIRO INKS"	1
"BLACK & WHITE ELECTROPHOTOGRAPHY"	1
"BLACK BALLPOINT PEN INKS"	1
"BLACK GEL PEN INKS"	1
"BLACK INK"	1
"BLACK INK PEN"	1
"BLACK INKJET PRINTING INKS"	1
"BLACK TONER"	1
"BLOOD"	1
"BLUE BALLPOINT PEN INK"	1
"BLUE INK"	1
"BLUE INK PEN IDENTIFICATION"	1
"BLUE INKS"	2
"BLUE PEN"	2
"BLUE PIGMENTS"	1
"BLUE WRITING INK"	1
"BORDER CONTROL"	1
"BRAZILIAN VEHICLE DOCUMENTS"	1
"BRIGHTNESS"	1
"BROWNING PROCESS"	1
"BUSINESS LETTER FORMAT"	1
"BYZANTINE MANUSCRIPTS"	1
"CALIBRATION"	1
"CAMERA-TO-SUBJECT DISTANCE"	1
"CAMERA OCR"	1
"CAPILLARY ELECTROPHORESIS"	8
"CARBON-BASED BLACK GEL INK"	1
"CARBON ISOTOPE RATIOS"	1
"CASCADE DEVELOPER"	1
"CE-MS"	1
"CELL RECOVERY"	1
"CELLULAR AUTOMATA"	1
"CELLULOSE"	4
"CERTIFICATION"	1
"CHALCOGRAPHIC INKS"	1
"CHANNEL MIXER"	1
"CHANNELS"	1
"CHARACTER DISTRIBUTION"	1
"CHARACTER RECOGNITION"	1
"CHEMICAL ANALYSIS"	1
"CHEMICAL IMAGING"	1
"CHEMICAL STRUCTURE"	1
"CHEMILUMINESCENCE"	1
"CHEMOMETRIC METHODS"	1
"CHEMOMETRICS"	11
"CHINESE HANDWRITING"	1
"CHINESE HANDWRITING AND SIGNATURE EXAMINATION"	1
"CHINESE HANDWRITING EXAMINATION"	1
"CHINESE HANDWRITING WORKSHOP"	1
"CHINESE SEAL"	1
"CHLORINATED DERIVATIVES"	1
"CHROMATIC ANALYSIS"	2
"CHROMATOGRAPHY"	4
"CHRONOLOGY"	1
"CLASS CHARACTERISTICS"	2
"CLASSIFICATION"	8
"CLASSIFICATION AND REGRESSION TREE"	1
"CLASSIFICATION SYSTEM"	1
"CLASSIFICATION TREE"	1
"CLUSTER ANALYSIS"	1
"CLUSTERING"	2
"CLUSTERING VECTOR"	1
"CMYK"	1
"CO-OCCURRENCE"	1
"COATED PAPER"	1
"CODEBOOK"	1
"CODEBOOK OF GRAPHEMES"	1
"COFFEE"	1
"COGNITION"	2
"COGNITIVE BIAS"	1
"COGNITIVE FORENSICS"	1
"COGNITIVE IMPAIRMENT"	1
"COLLOID STABILITY"	1
"COLOR BARCODES"	1
"COLOR DECONVOLUTION"	1
"COLOR MODELS"	1
"COLORANTS"	1
"COLORING MATERIALS"	1
"COLOUR"	2
"COLOUR FASTNESS TO RUBBING"	1
"COLOUR MEASUREMENTS"	1
"COLOURED INKS"	1
"COMBINATION STRATEGY"	1
"COMBINED ON/OFFLINE HANDWRITING ANALYSIS"	1
"COMPARISON"	5
"COMPARISONS"	1
"COMPATIBILITY SCORE"	1
"COMPETENCY"	1
"COMPONENT"	1
"COMPONENT MIGRATION"	1
"COMPOSITE"	1
"COMPOSITION"	1
"COMPRESSION MODELS"	2
"COMPUTATIONAL INTELLIGENCE"	1
"COMPUTATIONAL INTELLIGENCE METHODS"	1
"COMPUTER MANIPULATED DOCUMENTS"	1
"CON- VOLUTIONAL NEURAL NETWORKS"	1
"CONDITIONAL AUTOENCODER"	1
"CONFIDENCE INTERVAL"	1
"CONFOCAL-TYPE LASER PROFILE MICROSCOPE"	1
"CONOSCOPIC HOLOGRAPHY"	1
"CONSERVATION"	2
"CONSISTENCY OF WRITING"	1
"CONSTRAINED SEED K-MEANS ALGORITHM"	1
"CONTENT AGNOSTIC STYLOMETRY"	1
"CONTEXT INFORMATION"	1
"CONTEXT MANAGEMENT"	1
"CONTEXTUAL ANALYSIS"	1
"CONTOUR ROUGHNESS"	1
"CONTRAST ENHANCEMENT"	1
"CONTROLLED HEATING"	1
"CONVOLUTION NEURAL NETWORK (CNN)"	1
"CONVOLUTIONAL NEURAL NETWORK"	1
"CONVOLUTIONAL NEURAL NETWORKS"	1
"CONVOLUTIONAL NEURAL NETWORKS (CNNS)"	1
"COPY EVIDENCE"	2
"COPY TONER"	1
"COPYBOOK"	1
"CORRELATION"	1
"CORRESPONDENCE"	1
"COUMARIN DYES"	1
"COUNTERFEIT"	7
"COUNTERFEIT BANKNOTES"	1
"COUNTERFEIT CURRENCY"	1
"COUNTERFEIT NOTES"	1
"COUNTERFEITS"	2
"COUNTERFIGHT DETECTION"	1
"COURT TAX MARKS"	1
"COVERT"	1
"COVERT PRINTING"	2
"CPAR-2012"	1
"CRIME"	1
"CRIME INTELLIGENCE"	1
"CRIME MARKETS"	1
"CRIMINAL NETWORKS"	1
"CRIMINAL ORGANIZATIONS"	1
"CRIMINALISTICS"	2
"CRIMINOLOGY"	1
"CROSS-SCRIPT"	1
"CROSSED-LINE INTERSECTIONS"	1
"CROSSED-OUT TEXT"	1
"CROSSING"	1
"CROSSING INK"	1
"CROSSING INKS"	1
"CROSSING LINE"	2
"CROSSING SEQUENCES"	1
"CRYSTAL VIOLET"	1
"CRYSTALLINITY INDEX"	1
"CURRENCY FORENSICS"	1
"CURRENCY SECURITY"	1
"CURSIVE"	1
"CURVELET"	1
"CZE"	2
"DAD"	1
"DAPNE"	1
"DART"	1
"DART-Q-TOF"	1
"DART/TOF-MS"	1
"DARTÂ„¢"	1
"DATA ANALYSIS METHODS"	1
"DATA COLLECTION"	1
"DATA FUSION"	1
"DATA MINING"	1
"DATA PREPROCESSING"	1
"DATA SPLITTING"	1
"DATA TREATMENT"	1
"DATABASE"	3
"DATING"	12
"DATING METHODS"	1
"DATING OF ARTWORK"	1
"DATING OF DOCUMENTS"	1
"DCT"	1
"DECIPHERING"	1
"DECIPHERMENT"	1
"DECISION FUSION"	1
"DECISION MAKING"	2
"DECISION RULES"	1
"DECISION TREE"	1
"DECOPIER"	1
"DEEP LEARNING"	4
"DEEP LEARNING-BASED DOCUMENT PROVENANCE ANALYSIS"	1
"DEFECTS"	1
"DEGRADATION OF DYES"	1
"DELAUNAY"	1
"DEMENTIA"	1
"DENTAL MATERIALS"	1
"DEPTH PROFILING"	1
"DESKTOP PRINTING"	1
"DESORPTION/IONIZATION TECHNIQUES"	1
"DETECTION OF FINGERMARKS"	1
"DETERMINATION OF WRITING SEQUENCE"	1
"DEVICE TYPE IDENTIFICATION"	1
"DEVNAGARI"	1
"DIAMOND CELL"	1
"DIFFERENTIATION"	3
"DIFFUSE REFLECTANCE UVÂ€“VIS-NIR SPECTROSCOPY"	1
"DIFFUSION"	1
"DIGITAL CAPTURE"	1
"DIGITAL FORENSIC"	5
"DIGITAL IMAGE"	2
"DIGITAL IMAGE ANALYSIS"	1
"DIGITAL IMAGE FORENSICS"	1
"DIGITAL LASER PRINTING INK"	1
"DIGITAL MICROSCOPE"	1
"DIGITAL MICROSCOPY"	1
"DIGITAL PALEOGRAPHY"	1
"DIGITAL PHOTOGRAPHY"	1
"DIGITAL WATERMARKING"	1
"DIGITALLY ACQUIRED SIGNATURE"	1
"DIGITALLY CAPTURED SIGNATURE"	1
"DIRECT ANALYSIS IN REAL TIME"	3
"DIRECT VISUAL COMPARISON"	1
"DIRECTIONAL DATA"	1
"DIRECTIONAL FEATURES"	1
"DIRT SPECKS"	1
"DISAPPEARED WRITTEN LINES"	1
"DISAPPEARING INKS"	1
"DISCRETE COSINE TRANSFORM"	1
"DISCRETE RADON TRANSFORM"	1
"DISCRETE WAVELET TRANSFORM (DWT)"	1
"DISCRETIZATION"	1
"DISCRIMINANT ANALYSIS"	3
"DISCRIMINATING POWER"	7
"DISCRIMINATION"	6
"DISCRIMINATION CAPABILITY"	1
"DISCRIMINATION POWER"	4
"DISGUISE"	5
"DISGUISED SIGNATURES"	1
"DISSIMILARITY MEASURE"	1
"DISSOLUTION-DIFFUSION METHOD"	1
"DISTRIBUTION ON A CIRCLE"	1
"DIVERSION"	1
"DIVIDE-AND-CONQUER STRATEGY"	1
"DNA"	1
"DNA PROFILING"	1
"DNA TYPING"	1
"DOCUMENT"	4
"DOCUMENT AGE"	1
"DOCUMENT ANALYSIS"	10
"DOCUMENT AUTHENTICATION"	1
"DOCUMENT AUTHENTICITY"	1
"DOCUMENT EXAMINATION"	37
"DOCUMENT FILE FORMAT"	1
"DOCUMENT FORENSIC"	1
"DOCUMENT FORGERY"	1
"DOCUMENT FORGERY DETECTION"	1
"DOCUMENT FRAUD"	4
"DOCUMENT IMAGE ANALYSIS"	2
"DOCUMENT IMAGE ENHANCEMENT"	1
"DOCUMENT IMAGE QUALITY ASSESSMENT"	1
"DOCUMENT INK ANALYSIS"	1
"DOCUMENT INSPECTION SYSTEMS"	1
"DOCUMENT INVESTIGATION"	1
"DOCUMENT LAYOUT"	1
"DOCUMENT MANAGEMENT"	1
"DOCUMENT PAPER"	5
"DOCUMENT PROCESSING"	1
"DOCUMENT PROCESSING AND ANALYSIS"	1
"DOCUMENT RECONSTRUCTION"	1
"DOCUMENT RECOVERY"	1
"DOCUMENT SECURITY"	4
"DOCUMENT SEGMENTATION"	1
"DOCUMENT SIMULATION"	1
"DOCUMENTOSCOPY"	1
"DOCUMENTS"	6
"DOCUMENTS EXAMINATION"	1
"DOMAINIRRELEVANT INFORMATION"	1
"DOMEX"	1
"DOT-MATRIX PRINTER"	1
"DOUBLE-BLIND EXPERIMENT"	1
"DRAWING"	1
"DROPLET FORMATION"	1
"DRY CLEANING"	1
"DSA/TOF-MS"	1
"DYE"	14
"DYE BLEACHING"	1
"DYE DECOMPOSITION"	1
"DYE DEGRADATION"	1
"DYE PACK"	1
"DYNAMIC HANDWRITTEN SIGNATURE"	1
"DYNAMIC PARAMETERS"	2
"DYNAMIC SELECTION"	1
"DYNAMIC SIGNATURE"	2
"DYNAMIC TIME WARPING"	2
"EASI-MS"	1
"EASY AMBIENT SONIC-SPRAY IONIZATION MASS SPECTROMETRY"	1
"EDD"	1
"EDWARD STEICHEN"	1
"EFFECT OF LIGHT"	1
"ELECTRICAL RESISTIVITY"	1
"ELECTRON BEAM IRRADIATION"	1
"ELECTRONIC PASSPORT"	1
"ELECTRONIC SIGNATURE"	2
"ELECTROPHOTOGRAPHY"	1
"ELECTROSPRAY"	1
"ELECTROSPRAY IONIZATION"	1
"ELECTROSTATIC DETECTION"	1
"ELECTROSTATIC DETECTION APPARATUSÂ®"	1
"ELECTROSTATIC DOCUMENT APPARATUS"	1
"ELECTROSTATIC IMAGING"	1
"ELEMENTAL ANALYSIS"	2
"ELEMENTAL COMPOSITION"	1
"ELEMENTAL FINGERPRINTING"	1
"ELEMENTAL PROFILE"	1
"EM ALGORITHM"	1
"EMBEDDED SYSTEMS"	1
"EMPIRICAL CROSS-ENTROPY"	1
"END-POINT INFORMATION"	1
"ENERGY-DISPERSIVE X-RAY FLUORESCENCE"	1
"ENGLISH AND KANNADA HANDWRITTEN DOCUMENTS"	1
"ENGLISH HANDWRITING"	1
"ENRON"	1
"ENSEMBLE METHODS"	1
"ENSEMBLE OF CLASSIFIERS"	1
"ENTRENCHMENT"	1
"ENVELOPES"	2
"EPR SPECTROSCOPY"	1
"EQUIVOCAL DOCUMENTS"	1
"ERASABLE"	1
"ERASABLE INK"	1
"ERASABLE PEN"	1
"ESDA"	11
"EUROPIUM THENOYLTRIFLUOROACETONATE"	1
"EVALUATION"	2
"EVALUATION METHODOLOGY"	1
"EVALUATION PROTOCOL"	1
"EVAPORATION RATE"	1
"EVIDENCE"	6
"EVIDENCE COLLECTION"	1
"EXAMINATION"	1
"EXPERT PENMEN"	1
"EXPERTISE"	1
"EXPLOSIVE"	2
"EXPLOSIVE MATERIALS"	1
"EXTRACTIVES"	1
"EYE MOVEMENT"	2
"FABRICATION"	1
"FACIAL PROPORTIONS"	1
"FACTORIAL DESIGN"	1
"FADING TIME"	1
"FAKES"	1
"FALSE IDENTITY DOCUMENTS"	1
"FCM CLUSTERING"	1
"FCN"	1
"FE-SEM-EDS"	1
"FE(II)/FE(III) REDOX SYSTEM"	1
"FEATURE ANALYSIS"	1
"FEATURE BACK-PROJECTION"	1
"FEATURE COMBINATION"	1
"FEATURE DISCRIMINATION"	1
"FEATURE EVALUATION"	2
"FEATURE EXTRACTION"	6
"FEATURE FILTERS"	2
"FEATURE HISTOGRAM DESCRIPTORS"	1
"FEATURE IMPORTANCE"	1
"FEATURE MAPPING"	1
"FEATURE MATCHING"	1
"FEATURE SELECTION"	5
"FEATURE VECTOR"	2
"FEDERICO FELLINI"	1
"FELT- TIP PENS"	1
"FELT-TIP PENS"	1
"FENTON REACTION"	1
"FFT"	1
"FIBRE"	2
"FIBRE NETWORK"	1
"FIBRE ORIENTATION"	1
"FIGURES OF MERIT"	1
"FILLED POLYMER COATINGS"	1
"FILLER CONTENT"	1
"FILLING RATE"	1
"FILM"	1
"FILTERED LIGHT"	1
"FILTERS"	1
"FINGERPRINT"	6
"FINGERPRINT RESIDUE"	1
"FINGERPRINTING"	1
"FLAX FIBRE"	1
"FLEXOGRAPHIC PRINTING"	1
"FLEXOGRAPHIC PRINTING INKS"	1
"FLOCCULATION"	1
"FLUORESCENCE"	4
"FLUORESCENCE LIFETIME"	1
"FLUORESCENCE TECHNIQUE"	1
"FLUORESCENT TONER"	1
"FOCUSED ION BEAM"	1
"FOR/FLUORESCENCE SPECTROSCOPY"	1
"FORCE MEASUREMENTS"	1
"FORENSIC"	31
"FORENSIC ANALYSIS"	4
"FORENSIC ANALYSIS OF INK"	1
"FORENSIC APPLICATION"	1
"FORENSIC CASEWORK"	1
"FORENSIC CHEMISTRY"	6
"FORENSIC DECISION MAKING"	1
"FORENSIC DISCRIMINATION"	1
"FORENSIC DOCUMENT"	1
"FORENSIC DOCUMENT ANALYSIS"	1
"FORENSIC DOCUMENT COMPARISON"	1
"FORENSIC DOCUMENT EXAMINATION"	13
"FORENSIC DOCUMENT EXAMINER"	1
"FORENSIC DOCUMENTOSCOPY"	1
"FORENSIC EVIDENCE"	1
"FORENSIC EXAMINATION"	2
"FORENSIC EXAMINATIONS OF DOCUMENTS"	1
"FORENSIC HANDWRITING COMPARISON"	1
"FORENSIC HANDWRITING EXAMINATION"	4
"FORENSIC HANDWRITING EXAMINER"	1
"FORENSIC HANDWRITING EXAMINERS"	1
"FORENSIC HANDWRITTEN EXAMINATION"	1
"FORENSIC IMAGE PROCESSING"	1
"FORENSIC INK ANALYSIS"	2
"FORENSIC INTELLIGENCE"	3
"FORENSIC INVESTIGATION"	1
"FORENSIC LINGUISTICS"	2
"FORENSIC MEDICINE"	2
"FORENSIC PALYNOLOGY"	1
"FORENSIC QUESTIONED DOCUMENT"	2
"FORENSIC SAMPLE"	1
"FORENSIC SCIENCE"	161
"FORENSIC SCIENCE, INK ANALYSIS, HIGH PERFORMANCE THIN LAYER CHROMATOGRAPHY, DISCRIMINATION POWER, BALLPOINT PEN"	1
"FORENSIC SIGNATURE COMPARISON"	1
"FORENSIC STATISTICS"	1
"FORENSIC TEXT COMPARISON"	1
"FORGED"	1
"FORGED SEAL DETECTION"	1
"FORGED SIGNATURES"	1
"FORGERY"	10
"FORGERY DETECTION"	7
"FOUNTAIN PEN"	1
"FOUNTAIN PEN INK ENTRIES"	1
"FOUNTAIN PEN WRITING"	1
"FOURIER ANALYSIS"	1
"FOURIER DESCRIPTORS"	6
"FOURIER TRANSFORMS"	1
"FRACTAL"	1
"FRACTAL FILTER"	1
"FRACTIONATED THERMAL DESORPTION"	1
"FRAUD"	3
"FRAUD DETECTION"	1
"FREEHAND SIMULATION"	1
"FREEMAN CHAIN CODE"	1
"FREQUENCY"	1
"FREQUENCY ANALYSIS"	1
"FREQUENCY OCCURRENCE"	2
"FRINGE ANALYSIS"	1
"FRIXION INK"	1
"FROSTED LAYER"	1
"FT-IR ANALYSIS"	1
"FTIR MICROSPECTROSCOPY"	1
"FTIR SPECTROMETRY"	1
"FUJIWARA SHUNZEI"	1
"FULLY CONVOLUTIONAL NEURAL NETWORKS"	1
"FUNCTIONAL DATA ANALYSIS"	1
"FUSION"	1
"FUSION STRATEGY"	1
"FUZZY MEMBERSHIP"	1
"FUZZY REASONING"	1
"GABOR FILTER"	1
"GALLIC ACID"	1
"GAMBLING FRAUD"	1
"GAMBOGE"	1
"GAS CHROMATOGRAPHY (GC)"	6
"GAS CHROMATOGRAPHY (GC) METHOD"	1
"GAS CHROMATOGRAPHYÂ€“MASS SPECTROMETRY (GC-MS)"	1
"GAUSSIAN PROCESS CLASSIFICATION"	1
"GEL INK"	1
"GEL INK PEN"	1
"GEL INKS"	2
"GEL PEN"	2
"GEL PEN INK"	1
"GEL PEN INK ENTRIES"	1
"GEL PEN INKS"	3
"GEL PENS"	3
"GELATINE LIFTING"	1
"GENDER"	2
"GENDER CLASSIFICATION"	1
"GENDER DETECTION"	2
"GENDER PREDICTION"	1
"GENETIC ALGORITHM"	1
"GENETIC ALGORITHMS"	1
"GENUINE"	1
"GEOMETRIC DISTORTION SIGNATURE"	1
"GLASS"	1
"GLCM"	1
"GLOSSY PAPER"	1
"GLYCERIN"	1
"GLYCOL-BASED INK"	1
"GRADIENT DIRECTION"	1
"GRAMMAGE"	1
"GRAPHEME FEATURES"	1
"GRAPHEMES"	1
"GRAPHOLOGY"	1
"GRAPHOMETRIC FEATURES"	1
"GRAPHOMETRICS"	1
"GRAPHONOMICS"	1
"GREY LEVEL CO-OCCURRENCE MATRIX FEATURE"	1
"GRID HISTOGRAM"	1
"GSC FEATURES"	1
"GUNSHOT RESIDUE"	1
"H ARDCOPY DATA EMBEDDING"	1
"HALFTONE IMAGE WATERMARKING"	1
"HALIDE"	1
"HAMMING DISTANCE"	1
"HAND"	1
"HAND-WRITTEN TEXT LOCALIZATION"	1
"HANDPRINTING"	1
"HANDWRITING"	27
"HANDWRITING ANALYSIS"	10
"HANDWRITING APPARATUS"	1
"HANDWRITING BIOMETRICS"	1
"HANDWRITING CURVATURE"	1
"HANDWRITING DIRECTION"	1
"HANDWRITING EVIDENCE"	3
"HANDWRITING EXAMINATION"	3
"HANDWRITING GENERATION"	1
"HANDWRITING GENERATION MODELS"	1
"HANDWRITING IDENTIFICATION"	2
"HANDWRITING INDIVIDUALITY"	2
"HANDWRITING PROCESSING"	2
"HANDWRITING RECOGNITION"	2
"HANDWRITING STRATEGY"	1
"HANDWRITING SURFACES AND HANDWRITING STABILITY"	1
"HANDWRITING TORTUOSITY"	1
"HANDWRITTEN CONNECTED COMPONENTS"	1
"HANDWRITTEN DOCUMENT"	4
"HANDWRITTEN DOCUMENT SECURITY"	1
"HANDWRITTEN MUSICAL SCORES"	1
"HANDWRITTEN OFFLINE DOCUMENTS"	1
"HANDWRITTEN SCRIPT"	1
"HANDWRITTEN TEXT"	1
"HARALICK FILTER"	1
"HARDCOPY DOCUMENT FORENSICS"	1
"HASHING"	1
"HEAT"	1
"HEAT SENSITIVE"	1
"HEAVY ION MICROPROBE"	1
"HEINRICH KÃ¼HN"	1
"HERITAGE SCIENCE"	1
"HIDDEN MARKOV MODEL"	1
"HIDDEN MARKOV MODEL (HMM)"	1
"HIDDEN MARKOV MODEL TOOLKIT (HTK)"	1
"HIDDEN MARKOV MODELS"	1
"HIERARCHICAL CLUSTER ANALYSIS"	1
"HIERARCHICAL CLUSTER ANALYSIS (HCA)"	1
"HIGH-RESOLUTION IMAGING"	1
"HIGH CONTENT SIMILARITY"	1
"HIGH PERFORMANCE LIQUID CHROMATOGRAPHY/MASS SPECTROMETRY (HPLC/MS)"	1
"HIGH RESOLUTION"	1
"HISTOGRAM ORIENTED GABOR GRADIENT FEATURE"	1
"HISTOGRAM SEQUENCE CONCATENATION"	1
"HISTOGRAM SYMBOLIC REPRESENTATION"	1
"HISTOGRAMS"	1
"HISTORICAL DOCUMENTS"	1
"HISTORICAL WRITING INK"	1
"HISTORY RESEARCH"	1
"HOLISTIC WORD RECOGNITION"	1
"HOLOENTROPY ENABLED DECISION TREE CLASSIFIER"	1
"HOLOGRAM IMAGES"	1
"HOMOGENOUS INK"	1
"HOMOLOGOUS PIECES"	1
"HORIZONTAL PROJECTION"	1
"HPLC-Q-TOF-MS"	1
"HSB"	1
"HTR"	1
"HUMAN IN THE LOOP"	1
"HUMANÂ€“MACHINE INTERACTION"	1
"HUMIDITY"	1
"HWR"	1
"HYBRID BLACK TONER"	1
"HYBRID CLASSIFIER"	1
"HYBRID GENERATIVEDISCRIMINATIVE SYSTEMS"	1
"HYDROGEN ISOTOPE RATIOS"	1
"HYDROGEN PEROXIDE"	1
"HYDROLYSIS"	1
"HYPERBRANCHED POLYMERS"	1
"HYPERSPECTRAL ANALYSIS"	1
"HYPERSPECTRAL DOCUMENT IMAGES"	1
"HYPERSPECTRAL IMAGE"	1
"HYPERSPECTRAL IMAGES"	1
"HYPERSPECTRAL IMAGING"	4
"HYPERSPECTRAL UNMIXING"	1
"ID3"	1
"IDEAL SUBJECT DISTANCE"	1
"IDENTIFICATION"	6
"IDENTIFICATION OF AUTHOR"	1
"IDENTIFICATION OF LASER PRINTERS"	1
"IDENTITY DOCUMENT FRAUD"	1
"IDENTITY DOCUMENTS"	2
"IDIOLECT"	1
"ILLEGIBLE PAPYRUS"	1
"ILLICIT DRUG"	1
"IMAGE ANALYSIS"	4
"IMAGE ANALYSIS AND COMPARISON"	1
"IMAGE FUSION"	1
"IMAGE MOSAICING"	1
"IMAGE PROCESSING"	6
"IMITATION GAME"	1
"IMPERSONATION"	1
"IN-LINE MONITORING"	1
"IN SITU ANALYSIS"	1
"INCREMENTAL LEARNING"	1
"INDENTATIONS"	1
"INDENTED IMPRESSION"	1
"INDENTED IMPRESSIONS"	1
"INDENTED WRITING"	4
"INDEPENDENT COMPONENT ANALYSIS"	1
"INDIA INK"	1
"INDIAN SCRIPT IDENTIFICATION"	1
"INDIVIDUALITY"	1
"INDIVIDUALITY IN HANDWRITING"	2
"INDUCTIVELY COUPLED PLASMA-ATOMIC EMISSION SPECTROMETRY (ICP-AES)"	1
"INDUCTIVELY COUPLED PLASMAMASS SPECTROMETRY"	1
"INFERENCE OF GENDER"	1
"INFERENCE OF HANDEDNESS"	1
"INFORMATION SYSTEMS"	1
"INFORMATION THEORETICAL ANALYSIS"	1
"INFRARED LUMINESCENCE"	1
"INFRARED MICROSCOPICAL ANALYSIS"	1
"INFRARED MICROSCOPY"	1
"INFRARED MICROSPECTROSCOPY."	1
"INFRARED RADIATION"	2
"INFRARED REFLECTANCE SPECTROSCOPY"	1
"INFRARED REFLECTOGRAPHY"	1
"INFRARED SPECTROSCOPY (IR)"	5
"INK"	56
"INK-JET PRINTERS"	1
"INK-JET PRINTING"	1
"INK-PRINTED TEXT"	1
"INK ABSORPTION"	1
"INK AGEING"	2
"INK AGING"	6
"INK ANALYSIS"	24
"INK COMPARISON"	2
"INK CROSSINGS"	1
"INK DATABASE"	1
