"Keyword"	"Biological Evidence-DNA"
"DYS 453"	1
"DYS 454"	1
"DYS 455"	1
"DYS 456"	1
"DYS 458"	1
"DYS 463"	1
"DYS 464"	1
"DYS 468"	1
"DYS 484"	1
"DYS 522"	1
"DYS 527"	1
"DYS 531"	1
"DYS 557"	1
"DYS 588"	1
"DYS19"	10
"DYS385"	7
"DYS385A/B"	2
"DYS388"	4
"DYS389"	4
"DYS389I"	3
"DYS389II"	4
"DYS390"	8
"DYS391"	9
"DYS392"	8
"DYS393"	8
"DYS425"	3
"DYS426"	1
"DYS434"	2
"DYS435"	1
"DYS436"	1
"DYS437"	6
"DYS438"	8
"DYS439"	8
"DYS447"	1
"DYS448"	3
"DYS456"	2
"DYS458"	2
"DYS460"	1
"DYS503"	1
"DYS635"	1
"DYS635 (Y GATA C4)"	1
"EA1 PROTEINASE"	1
"EAST ASIA"	1
"EAST ASIAN POPULATIONS"	1
"EASYDNA"	1
"EDNAP"	1
"EDNAP EXERCISE"	3
"EGYPT"	1
"ELECTROCHEMILUMINESCENCE"	1
"ELOVL2"	1
"EMPOP"	1
"ENDOGENOUS CONTROL GENE"	1
"ENERGY-TRANSFER FLUORESCENT LABELS"	1
"ENFSI"	2
"ENHANCED FINGERPRINTS"	1
"ENTIRE GENOME"	1
"ENVIRONMENTAL STUDIES"	1
"EPIDEMIOLOGY"	1
"EPIGENETIC"	1
"EPIGENETIC MARKERS"	1
"EPIGENETICS"	4
"EPIGENOMICS"	2
"EPITHELIAL CELLS"	3
"EQUINE COAT COLOR GENES"	1
"ERROR DETECTION"	3
"ERROR RATE"	1
"ERRORS"	1
"ESI-TOF"	1
"ESTROGEN RECEPTOR-_"	1
"ETHICS"	5
"ETHNIC GROUP"	1
"ETHNICITY"	1
"EUMELANIN"	1
"EURASIA"	1
"EUREYE"	1
"EUROPE"	1
"EUROPEAN GUIDELINES"	1
"EUROPEAN MINIMAL HAPLOTYPE"	2
"EUROPEAN NETWORK OF FORENSIC SCIENCE INSTITUTES (ENFSI)"	1
"EUROPEAN STANDARD SET"	1
"EUROPEAN STANDARD SET OF LOCI"	1
"EUROPEAN STANDARDS"	1
"EUROPEAN UNION (EU)"	1
"EVALUATIVE REPORTING"	2
"EVC"	1
"EVIDENCE"	3
"EVIDENCE INTERPRETATION"	1
"EVIDENCE TRIAGE"	1
"EVOLUTION"	2
"EVOLUTIONARY DYNAMICS"	1
"EXOSAP-IT"	1
"EXPANDED CODIS CORE LOCI"	1
"EXPANDED U.S. CORE LOCI"	1
"EXPERT SYSTEM"	3
"EXPERT SYSTEMS"	1
"EXPLORATORY DATA ANALYSIS"	1
"EXPLOSIVE"	1
"EXPRESSION ANALYSIS"	1
"EXPRESSION PROFILING"	1
"EXTENDED INTERVAL POSTCOITAL CERVICOVAGINAL SAMPLES"	1
"EXTENDED RELATIONSHIP TESTING"	1
"EXTERNAL REFLECTION FOURIER TRANSFORM INFRARED SPECTROSCOPY (FT-IR)"	1
"EXTERNALLY VISIBLE CHARACTERISTICS"	7
"EXTERNALLY VISIBLE TRAITS"	2
"EXTRACTION"	3
"EYE AND HAIR COLOR"	1
"EYE COLOR"	2
"EYE COLOR PREDICTION"	1
"EYE COLOUR"	4
"EYE COLOUR PREDICTION"	4
"F-108 POLYMER"	1
"FABRIC"	1
"FACE MASK"	1
"FALSE POSITIVE"	1
"FAST AMPLIFICATION"	1
"FAST DNA POLYMERASES"	1
"FDP"	2
"FDSTOOLS"	1
"FEMALE"	1
"FGA"	8
"FGX™ SYSTEM"	1
"FIASCO"	1
"FIELD-PORTABLE"	1
"FINGER"	1
"FINGERNAIL DEBRIS"	1
"FINGERPRINT"	2
"FINGERPRINT BRUSH"	1
"FINGERPRINT BRUSH CONTAMINATION"	1
"FINGERPRINT BRUSHES"	1
"FINNS"	1
"FLANKING VARIATION"	1
"FLEXPLEX ASSAY"	1
"FLUORESCENCE"	1
"FLUORESCENCE IMAGE"	1
"FLUORESCENCE IN SITU HYBRIDIZATION"	1
"FLUORESCENCE STAINING"	1
"FLUORESCENT DYES"	1
"FOOD"	1
"FOOD AND FEED SAFETY"	1
"FOREIGN DNA"	1
"FORENSEQ"	1
"FORENSEQ™ DNA SIGNATURE PREP KIT"	3
"FORENSEQ™ UNIVERSAL ANALYSIS SOFTWARE (UAS)"	1
"FORENSIC"	49
"FORENSIC AGE ESTIMATION"	1
"FORENSIC ANCESTRY ANALYSIS"	1
"FORENSIC ANTHROPOLOGY"	4
"FORENSIC APPLICATION"	1
"FORENSIC AUTOPSY MATERIAL"	1
"FORENSIC BIOLOGY"	4
"FORENSIC CASEWORK"	10
"FORENSIC DEVELOPMENTAL VALIDATION"	1
"FORENSIC DNA"	19
"FORENSIC DNA ANALYSES"	1
"FORENSIC DNA ANALYSIS"	16
"FORENSIC DNA FINGERPRINTING"	1
"FORENSIC DNA GENOTYPING"	1
"FORENSIC DNA INTERPRETATION"	2
"FORENSIC DNA MIXTURES"	1
"FORENSIC DNA PHENOTYPING"	13
"FORENSIC DNA PHENOTYPING (FDP)"	2
"FORENSIC DNA PHENOTYPING, FDP"	1
"FORENSIC DNA TESTING"	1
"FORENSIC DNA TYPING"	2
"FORENSIC ENTOMOLOGY"	1
"FORENSIC EPIGENETICS"	1
"FORENSIC GENETIC GENEALOGY"	1
"FORENSIC GENETICS"	35
"FORENSIC GENETICS REPORTING"	1
"FORENSIC GENOMICS"	4
"FORENSIC HAIR COMPARISON"	3
"FORENSIC IDENTIFICATION"	12
"FORENSIC INTELLIGENCE"	1
"FORENSIC INVESTIGATION"	2
"FORENSIC LABORATORY"	1
"FORENSIC MATERIALS"	1
"FORENSIC MEDICINE"	4
"FORENSIC MIXTURES"	1
"FORENSIC PHENOTYPING"	1
"FORENSIC PROCESS"	1
"FORENSIC REFERENCE SAMPLE"	1
"FORENSIC RNA ANALYSIS"	1
"FORENSIC SCIENCE"	145
"FORENSIC SEROLOGY"	1
"FORENSIC STATISTICS"	2
"FORENSIC STR"	1
"FORENSIC STR LOCI"	1
"FORENSIC TISSUE TYPING"	1
"FORENSIC USE"	1
"FORENSIC VALIDATION"	1
"FREQUENCY ESTIMATION"	1
"FROG-KB"	1
"FST"	3
"FUNGI"	1
"GAMMA DISTRIBUTION"	1
"GAS CHROMATOGRAPHY (GC)"	1
"GEDMATCH"	1
"GEL ELECTROPHORESIS"	1
"GEL IMAGE"	1
"GENBANK"	1
"GENDER"	1
"GENDER EFFECT"	1
"GENE AMPLIFICATION"	1
"GENE DOSAGE"	1
"GENE EXPRESSION"	5
"GENEALOGY"	1
"GENESCAN®"	1
"GENETIC ADMIXTURE"	1
"GENETIC ANALYSIS"	1
"GENETIC ANCESTRY"	4
"GENETIC BOTTLENECK"	1
"GENETIC GENEALOGY"	3
"GENETIC INCONSISTENCY"	2
"GENETIC LINKAGE"	1
"GENETIC PRIVACY"	2
"GENETIC TESTING"	1
"GENETICALLY MODIWED ORGANISMS"	1
"GENETICS"	1
"GENOMIPHI™"	1
"GENOTYPE"	4
"GENOTYPE FREQUENCIES"	1
"GENOTYPING"	6
"GENOTYPING ERRORS"	1
"GENPLEX"	2
"GENPLEX™"	1
"GENPLEX™ HID"	1
"GEOGRAPHIC ORIGIN"	2
"GERMANS"	1
"GHEP-ISFG"	1
"GLANCING ANGLE DEPOSITION"	1
"GLASS GRINDING"	1
"GLOBAL ANCESTRY"	1
"GLOBALFILER ® EXPRESS"	1
"GLOBALFILER EXPRESS™"	1
"GLOBALFILER® EXPRESS"	4
"GLOVES"	1
"GOLDEN STATE KILLER"	1
"GOVERNANCE"	1
"GRAPHICAL MODEL"	1
"GREENLANDERS"	1
"GS FLX"	1
"GUIDELINES"	1
"GYPA"	1
"HAIR"	11
"HAIR ANALYSIS"	1
"HAIR BIOLOGY"	2
"HAIR COLOR"	1
"HAIR COLOUR"	3
"HAIR COLOUR DARKENING"	1
"HAIR COLOUR PREDICTION"	1
"HAIR DECOMPOSITION"	1
"HAIR DEVELOPMENT"	1
"HAIR DISEASES"	1
"HAIR DNA"	2
"HAIR FORM"	1
"HAIR GROWTH PHASES"	1
"HAIR MICROSCOPY"	1
"HAIR MORPHOLOGY"	1
"HAIR ROOT MORPHOLOGY"	2
"HAIR ROOTS"	1
"HAIR SHAFT"	2
"HAIR SHAFTS"	3
"HAIR SHAPE"	1
"HAND"	2
"HANDSHAKE"	1
"HAPLOGROUP"	3
"HAPLOID-TYPE"	1
"HAPLOTYPE"	5
"HAPLOTYPE DATABASE"	1
"HAPLOTYPE FREQUENCY"	1
"HAPLOTYPE RESOLUTION"	1
"HBGG"	1
"HEAD HAIR"	1
"HEMASTIX®"	1
"HEMATIN"	1
"HEMIDENT™"	1
"HERERODUPLEX"	1
"HETEROPLASMY"	15
"HETEROZYGOSITY"	1
"HETEROZYGOUS BALANCE"	2
"HEURISTIC ALGORITHM"	1
"HGDP-CEPH"	2
"HGDP-CEPH DIVERSITY PANEL"	1
"HI-Q™"	1
"HIDSKINPLEX"	1
"HIERARCHY OF PROPOSITIONS"	1
"HIGH-THROUGHPUT"	1
"HIGH ORDER MIXTURES"	1
"HIGH THROUGHPUT"	1
"HIGH THROUGHPUT GENOTYPING"	1
"HIGH THROUGHPUT SEQUENCING"	3
"HIGH VOLUME CASEWORK"	1
"HIRISPLEX"	3
"HIRISPLEX-S"	1
"HISPANIC"	1
"HISTOLOGY"	1
"HLA-DQA1"	1
"HRM ANALYSIS"	1
"HUMAN AGE ESTIMATION"	1
"HUMAN DNA"	4
"HUMAN FORENSICS"	1
"HUMAN IDENTIFICATION"	21
"HUMAN MITOCHONDRIAL DNA GENOME"	1
"HUMAN ORGAN TISSUE"	1
"HUMAN REMAINS"	1
"HUMAN VARIATION"	1
"HUMIC ACID"	1
"HVS-I"	1
"HVS-II"	1
"HY-LITER SPECIFIC SPERM STAINING"	1
"HYBEACONS"	1
"HYBRIDIZATION CAPTURE"	1
"HYPERVARIABLE"	1
"HYPERVARIABLE REGION"	2
"HYPERVARIABLE REGION 2"	1
"HYPERVARIABLE REGIONS"	2
"HYPERVARIABLE REGIONS 1 AND 2"	1
"IBD"	1
"IDENTIFICATION"	2
"IDENTIFICATION OF HUMAN REMAINS"	1
"IDENTIFILER"	1
"IDENTIFILER® PLUS"	1
"ILLUMINA"	1
"ILLUMINA 450K ARRAY"	1
"ILLUMINA HUMANMETHYLATION 450K"	1
"ILLUMINA MISEQ"	4
"ILLUMINA MISEQ FGX™ SYSTEM"	1
"IMAGE ANALYSIS"	1
"IMAGE PROCESSING"	1
"IMMOBILIZED SSO PROBE ASSAY"	1
"IMMUNOCHROMATOGRAPHIC ASSAY"	1
"IMMUNOHISTOCHEMISTRY"	1
"IMMUNOLOGICAL TEST"	1
"IMPROVED PRIMER EXTENSION PREAMPLIFICATION"	1
"IMPROVED PRIMER EXTENSION PREAMPLIFICATION PCR"	1
"INCEST"	1
"INCONCLUISVE LR"	1
"INCREASED FORENSIC DISCRIMINATION"	1
"INDEL"	5
"INDELS"	3
"INDEPENDENCE TESTS"	1
"INDIRECT TRANSFER"	1
"INDIVIDUAL IDENTIFICATION"	1
"INHIBITORS"	2
"INSERTION-DELETION POLYMORPHISM"	1
"INSERTION-DELETION POLYMORPHISMS"	1
"INSERTION/DELETION POLYMORPHISM"	2
"INSERTION/DELETION POLYMORPHISMS"	1
"INSTABILITY"	1
"INSTRUMENTATION"	1
"INTEGRATED SAMPLE-TO-PROFILE SYSTEM"	1
"INTELLIGENCE"	2
"INTER-LABORATORY STUDY"	1
"INTERBREED AND INTRABREED STUDIES"	1
"INTERCOMPARISON EXERCISE"	1
"INTERLABORATORY STUDY"	2
"INTERNAL VALIDATION"	1
"INTERPRETATION"	5
"INTERPRETATION CRITERIA"	1
"INTERPRETATION GUIDELINES"	1
"INTERPRETATION OF EVIDENCE"	1
"INTERVAL ESTIMATION"	1
"INTRA-LABORATORY STUDY"	1
"INTRAFAMILIAL ABUSE"	1
"INVESTIGATIVE"	1
"INVESTIGATIVE INTELLIGENCE"	1
"ION AMPLISEQ™ HID SNP PANEL"	1
"ION PGM™"	5
"ION S5"	1
"ION TORRENT PGM™"	1
"IRISPLEX"	3
"IRISPLEX SNPS"	1
"ISFG"	2
"ISFG DNA COMMISSION"	1
"ISO 17025 ACCREDITATION"	1
"ISSR-PCR"	1
"JAPANESE HEAD HAIR"	1
"JAPANESE POPULATION"	1
"JUSTICE"	2
"KAZAM 20% MACRO"	1
"KERATIN"	1
"KINETIC TEST"	1
"KINSHIP"	5
"KINSHIP ANALYSIS"	1
"KINSHIP MATCHING"	1
"KINSHIP TESTING"	2
"KNEELING"	1
"KNIFE HANDLE"	1
"KNIVES"	1
"KOREAN POPULATION"	1
"KOREANS"	1
"KRT9"	1
"LAB-ON-A-CHIP"	1
"LABORATORIES, FORENSIC"	1
"LABORATORY DNA TYPING DATA"	1
"LASER CAPTURE MICRODISSECTION"	1
"LASER CAPTURE MICRODISSECTION/LCM/LM"	1
"LATENT FINGERPRINTS"	1
"LAUNDRY"	2
"LDLR"	1
"LEAST-SQUARE FIT"	1
"LEAST SQUARES"	1
"LENGTH HETEROPLASMY"	4
"LEUCHOMALACHITE GREEN"	1
"LEVEL OF PROPOSITIONS"	1
"LIGHTCYCLER"	1
"LIKELIHOOD"	2
"LIKELIHOOD RATIO"	26
"LINEAGE"	1
"LINEAGE DIFFERENTIATION"	1
"LINEAR ALGEBRA"	1
"LINEAR ARRAY MTDNA HVI/HVII REGION-SEQUENCE TYPING"	1
"LINEAR DISCRIMINANT ANALYSIS (LDA)"	1
"LINEAR REGRESSION ANALYSIS"	1
"LINKAGE"	1
"LINKAGE DISEQUILIBRIUM"	2
"LIPID"	1
"LIQUID HANDLER"	1
"LOCKED NUCLEIC ACIDS"	1
"LOCOMATION"	1
"LOGISTIC REGRESSION"	1
"LONGEST UNINTERRUPTED STRETCH (LUS)"	1
"LOR"	1
"LOW-COPY-NUMBER PCR"	1
"LOW-LEVEL STR PROFILES"	1
"LOW TEMPLATE DNA (LT-DNA)"	33
"LR DISTRIBUTION"	1
"LRMIX"	3
"LUMINEX"	1
"LUMINOL"	2
"MACERATION"	1
"MACHINE LEARNING"	1
"MAGNETIC BEAD"	1
"MALE DNA"	1
"MALE/FEMALE MIXTURES"	1
"MASS-FATALITY INCIDENT"	1
"MASS DISASTER"	2
"MASS FATALITY INCIDENTS"	1
"MASS GRAVES"	3
"MASS SCREENING"	1
"MASS SPECTROMETRY (MS)"	5
"MASSIVE PARALLEL SEQUENCING (MPS)"	2
"MASSIVELY PARALLEL DNA SEQUENCING"	1
"MASSIVELY PARALLEL SEQUENCING"	27
"MASSIVELY PARALLEL SEQUENCING MPS"	1
"MATERNAL IDENTIFICATION"	1
"MATHEMATICS"	1
"MATP"	1
"MATRIX METALLOPROTEINASE"	1
"MCIR"	1
