"Keyword"	"Digital Evidence"
"LOGICAL IMAGE"	1
"LTE/LTE-ADVANCED"	1
"MACOS"	1
"MAGENT AXIOM"	1
"MALWARE"	3
"MAPPING"	1
"MEASURED SERVICE"	1
"MEDICAL INVESTIGATION"	1
"MEMORY ANALYSIS"	2
"MEMORY ERRORS"	1
"MEMORY FORENSICS"	4
"MEMORY RELIABILITY"	1
"MICROSOFT SKYDRIVE"	1
"MICROSOFT SKYDRIVE ANALYSIS"	1
"MOBILE DEVICE FORENSICS"	4
"MOBILE DEVICE FORENSICS TOOLS"	1
"MOBILE DEVICE SECURITY"	1
"MOBILE FORENSIC TOOL"	1
"MOBILE FORENSICS"	5
"MOBILE PHONE FORENSIC TOOLKITS"	1
"MOBILE PHONE FORENSICS"	1
"MODEL CHECKING"	1
"MODELS"	2
"MOJOPAC"	1
"MOKA5"	1
"MULTI-CRITERIA DECISION ANALYSIS"	1
"MULTIMEDIA PRESENTATIONS"	1
"NAND FLASH MEMORY ANALYSIS"	1
"NANOSECOND TIMESTAMPS"	1
"NAVER CLOVA"	1
"NETWORK"	1
"NEW ZEALAND"	1
"NIST"	2
"NON-SPECIALIST INVESTIGATION"	1
"NOSQL"	1
"NUGGET"	1
"O34"	1
"ON-DEMAND SELF SERVICE"	1
"ONLINE CRIME"	1
"ONTOLOGY"	2
"OPENCL"	1
"ORGANIZATIONS"	1
"ORIGIN"	1
"PAAS"	1
"PACKET ANALYSIS"	1
"PARAVIRTUALIZATION"	1
"PARSING ANDROID APPLICATIONS"	1
"PASSWORD RECOVERY"	1
"PCLOUD ANALYSIS"	1
"PCLOUD FORENSICS"	1
"PEER REVIEW"	1
"PENAL CODE"	1
"PHOTO-RESPONSE NON-UNIFORMITY"	1
"PHOTO RESPONSE NON-UNIFORMITY (PRNU)"	1
"PHYSICAL ACQUISITION PROCESS"	1
"PLATFORM AS A SERVICE"	1
"POCKETPC FORENSICS"	1
"PORTABLE VIRTUAL PRIVACY MACHINE"	1
"PRACTICAL IMPACT ASSESSMENT"	1
"PRELIMINARY ANALYSIS"	1
"PRESERVATIO"	1
"PRIVACY"	2
"PRIVACY SECURITY"	1
"PROACTIVE MEASURES"	1
"PROVENANCE-WEB DATA AMALGAMATION"	1
"QR CODE"	1
"RAM"	1
"RAPID ACQUISITION"	1
"RAPID ELASTICITY"	1
"READ-RETRY"	1
"RECONSTRUCTION OF DIGITAL CRIME"	1
"RECOVERY"	1
"REGISTRY,  REGISTRY  KEY,  HIVES,  INTEGRATED  ANALYSIS, TIMELINE"	1
"REKALL"	1
"RELIABILITY"	1
"REMOTELY PILOTED AIRCRAFT SYSTEMS"	1
"REPOSITORY"	1
"RESEARCH"	1
"RESERVE POOLING"	1
"RFID SMART ENVIRONMENTS"	1
"ROOT ACCESS"	1
"ROUTINE ACTIVITY THEORY"	1
"SAAS"	2
"SATELLITE NAVIGATION"	1
"SECURE NETWORK ARCHITECTURE"	1
"SECURITY"	4
"SEMANTIC ANALYSIS"	1
"SKT NUGU"	1
"SMALI CODE/BAKSMALI"	1
"SMART CITY"	1
"SMART PHONES"	1
"SMARTPHONE"	1
"SMARTPHONE BACKUP"	1
"SMARTPHONE FORENSICS"	2
"SNAPCHAT"	1
"SOCIAL ENGINEERING"	1
"SOFTWARE"	1
"SOFTWARE AS A SERVICE"	1
"SOFTWARE SECURITY"	1
"SOFTWARE SERVICE"	1
"SOFTWARE TESTING"	1
"SOURCE CAMERA IDENTIFICATION (SCI)"	1
"SOURCE SMARTPHONE IDENTIFICATION"	1
"SPECIALIZATION"	1
"SPECIFICATION LANGUAGE"	1
"SPIDEROAK FORENSICS"	1
"SPOTLIGHT"	1
"SQL"	2
"SQLITE3"	1
"STANDARD REPRESENTATION"	1
"STEGANOGRAPHY"	1
"STREAMING"	1
"SUPPORT VECTOR MACHINES (SVM)"	1
"SURFACE-WEB MONITORING"	1
"SURVEY FORENSIC EXAMINATION"	1
"SYSTEM INTERFERENCE"	1
"TAINT ANALYSIS"	2
"TAXONOMIES"	1
"TD3"	1
"TELEGRAM MESSENGER"	1
"TERMINOLOGIES"	1
"TESTING"	1
"TOMTOM"	1
"TOOL TESTING"	2
"TOOLS AND TECHNIQUES"	1
"TOPIC MODELING"	1
"TOR"	1
"TOTAL RANKING"	1
"TRAINING JUDICIARY"	1
"TRIAGE FORENSIC INSPECTION"	1
"TRUSTED THIRD PARTY (TTP)"	1
"UBIQUITOUS SENSING"	1
"UNAUTHORIZED ACCESS"	1
"UNIFIED CYBER ONTOLOGY"	1
"UNMANNED AERIAL VEHICLES"	1
"USER GENERATED"	1
"VALIDATION"	2
"VIRTUAL MACHINE"	1
"VIRTUALBOX"	2
"VIRTUALIZATION"	2
"VMWARE"	1
"VOICE"	1
"VOIP COMMUNICATIONS"	1
"VOIP INTERCEPTION"	1
"VOIP SURVEILLANCE"	1
"VOLATILE MEMORY"	1
"VULNERABILITY"	1
"WEB CRAWLING"	1
"WEBPAGE"	1
"WINDOW CE FORENSICS"	1
"WINDOWS"	1
"WINDOWS 10"	1
"WINDOWS 7"	1
"WINDOWS 8.1 INVESTIGATIONS"	1
"WINDOWS DEVICE FORENSICS"	1
"WINDOWS MOBILE FORENSICS"	1
"WINDOWS PHONE"	1
"WIRELESS BODY AREA NETWORK (WBAN)"	1
"WIRELESS SENSOR NETWORKS"	1
"WRITE BLOCKING"	1
