"Keyword"	"Paint-Glass"
"ANIONIC POLYELECTROLYTES"	1
"ANNEALING"	2
"ANTHRAQUINONE DYES"	1
"ANTI-CORROSIVE PROPERTIES"	1
"ANTI-FOULING"	1
"ANTIBACTERIAL POLYMER"	1
"ANTICORROSION"	1
"ANTICORROSION EFFICIENCY"	2
"ANTICORROSION PIGMENT"	1
"ANTICORROSIVE COATINGS"	1
"ANTICORROSIVE PAINT"	1
"ANTICORROSIVE PAINTS"	2
"ANTICORROSIVE PIGMENTS"	1
"ANTICORROSIVE PRIMER"	2
"ANTIFOULING"	1
"ANTIFOULING COATING"	1
"ANTIFOULING PAINTS"	1
"ANTIFUNGAL"	1
"ANTIGLARE COATING"	1
"ANTIMICROBIAL"	1
"ANTIMICROBIAL ACTIVITY"	1
"ANTIMICROBIAL PAINT"	1
"ANTIOXIDANT"	1
"ANTWERP"	1
"AOSTA"	1
"APPLICATIONS IN ART AND ARCHEOMETRY"	1
"APULIAN RED FIGURED POTTERY"	1
"AQUEOUS DISPERSION"	1
"ARABIC GUM"	1
"ARCHAEOLOGICAL ARTIFACTS"	1
"ARCHAEOLOGICAL GLASS"	2
"ARCHAEOLOGICAL MATERIALS"	1
"ARCHAEOLOGICAL PASTES"	1
"ARCHAEOLOGICAL PIGMENT"	1
"ARCHAEOLOGY"	5
"ARCHAEOMETRY"	6
"ARCHAEOMETRY/FINE ARTS"	1
"ARCHEOLOGICAL ANALYSIS"	1
"ARCHEOMETRY"	1
"ARCHITECTURAL GLASS ELEMENT FAILURE"	1
"ARCHITECTURAL PAINT"	5
"ART"	1
"ART ANALYSIS"	6
"ART AND ARCHAEOLOGY"	2
"ART CONSERVATION"	9
"ART CRIME"	1
"ART FRAUD"	2
"ART OBJECTS"	1
"ART TECHNOLOGICAL STUDIES"	1
"ARTEFACTS"	1
"ARTIFICIAL AGEING"	2
"ARTIFICIAL ULTRAMARINE"	1
"ARTIST'S PIGMENTS"	1
"ARTIST PAINTS"	1
"ARTISTIC OBJECTS"	1
"ARTISTS' ACRYLIC EMULSION PAINT"	1
"ARTISTS' ACRYLIC EMULSION PAINTS"	1
"ARTISTS' MATERIAL"	1
"ARTISTS' MATERIALS"	1
"ARTWORK"	8
"ARTWORK ANALYSIS"	1
"ARTWORKS"	1
"ASPECULAR ANGLE"	1
"ASPHALT"	1
"ATMOSPHERIC SAMPLING"	1
"ATOMIC FORCE MICROSCOPY"	2
"ATR"	1
"ATR-FT-IR"	1
"ATR-FTIR"	4
"ATR-FTIR MICROSCOPY"	1
"ATR FT-IR"	1
"ATR MICROSCOPY"	2
"ATTENUATED TOTAL REFLECTANCE"	1
"ATTENUATED TOTAL REFLECTANCE (ATR)"	1
"ATTENUATED TOTAL REFLECTION"	2
"ATTENUATED TOTAL REFLECTION (ATR)"	1
"ATTENUATED TOTAL REFLECTION FOURIER TRANSFORM SPECTROSCOPY"	1
"ATTRIBUTION"	1
"ATTRIBUTION STUDIES"	1
"AUSTRALIA"	1
"AUTHENTICATION"	3
"AUTHENTICITY"	2
"AUTO IMAGE PROCESSING"	1
"AUTO REGRESSIVE INTEGRATED MOVING AVERAGE (ARIMA)"	1
"AUTOMATIC INTERPRETATION METHOD"	1
"AUTOMATION"	2
"AUTOMOBILE BODY FILLER"	1
"AUTOMOBILE PAINT"	1
"AUTOMOBILE PAINTS"	1
"AUTOMOBILE WINDOW GLASS"	1
"AUTOMOTIVE"	1
"AUTOMOTIVE CLEAR COAT"	1
"AUTOMOTIVE CLEAR COATS"	2
"AUTOMOTIVE CLEARCOAT"	1
"AUTOMOTIVE COATING"	1
"AUTOMOTIVE COATING SYSTEMS"	2
"AUTOMOTIVE COATINGS"	5
"AUTOMOTIVE PAINT"	19
"AUTOMOTIVE PAINT CLEAR COATS"	1
"AUTOMOTIVE PAINT DISCRIMINATION"	1
"AUTOMOTIVE WHITE PAINT FRAGMENTS"	1
"AZO PIGMENTS"	1
"AZURITE"	1
"BACKGROUND GLASS"	1
"BACKGROUND LEVEL"	1
"BACKGROUND SUBTRACTION"	1
"BACTERIA"	1
"BACUSI2O6"	1
"BASE COAT"	1
"BASECOAT"	3
"BASECOAT PIGMENTATION"	1
"BASO4"	1
"BATCH"	1
"BAYES"	1
"BAYES' THEOREM"	1
"BAYES FACTOR"	3
"BAYES THEOREM"	1
"BAYES’ THEOREM"	1
"BAYESIAN"	3
"BAYESIAN APPROACH"	1
"BAYESIAN MODELLING"	1
"BAYESIAN NETWORK"	2
"BAYESIAN STATISTICAL DECISION THEORY"	1
"BEAD"	1
"BEER'S LAW"	1
"BEER-LAMBERT'S LAW"	1
"BEESWAX"	1
"BENDING STRESS"	1
"BENDING TEST"	1
"BENTONITE/CA"	1
"BINDER"	4
"BINDERS"	2
"BINDING MEDIA"	14
"BINDING MEDIA IDENTIFICATION"	1
"BIOCIDAL ACTION"	1
"BIOCIDE"	4
"BIODETERIORATION"	1
"BIOFOULING"	2
"BIOLOGICAL FLUIDS"	1
"BIOLOGICAL MATERIALS"	1
"BIRD DROPPINGS"	1
"BISMUTH"	2
"BISMUTH OXYCHLORIDE"	1
"BISMUTH VANADATE"	1
"BITUMEN"	1
"BLACK"	1
"BLACK GLAZE"	1
"BLACK PIGMENTS"	1
"BLIGH-DYER"	1
"BLIND FIELD TEST"	1
"BLOCK DIGESTION"	1
"BLUE AUTOMOTIVE PAINTS"	1
"BLUE CAR PAINTS"	1
"BLUE LIGHT-CURING ACRYLIC RESIN"	1
"BLUE TEMPERA PAINTINGS"	1
"BODY FILLER ANALYSIS"	1
"BOLE GROUNDS"	1
"BONE LESION"	1
"BORATE GLASS"	1
"BOROSILICATE GLASS"	1
"BÖTTGER STONEWARES"	1
"BOTTLE GLASS BREAKAGE"	1
"BROMINATED FLAME RETARDANTS"	1
"BROMINE"	1
"BRONZE AGE AEGEAN ARCHAEOLOGY"	1
"BRONZE HEAD"	1
"BULLETS"	1
"BURGLARY"	1
"BURSERA CUNEATA"	1
"BURSERACEAE RESIN"	1
"BUTYL PHTHALATE"	1
"BYZANTINE"	1
"BYZANTINE ICONOGRAPHY"	1
"BYZANTINE WALL PAINTINGS"	1
"CADMIUM YELLOW"	1
"CALCINED KAOLIN"	1
"CALCINED KAOLINE"	1
"CALCITE"	2
"CALIBER"	1
"CALIBRATION"	4
"CALIBRATION STANDARD"	1
"CANARIUM LUZONICUM"	1
"CANVAS PAINTING"	1
"CAPILLARY ELECTROPHORESIS"	3
"CAR-WASH"	1
"CAR PAINT"	2
"CAR PAINTS"	5
"CAR REFINISH"	1
"CAR REFINISHES"	1
"CARBON"	1
"CARBON-BASED PIGMENTS"	1
"CARBON STEEL"	2
"CARMINE"	1
"CARTONNAGE"	1
"CARTRIDGE DISCHARGE"	1
"CASCADE IMPACTOR"	1
"CATHODOLUMINESCENCE"	3
"CATHODOLUMINESCENCE MICROSCOPY"	1
"CATION-EXCHANGE PIGMENT"	1
"CELLULOSE OXIDATION"	1
"CERAMIC"	1
"CERAMIC MATERIALS"	1
"CERAMICS"	1
"CERTIFIED GLASS REFERENCE MATERIAL"	1
"CHALCOGENIDE FIBERS"	1
"CHARACTERISATION STRATEGIES COMPARISON"	1
"CHARACTERIZATION"	1
"CHEMICAL ANALYSIS"	3
"CHEMICAL COMPOSITION"	3
"CHEMICAL DEPTH PROFILING"	1
"CHEMICAL IMAGING"	4
"CHEMICAL IONIZATION"	1
"CHEMICAL SURFACE ANALYSIS"	1
"CHEMOMETRICS"	15
"CHEMORE"	1
"CHINA"	1
"CHINA CLAY IN COATINGS"	1
"CHINESE LACQUER"	1
"CHLORINATED COPPER PHTHALOCYANINE"	1
"CHROMATE"	1
"CHROMATIC MEASUREMENTS (CIE64)"	1
"CHROME TITANATE"	1
"CHROMOPHORE"	1
"CHURCH"	1
"CINNABAR"	1
"CLASSIFICATION"	5
"CLASSIFICATION TECHNIQUE"	1
"CLASSIFICATION TRANSFER"	1
"CLASSIFIER"	1
"CLAUDE MONET"	1
"CLAY"	1
"CLEAN-UP"	1
"CLEAR COAT"	2
"CLEAR COATINGS"	1
"CLEAR COATS"	2
"CLEARCOAT"	3
"CLEARCOATS"	1
"CLOTHING"	2
"CLUSTER ANALYSIS"	1
"COATING"	3
"COATING-SUBSTRATE INTERFACE"	1
"COATING ADHESION"	1
"COATING EFFICIENCY"	1
"COATING PERFORMANCE"	1
"COATINGS"	7
"COATINGS DEFECTS"	1
"COATINGS TECHNOLOGY"	1
"COBALT BLUE"	1
"COIL COATING"	3
"COIL COATINGS"	1
"COLOPHONY"	2
"COLOR ANALYSIS"	1
"COLOR CALIBRATION"	1
"COLOR COMPARISON"	1
"COLOR MEASUREMENT"	1
"COLORANTS"	2
"COLORED GLAZE"	1
"COLORIMETRY"	2
"COLORISTIC OF COATINGS"	1
"COLOUR"	2
"COLOUR-VARIABLE PIGMENTS"	1
"COLOUR COMPARISON"	1
"COLOUR LAYERS"	1
"COLOUR MEASUREMENT"	2
"COLOUR SCHEME"	1
"COLOURANT"	1
"COMPARATIVE EXAMINATIONS"	1
"COMPARATIVE STUDY"	2
"COMPARISON PROBLEM"	1
"COMPARISON PROBLEM OF RAMAN SPECTRA"	1
"COMPER"	1
"COMPER GREEN"	1
"COMPER RED"	1
"COMPLEMENTARY METHODOLOGICAL APPROACH"	1
"COMPOSITION"	2
"COMPOSITIONAL DATA"	2
"CONDENSATION"	1
"CONFIRMATION BIAS"	1
"CONFOCAL ?-XRF"	1
"CONFOCAL RAMAN MICROSCOPE"	2
"CONFOCAL RAMAN MICROSCOPY"	2
"CONFOCAL SETUP"	1
"CONSERVATION"	7
"CONSERVATION AND RESTORATION"	1
"CONSERVATION OF ART"	1
"CONSERVATION PRACTICE"	1
"CONSERVATION SCIENCE"	4
"CONSERVATION STUDIES"	1
"CONSERVATION STUDY"	1
"CONSERVATIVE"	1
"CONSOLIDATION POLYMERS"	1
"CONTAINER GLASS"	1
"CONTAMINATION"	1
"CONTEMPORARY ART"	1
"CONTEMPORARY PICTORIAL ART"	1
"CONTENT ANALYSIS"	1
"CONTEXT BIAS"	1
"CONTROLLED RELEASE"	2
"COPPER"	2
"COPPER-BASED ANTIFOULING PAINTS"	1
"COPPER COMPOUNDS"	1
"COPPER NANOPARTICLES"	1
"COPPER OXALATES"	1
"COPPER PHTHALOCYANINE"	1
"COPPER PHTHALOCYANINE POLYMORPHS"	1
"COPPER PHTHALOCYANINES"	1
"COPPER PIGMENTS"	1
"COPPER(II) COMPLEXES"	1
"COPTIC ICONS"	1
"CORRELATION ALGORITHMS"	1
"CORRELATION ANALYSIS"	1
"CORROSION"	7
"CORROSION CONTROL"	3
"CORROSION INHIBITORS"	1
"CORROSION PHENOMENA"	1
"CORROSION PROTECTION"	2
"COTTON SCARLET"	1
"COUNTERFEITING"	1
"COUNTERTERRORISM"	1
"COVARIANCE MATRIX"	1
"CRACK BRANCHING AND ARCHITECTURAL GLASS FAILURE"	1
"CRATER DIAMETER"	1
"CRIME"	1
"CRIME EVIDENCE"	1
"CRIME SCENE"	1
"CRIMINAL INVESTIGATION"	1
"CRIMINALISTICS"	11
"CRISTOBALITE"	1
"CROSS-ENTROPY"	1
"CROSS-LINKING"	1
"CROSS-SECTION"	1
"CROSS-SECTIONS"	4
"CROSS SECTION"	1
"CROSS TRANSFER"	1
"CROSSLINK DENSITY"	1
"CRYO-SEM"	1
"CULTURAL HERITAGE"	12
"CULTURAL HERITAGE MATERIAL"	1
"CULTURAL HERITAGE MATERIALS"	2
"CULTURE"	1
"CUMAEAN SIBYL"	1
"CUMENGEITE"	1
"CUNO AMIET"	1
"CURIE POINT PYROLYSIS"	1
"CURING OF POLYMERS"	1
"CUT-OFFS"	1
"CYCLODIPHOSPH(V)AZANE"	1
"CYPRUS"	1
"DA"	1
"DAMAGE VISUALIZATION"	1
"DAMMAR"	1
"DART-MS"	1
"DATA ACQUISITION"	1
"DATA ANALYSIS"	1
"DATA EVALUATION"	1
"DATA FUSION"	2
"DATA HANDLING"	1
"DATA TREATMENT"	1
"DATABASE"	4
"DATING"	2
"DE-METHYLATION OF CRYSTAL VIOLET"	1
"DEAD SEA"	1
"DECISION-MAKING MODELS"	1
"DECORATIVE COATINGS"	1
"DEEPLY COLOURED"	1
"DEER GLUE"	1
"DEFECT ANALYSIS"	1
"DEGRADATION"	4
"DEGRADATION PRODUCTS"	1
"DELTA RI"	1
"DEPENDENT SCATTERING"	1
"DEPTH PROFILE ANALYSIS"	1
"DEPTH PROFILING"	4
"DERIVATIZATION"	1
"DETECTION"	2
"DIATOMITE"	1
"DIBUTYLPHTHALATE"	1
"DIELECTRIC RELAXATION"	1
"DIETHYLPHTHALATE"	1
"DIFFRACTOMETERS"	1
"DIFFUSE REFLECTANCE INFRARED FOURIER TRANSFORM SPECTROSCOPY"	1
"DIGITAL IMAGE PROCESSING"	1
"DIGITAL RADIOGRAPHY"	1
"DIISOBUTYL PHTHALATE"	1
"DIMENSION REDUCTION"	1
"DIOXIDE DISPERSANTS"	1
"DIRECT SAMPLING"	1
"DIRECT SOLID ANALYSIS"	1
"DISCRIMINANT ANALYSIS"	1
"DISCRIMINATING POWER"	2
"DISCRIMINATION"	9
"DISCRIMINATION OF GLASS FRAGMENTS"	1
"DISCRIMINATION POWER"	1
"DISCRIMINATION STUDY"	1
"DISPERSING AGENTS"	1
"DITERPENOID"	1
"DOMENICHINO"	1
"DOUBLE-PULSE"	1
"DOUBLE BASS"	1
"DOUBLE PULSE"	1
"DP-LIBS"	1
"DRAGON'S BLOOD"	1
"DRAWINGS"	1
"DRIED PAINTS"	1
"DRINKING GLASS BREAKAGE"	1
"DRUG"	1
"DRUG ANALYSIS"	1
"DRUG OF ABUSE"	1
"DRYING OILS"	3
"DTMS"	1
"DURABILITY"	2
"DYE"	3
"DYNAMIC MECHANICAL PROPERTIES"	1
"E-COMMERCE"	1
"EA-IRMS"	1
"EARLY GLASS"	1
"EARLY SYNTHETIC DYES"	1
"EARTH PIGMENTS"	1
"EARTHY PIGMENTS"	1
"ECCLESIASTICAL DECORATION"	1
"ECE"	1
"ECE PLOT"	1
"ECHELLE SPECTROMETER"	1
"ECOLOGY"	1
"EDGE COUNT"	1
"EDGE MORPHOLOGY"	1
"EDUCATION"	1
"EDX"	2
"EDXRF"	2
"EDXRF: ENERGY DISPERSIVE X-RAY FLUORESCENCE SPECTROMETRY"	1
"EFFLORESCENCE"	1
"EGG"	2
"EGG PROTEINS"	1
"EGG TEMPERA"	1
"EGYPT"	1
"EGYPTIAN BLUE"	2
"EGYPTIAN DYNASTIC SARCOPHAGI"	1
"EGYPTIAN MUMMY"	1
"EGYPTIAN WALL PAINTING"	1
"EIS"	4
"ELECTROCHEMICAL IMPEDANCE SPECTROSCOPY"	2
"ELECTROCHEMICAL NOISE"	1
"ELECTROCHEMICAL NOISE METHOD"	1
"ELECTROCHEMICAL TECHNIQUES"	1
"ELECTROCOAT"	1
"ELECTROCOATING"	1
"ELECTRON MICROSCOPE"	1
"ELECTRON MICROSCOPY"	2
"ELECTRON PROBE X-RAY MICROANALYSIS (EPXMA)"	1
"ELEMENTAL ANALYSIS"	22
"ELEMENTAL COMPOSITION"	2
"ELEMI"	1
"EMBEDDING MEDIA"	1
"EMERGENCY RESPONSE"	1
"EMISSION SPECTROSCOPY"	1
"EMP"	1
"EMPIRICAL CROSS-ENTROPY"	1
"EMPIRICAL CROSS ENTROPY"	2
"EMULSION PAINTS"	1
"ENCAPSULATION"	1
"ENERGY DISPERSIVE ANALYSIS (EDX)"	1
"ENERGY DISPERSIVE X-RAY"	1
"ENERGY DISPERSIVE X-RAY FLUORESCENCE SPECTROMETRY"	1
"ENERGY DISPERSIVE X-RAY SPECTROSCOPY (EDS)"	2
"ENVIRONMENTAL DEGRADATION"	1
"ENVIRONMENTAL MANAGEMENT"	1
"ENVIRONMENTAL SCANNING ELECTRON MICROSCOPY (ESEM)"	1
"ENVIRONMENTALLY BENIGN"	1
"ENZYMATIC DEGRADATION"	1
"ENZYMATIC DIGESTION"	1
"ENZYME"	1
"EPMA"	1
"EPOXY"	2
"EPOXY CLAY NANOCOMPOSITE"	1
"EPOXY ESTER"	1
"EPOXY PAINT"	1
"EPOXY RESIN"	1
"EPOXY RESINS"	1
"EPR"	1
"EQUIVALENT CIRCUIT"	1
"ERRORS"	1
"ESEM"	2
"ETHANOLAMINE"	1
"ETHICS"	1
"ETHYL CHLOROFORMATE DERIVATIVES"	1
"EUROPEAN PAINTINGS"	1
"EVIDENCE"	18
"EVIDENCE INTERPRETATION"	1
"EVIDENTIAL WEIGHT"	1
"EXCIMER LASER-INDUCED EFFECTS"	1
"EXPERIMENTAL DESIGN"	3
"EXPLOSIVE"	3
"EXPOXY RESINS"	1
"EXTENDER PIGMENTS"	1
"EXTENDERS"	1
"EXTERNAL-BEAM PIXE"	1
"EXTERNAL BEAM"	3
"EXTERNAL PIXE"	1
"EXTERNAL PLASTICISER"	1
"EXTERNAL REFLECTION/ATR FT-IR IMAGING"	1
"EXTERNAL STANDARD"	1
"FALLING ABRASIVE TEST"	1
"FALLOUT FORMATION"	1
"FALSE DISCOVERY RATE (FDR) CONTROLLING PROCEDURE"	1
"FALSIFICATION"	1
"FAMES GC-MS"	1
"FAR INFRARED (FIR) SPECTROSCOPY"	1
"FATTY ACIDS"	3
"FEATURE EXTRACTION"	1
"FEATURE SELECTION"	5
"FEFF SIMULATION"	1
"FEMTOSECOND"	2
"FENG HUI TOMB"	1
"FIB"	1
"FIBER-OPTICS FT-IR SPECTROSCOPY"	1
"FIBER OPTIC REFLECTANCE SPECTROSCOPY"	1
"FIBRE"	3
"FIBRE-OPTIC REFLECTANCE SPECTROSCOPY"	1
"FIBRE OPTIC"	1
"FIBRE OPTICS"	1
"FIELD ANALYSIS"	1
"FILLERS"	1
"FILM PROPERTIES"	1
"FINE ARTS"	1
"FINISH COAT"	1
"FINISHES"	1
"FIRE ARMS"	1
"FIRE DEBRIS"	3
"FIRE RETARDANT COATINGS"	2
"FIRE SCENE INVESTIGATION"	1
"FIREARM"	1
"FIREWORKS"	1
"FLAME RETARDANCY"	1
"FLAME RETARDANT ADDITIVES"	1
"FLAME RETARDANT COATINGS"	2
"FLESCH-KINCAID GRADE LEVEL"	1
"FLEXIBLE COATINGS"	1
"FLOAT GLASS"	2
"FLUORESCENCE"	3
"FLUORESCENCE LIFETIME IMAGING"	1
"FLUORESCENCE MICROSCOPY"	1
"FLUORESCENCE REMOVAL"	1
"FLUORESCENCE SPECTROSCOPY"	1
"FOCUSSED ION BEAM (FIB)"	1
"FOOTWEAR"	1
"FORENSIC"	18
"FORENSIC ANALYSIS"	13
"FORENSIC ANTHROPOLOGY"	1
"FORENSIC APPLICATIONS"	1
"FORENSIC AUTOMOTIVE PAINT ANALYSIS"	6
"FORENSIC CASEWORK"	3
"FORENSIC CHEMISTRY"	2
"FORENSIC COMPARISONS"	1
"FORENSIC DISCRIMINATION"	1
"FORENSIC ENGINEERING"	1
"FORENSIC EVALUATION OF THE EVIDENCE"	1
"FORENSIC EVIDENCE"	3
"FORENSIC EVIDENCE INTERPRETATION"	2
"FORENSIC EXAMINATION"	4
"FORENSIC GLASS"	1
"FORENSIC GLASS ANALYSIS"	2
"FORENSIC GLASS COMPARISONS"	1
"FORENSIC GLASS EXAMINATION"	1
"FORENSIC GLASS INTERPRETATION"	2
"FORENSIC IDENTIFICATION"	1
"FORENSIC IMAGING"	2
"FORENSIC INTERPRETATION"	1
"FORENSIC INVESTIGATION"	1
"FORENSIC MATERIALS"	1
"FORENSIC PAINT ANALYSIS"	1
"FORENSIC PAINT EXAMINATION"	1
"FORENSIC SAMPLE"	1
"FORENSIC SCIENCE"	84
"FORENSIC SOIL ANALYSIS"	1
"FORENSIC TRACE ELEMENT ANALYSIS"	1
"FORGERY"	4
"FORS"	2
"FORWARD AND BACKWARD CROSS-CORRELATION INFRARED LIBRARY SEARCHING"	1
"FOUL-RELEASE COATING"	1
"FOULING"	2
"FOURIER-TRANSFORM RAMAN (FT-RAMAN) MICROSCOPY"	1
"FOURIER TRANSFORM-INFRARED SPECTROSCOPY"	1
"FOURIER TRANSFORM INFRARED (FTIR) MICROSCOPY"	1
"FOURIER TRANSFORM INFRARED MICROSCOPE"	1
"FOURIER TRANSFORM INFRARED SPECTROSCOPIC IMAGING"	1
"FRACTOGRAPHY"	3
"FRACTURE PATTERN"	3
"FRACTURE PATTERNS"	1
"FRAGMENT SIZE"	1
"FRANCIS BACON"	1
"FREEZE-THAW"	1
"FREQUENCY"	1
"FREQUENTIST"	1
"FRESCO-SECCO"	1
"FRESCOES"	2
"FRICTIONATOR"	1
"FT LMMS"	1
"FT/VIS RAMAN MAPPING"	1
"FTIR-?S"	1
"FTIR IMAGING"	2
"FUEL CELL VOLTAGE"	1
"FUMED SILICA"	1
"FUNCTIONAL"	1
"FUNCTIONALIZATION"	1
"FUNCTIONALIZED PAINT PIGMENTS"	1
"FUNDAMENTAL PARAMETERS METHOD"	1
"FUNGI"	1
"FURNITURE"	1
"FUTURE DEVELOPMENTS IN COATINGS"	1
"FUZZY-ROUGH SETS"	1
"FUZZY INFERENCE SYSTEMS"	1
"GALVANIZED STEEL"	1
"GAMMA SPECTROSCOPY"	1
"GARMENTS"	1
"GAS CHROMATOGRAPHY (GC)"	6
"GEL ENCAPSULATION"	1
"GENETIC ALGORITHMS"	6
"GEO-MATERIALS"	1
"GERMANIUM CRYSTAL"	1
"GIULIO-CLAUDIAN"	1
"GLASS"	54
"GLASS-CONTAINING GUNSHOT RESIDUE (GGSR)"	2
"GLASS-IDENTIFCATION"	1
"GLASS À LA FAÇON-DE-VENISE"	1
"GLASS ANALYSIS"	3
"GLASS CAPILLARY OPTICS"	1
"GLASS CATEGORY"	1
"GLASS CLASSIFICATION"	1
"GLASS COLOURING"	1
"GLASS COMPARISON"	2
"GLASS COMPARISONS"	2
"GLASS COMPOSITION"	1
"GLASS CORROSION"	5
"GLASS DATABASE"	2
"GLASS EVIDENCE"	1
"GLASS FORENSICS AND GLASS BREAKAGE"	1
"GLASS FRACTURE"	2
"GLASS FRAGMENTS"	5
"GLASS FRICTIONATOR"	1
"GLASS MATRIX"	1
"GLASS MICROSPHERE"	1
"GLASS MICROTRACES CLASSIFICATION"	1
"GLASS MICROTRACES DIFFERENTIATION"	1
"GLASS MULTIVARIATE DATA"	1
"GLASS PERSISTENCE"	1
"GLASS TRANSFER"	2
"GLASS WEATHERING"	1
"GLASSES"	1
"GLAZE"	1
"GLOSS"	1
"GLUCOSE"	1
"GLYCIDYL CARBAMATE RESINS"	1
"GOLD"	1
"GOLD MONITOR"	1
"GONIOAPPARENT COATINGS"	1
"GOTHIC ALTARPIECES"	1
"GRAFFITI"	3
"GRAPHICAL MODEL"	1
"GRAPHICAL MODELS"	3
"GRAPHITE FURNACE ATOMIC ABSORPTION SPECTROMETRY"	1
"GREEK ICONS"	1
"GREEN PAINT TECHNOLOGY"	1
"GREEN PIGMENTS"	1
"GREEN PRODUCT"	1
"GRIM"	3
"GROUND"	3
"GROUND COAT"	1
"GROUNDS"	1
"GUNSHOT RESIDUE"	2
"GUNSHOT RESIDUE (GSR)"	3
"HAEMATITE"	2
"HARDNESS"	2
"HEAD HAIR"	1
"HEADWEAR"	1
"HEAT-RESISTANT PIGMENTS"	1
"HEAVY METAL"	1
"HEMATITE"	1
"HETEROGENEITY"	1
"HETEROGENEOUS"	1
"HEXAMETHYLDISILAZANE"	3
"HIERARCHICAL CLUSTERS ANALYSIS"	1
"HIERARCHICAL MODELS"	1
"HIGH-ENERGY RESOLUTION"	1
"HIGH-ENERGY SYNCHROTRON RADIATION X-RAY FLUORESCENCE SPECTROMETRY"	1
"HIGH-FIELD STRENGTH ELEMENTS"	1
"HIGH-PERFORMANCE PAINT PIGMENTS"	1
"HIGH-PERFORMANCE PIGMENTS"	1
"HIGH-RESOLUTION ELECTRON MICROSCOPY"	1
"HIGH CHROMA"	1
"HIGH THROUGHPUT EXPERIMENTATION"	1
"HIGHLY BRANCHED POLYURETHANE ACRYLATE"	1
"HINDERED AMINE LIGHT STABILIZERS"	1
"HISTORIC HOUSE PAINT TECHNOLOGY"	1
"HISTORICAL ASPECTS"	1
"HISTORICAL GLASS"	1
"HISTORICAL TEXTILES"	1
"HIT-AND-RUN"	1
"HIT-AND-RUN ACCIDENT"	1
"HIT-AND-RUN EVENTS"	1
"HIT AND RUN"	1
"HIT AND RUN ACCIDENT"	1
"HMDS"	1
"HOMOGENIZATION"	1
"HOTELLING"	1
"HOTELLING'S T2 TEST"	1
"HPLC-DAD"	1
"HPLC-MS"	1
"HUNTITE"	1
"HYBRID"	1
"HYBRID NANOCOMPOSITE"	1
