"Keyword"	"Explosives"
"AND SPECTROSCOPY"	1
"ANFO"	5
"ANFO EXPLOSIVES"	1
"ANGULAR DISPERSIVE"	2
"ANGULAR DISPERSIVE X-RAY DIFFRACTION"	1
"ANHARMONIC THERMAL MOTION"	1
"ANILINE FORMATION"	1
"ANIMAL LEARNING"	2
"ANIMAL MODEL"	2
"ANIMAL PERSONALITY"	1
"ANION ATTACHMENT"	1
"ANION DETECTION"	1
"ANIONS"	5
"ANISOTROPIC HYDROGEN ATOMS"	1
"ANNIHILATION RADIATION"	1
"ANNIHILATION RADIATION AND BACKSCATTER"	1
"ANODE"	1
"ANOVA"	1
"ANOXIC-OXIC PROCESS"	1
"ANPYO"	1
"ANTA"	1
"ANTHRACENE"	2
"ANTHRAQUINONEDISULPHONATE"	1
"ANTI-CONTAMINATION"	1
"ANTI-PHOTOBLEACHING"	1
"ANTI-TERRORISM STRATEGY"	1
"ANTIBIOTICS"	1
"ANTIBODY"	3
"ANTIGEN-ANTIBODY INTERACTION"	1
"ANTIMICROBIAL ACTIVITY"	1
"ANTIMONENE"	1
"ANTOINE EQUATION"	1
"ANXIETY"	1
"ANXIETY SCORES"	1
"AOTF-SPECTROMETER"	1
"AP"	1
"APCI"	2
"API"	1
"APIS MELLIFERA CARNICA"	1
"APLASTIC ANEMIA"	1
"APLD"	1
"APPARENT ACTIVATION ENERGY"	2
"APPARENT HEAT CAPACITY"	1
"APPEARANCE ENERGY"	1
"APPI"	1
"APPLICABILITY DOMAIN"	1
"APPLICATION"	3
"APPLICATIONS"	1
"APPLICATIONS OF NUCLEAR TECHNOLOGY"	1
"APPLIED BEHAVIOR ANALYSIS"	1
"APPLIED CHEMISTRY"	1
"APPROPRIATIONS AND EXPENDITURES"	1
"APTAMER"	3
"APTS"	1
"APX"	1
"AQUARIUM TEST"	1
"AQUEOUS MEDIUM"	1
"AQUEOUS PHASE"	1
"AQUEOUS SAMPLES"	1
"AQUEOUS SOLUBILITY"	1
"AQUEOUS SOLUTIONS"	1
"ARBITRARY LAGRANGIAN-EULERIAN (ALE)"	1
"ARC"	4
"ARCHAEOLOGY"	1
"ARDUINO"	1
"AROMATIC AMINES"	2
"AROMATIC COMPOUND"	2
"AROMATIC END-CAPPER"	1
"AROMATICITY"	1
"AROMATICS"	1
"ARRAY OF MAGNETOMETERS"	1
"ARRAY SENSING"	1
"ARRHENIUS KINETICS"	1
"ARSENICALS"	1
"ARSON"	1
"ART"	1
"ARTIFICIAL AGING"	2
"ARTIFICIAL INTELLIGENCE"	3
"ARTIFICIAL NANOPORE"	1
"ARTIFICIAL NOSE"	2
"ARTIFICIAL OLFACTION"	1
"ARTIFICIAL OLFACTORY SYSTEM"	2
"ARTIFICIAL SOIL"	1
"ARYL NAPTHYL SULFONES"	1
"ASCORBIC ACID"	2
"ASE METHOD"	1
"ASPIRATION CONDENSER"	1
"ASPIRATION ION MOBILITY SPECTROMETRY"	1
"ASSESSMENT"	1
"ASSISTED-IGNITION"	1
"ASSOCIATED-PARTICLE TECHNIQUE"	1
"ASSOCIATED ? PARTICLE TECHNIQUE"	1
"ASSOCIATED ALPHA PARTICLE METHOD"	1
"ASSOCIATED ALPHA PARTICLE TECHNIQUE"	1
"ASSOCIATED PARTICLE IMAGING"	1
"ASSOCIATED PARTICLE TECHNIQUE"	11
"ASSOCIATION CONSTANTS (KDA)"	1
"ASYMMETRICAL FLOW FIELD-FLOW FRACTIONATION (ASFLFFF)"	1
"ATM"	1
"ATMOSPHERES"	1
"ATMOSPHERIC POLLUTION"	1
"ATMOSPHERIC PRESSURE CHEMICAL IONIZATION"	5
"ATMOSPHERIC PRESSURE IONIZATION"	2
"ATOMIC FORCE"	1
"ATOMIC FORCE MICROSCOPY (AFM)"	1
"ATOMIC MAGNETOMETERS"	1
"ATOMISTIC FORCE FIELD"	1
"ATOMIZATION APPROACH"	1
"ATOMIZATION ENERGY"	1
"ATR-FTIR"	1
"ATTENTION"	2
"ATTENUATED TOTAL REFLECTANCE"	1
"ATTENUATION"	1
"ATTENUATION LENGTH"	1
"ATTOGRAM"	1
"AU NANOPARTICLE"	1
"AU NANOPARTICLES"	1
"AU@AG NANOPARTICLES"	1
"AUDITORY DYSFUNCTION"	1
"AUTO-IGNITION"	1
"AUTO-IGNITION TEMPERATURE"	1
"AUTOCATALYSIS"	1
"AUTOCATALYTIC"	1
"AUTOCLAVE"	1
"AUTODYN"	3
"AUTOMATIC SAMPLING"	1
"AUTOMATICITY"	1
"AUTOMATION"	2
"AUTOMATIZATION"	1
"AUTONOMOUS"	1
"AUTONOMOUS UNDERWATER VEHICLES"	1
"AUTOPSY"	1
"AUTORADIOGRAPHY"	1
"AUTOXIDATION"	1
"AUV"	1
"AVIAN"	1
"AVIATION SECURITY"	3
"AVOIDANCE"	1
"AZIDE COMPLEX"	1
"AZIDE POLYMERS"	1
"AZIDES"	2
"AZIDO ESTER"	1
"AZO COMPOUNDS"	1
"AZOXYTRIAZOLONE"	1
"B. CHEMICAL SYNTHESIS"	1
"B. CREEP"	1
"B. INTERFACE"	1
"B. PLASMA DEPOSITION"	1
"B. THERMAL PROPERTIES"	1
"B. THERMAL PROPERTY"	1
"B/CUO DELAY COMPOSITIONS"	1
"B1. IN SITU OBSERVATION"	1
"B1. MECHANISM"	1
"B3LYP"	1
"B3LYP METHOD"	1
"BACILLUS MYCOIDES"	1
"BACK-SCATTERING"	1
"BACKGROUND CLUTTER"	1
"BACKSCATTER"	4
"BACKSCATTERING"	1
"BACKSCATTERING NEUTRON"	2
"BACKSTREAMED PHOTONS"	1
"BACKWARD-CARS"	1
"BACTERIA"	3
"BACTERIAL COMMUNITY"	3
"BACTERIAL TRANSFORMATION"	1
"BACTERIAL WHOLE-CELL BIOSENSORS"	1
"BACTERIUM BIOLUMINESCENCE ASSAY"	1
"BAGGAGE"	2
"BAGGAGE-CT IMAGERY"	1
"BAGGAGE VOLUME"	1
"BALLISTIC MODIFIER"	1
"BALLISTIC MODIFIERS"	1
"BALLISTIC MORTAR TEST"	1
"BALLISTIC PRESSURE WAVE"	1
"BALLISTICS AND EXPLOSIVES"	1
"BAM FRICTION"	1
"BAMBOO-CHARCOAL"	1
"BAND GAP"	1
"BANDGAP-LOWERING ABILITY"	1
"BANKNOTES"	1
"BARIUM"	1
"BAROMETRIC CALORIMETER"	1
"BASAL CELL CARCINOMA"	1
"BASE HYDROLYSIS"	1
"BASIC COPPER NITRATE"	1
"BASICITY"	1
"BATCH-RECIRCULATION REACTOR"	1
"BATH BOMBING"	1
"BATH DISASTER"	1
"BATH SCHOOL"	1
"BAYESIAN ANALYSIS"	1
"BAYESIAN NETWORK"	1
"BBO CRYSTAL"	1
"BCHMX"	3
"BDE IN TRIGGER BOND"	1
"BEHAVIOR"	2
"BEHAVIORAL"	1
"BEHAVIORAL ACTIVATION"	1
"BEHAVIORAL INSTRUMENT"	1
"BEHAVIORAL SCREENING"	1
"BEHIND ARMOR BLUNT TRAUMA"	1
"BENCHMARK"	1
"BENCHMARKING"	1
"BENEFICIAL BIODEGRADATION"	1
"BENZIMIDAZOLE"	1
"BENZIMIDAZOLE-ISOQUINOLINONE"	1
"BENZOATE"	1
"BENZOYL PEROXIDE"	2
"BER"	1
"BERTHELOT REACTION"	1
"BESSY"	1
"BEST MANAGEMENT PRACTICE"	1
"BEST MANAGEMENT PRACTICE."	1
"BF 3"	1
"BF3 DETECTOR"	2
"BI-PILLARED-LAYER"	1
"BI(III) COMPLEX"	1
"BIBENZIMIDAZOLE"	1
"BIFUNCTIONAL FEATURES"	1
"BIIMIDAZOLES"	1
"BIMETAL"	1
"BIMETALLIC"	1
"BINDING CONSTANTS"	1
"BINDING ENERGIES"	2
"BINDING ENERGY"	4
"BIO- AND NANOSTRUCTURED SPECIFIC COATINGS"	1
"BIO-ELECTROCHEMICAL"	1
"BIO-INSPIRATION"	1
"BIO-SYSTEMS"	1
"BIO DEGRADATION"	1
"BIOACCESSIBILITY"	1
"BIOACCUMULATION"	4
"BIOASSAY"	1
"BIOAVAILABILITY"	1
"BIOCONCENTRATION"	1
"BIOCONCENTRATION FACTOR"	1
"BIODEGRADATION"	27
"BIODEGRADATION LIMITS"	1
"BIOFILM COMPOSITION"	1
"BIOFUEL CELLS"	1
"BIOLOGICAL"	3
"BIOLOGICAL AERATED FILTER (BAF)"	1
"BIOLOGICAL DENITRIFICATION"	2
"BIOLOGICAL MATRICES"	1
"BIOLOGICAL SAMPLE"	1
"BIOLOGICAL SPECIMENS"	1
"BIOLOGICAL WARFARE AGENTS"	1
"BIOLUMINESCENCE"	1
"BIOMARKERS"	3
"BIOMEDICAL"	1
"BIOMEDICINE"	1
"BIOMETRICS"	1
"BIOMIMETIC"	1
"BIOMIMETIC SENSING"	1
"BIOMOLECULES"	1
"BIONANOTECHNOLOGY"	1
"BIOREACTOR"	1
"BIOREMEDIATED SOIL"	1
"BIOREMEDIATION"	10
"BIOREMEDIATION APPROACHES"	1
"BIOREPORTERS"	1
"BIOSENSOR"	4
"BIOSENSORS"	10
"BIOSILICA"	1
"BIOSORBENT"	1
"BIOSTIMULATION"	1
"BIOSURFACTANT"	1
"BIOTOXICITY"	1
"BIOTRANSFORMATION"	4
"BIPHENYLTETRACARBOXYLIC ACID"	1
"BIRD"	1
"BIRDS"	2
"BIS(8-HYDROXYQUINOLINE)-ALUMINIUM"	1
"BIS(TETRAZOLYL)TRIAZENES"	1
"BISBENZIMIDAZOLYL NAPHTHALENE"	1
"BISMUTH"	2
"BIVALVE"	2
"BLACK POWDER"	8
"BLACK POWDER SUBSTITUTES"	3
"BLACK POWDERS"	1
"BLACKBODY"	1
"BLAST"	13
"BLAST-INDUCED NEUROTRAUMA"	1
"BLAST-RELATED BRAIN INJURY"	1
"BLAST-TRAUMATIC BRAIN INJURY"	1
"BLAST BIOPHYSICS"	1
"BLAST EFFECT"	2
"BLAST IMPULSE"	1
"BLAST IN AIR"	1
"BLAST INJURIES"	10
"BLAST LOADING"	2
"BLAST LOADS"	2
"BLAST LUNG"	1
"BLAST OVERPRESSURE"	1
"BLAST PRESSURE"	2
"BLAST TRAUMA"	1
"BLAST UNDERWATER"	1
"BLAST WALLS"	1
"BLAST WAVE"	6
"BLAST WAVE THEORY"	1
"BLASTING WORKS"	2
"BLENDED POLYMER MEMBRANES"	1
"BLEVE"	2
"BLINDNESS"	1
"BLOOD"	1
"BOBWHITE"	1
"BODIPY"	1
"BOMB"	1
"BOMB SCENE EXAMINATION"	1
"BOMBINGS"	1
"BOMBTURBATION"	1
"BOND DISSOCIATION ENERGY"	9
"BOND DISSOCIATION ENERGY (BDE)"	1
"BOND DISSOCIATION ENERGY IN C-NO2 BOND"	1
"BOND DISSOCIATION ENERGY IN TRIGGER-BOND"	1
"BONDED SUGAR"	1
"BONDING AGENTS"	1
"BONDING EFFECTS"	1
"BONE MARROW"	1
"BOOTSTRAP"	1
"BOREHOLE-LOGGING"	1
"BORON"	2
"BORON–NITROGEN COMPOUNDS"	1
"BORON DOPED DIAMOND"	1
"BORON NEUTRON-CAPTURE THERAPY"	1
"BORON POTASSIUM NITRATE (BKNO 3 )"	1
"BOTTLED LIQUID"	1
"BOTTLED LIQUID SCANNER"	1
"BOX-WILSON EXPERIMENTAL DESIGN"	1
"BRACKETING"	1
"BRADBURY-NIELSEN GATE"	1
"BRAIN CONCUSSION"	1
"BRAIN EDEMA"	1
"BRAIN INJURY"	3
"BRAIN MAPPING"	1
"BRAZILIAN TNT INDUSTRY"	1
"BREATHING ZONE"	1
"BRISANCE PARAMETER"	1
"BROMATE DETECTION"	1
"BRUCETON TEST"	1
"BSA"	1
"BTF"	1
"BUBBLE GROWTH"	1
"BUBBLE PULSATION PERIOD"	1
"BUFFER GAS"	1
"BUILDING CODES"	1
"BULK-EXPLOSIVES DETECTION"	1
"BULK DETECTION"	2
"BULK EXPLOSIVES DETECTION"	2
"BULK HYDROGEN ANALYSIS"	1
"BULK MEDIA ASSAY"	1
"BURIAL"	1
"BURIED ARCH STRUCTURE"	1
"BURIED BULK EXPLOSIVES"	2
"BURIED EXPLOSIVE"	1
"BURIED OBJECTS"	1
"BURN PAN"	1
