"Keyword"	"Toxicology"
"2,5-DIMETHOXY-4-PROPYLTHIO-ß-PHENETHYLAMINE"	1
"2,5-DIMETHOXY-4-PROPYLTHIO-�-PHENETHYLAMINE"	1
"25-HYDROXYVITAMIN D"	1
"25B-NBOME"	2
"25C-NBOME"	3
"25I-NBOM.E."	1
"25I-NBOME"	4
"2C-D"	1
"2C-E"	1
"2C-I"	1
"2C-I NBOM.E."	1
"2C-T-2"	2
"2C-T-7"	2
"2CC-NBOME"	1
"3-BMC"	1
"3-D/CAD"	1
"3-FMC"	1
"3-MEO-PCP"	4
"3-MEO-PCPY"	1
"3-METHOXYPHENCYCLIDINE"	1
"3-METHYLFENTANYL"	1
"3-METHYLMETHCATHINONE (3-MMC)"	1
"3,4-DIMETHYLMETHCATHINONE"	1
"3,4-METHYLENEDIOXYAMPHETAMINE (MDA)"	1
"3,4-METHYLENEDIOXYMETHAMPHETAMINE"	1
"3,4-METHYLENEDIOXYMETHAMPHETAMINE (3,4-MDMA)"	1
"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	1
"3,4-METHYLENEDIOXYPYROVALERONE"	3
"3?-HYDROXYSTANOZOLOL"	1
"4'-METHOXY-A-PYRROLIDINOBUTIOPHENONE"	1
"4'-METHYL-A-PYRROLIDINOBUTYROPHENONE"	1
"4-ANPP"	1
"4-BROMO-2,5-DIMETHOXYBENZYLPIPERAZINE"	1
"4-CHLORO-2,5-DIMETHOXYAMPHETAMINE"	1
"4-CHLOROISOBUTYRFENTANYL"	1
"4-CHLOROMETHCATHINONE"	1
"4-CHLOROTESTOSTERONE"	1
"4-CMC"	1
"4-ETHYL-2,5-DIMETHOXY-ß-PHENETHYLAMINE"	1
"4-ETHYL-2,5-DIMETHOXY-�-PHENETHYLAMINE"	1
"4-FLUOROAMPHETAMINE"	1
"4-FLUOROISOBUTYRFENTANYL"	1
"4-IODO-2,5-DIMETHOXY-ß-PHENETHYLAMINE"	1
"4-IODO-2,5-DIMETHOXY-�-PHENETHYLAMINE"	1
"4-MEC"	2
"4-MEOPBP"	1
"4-METHOXY PV8"	1
"4-METHOXY PV8 (4-METHOXY PHPP)"	1
"4-METHOXY PV9 (4-METHOXY A-POP)"	1
"4-METHOXYAMPHETAMINE"	1
"4-METHYLAMINOREX"	1
"4-METHYLMETHCATHINONE"	1
"4F-IBF"	1
"5-APB"	2
"5-F-DALT"	1
"5-FLUORO-AB-PINACA"	1
"5-FLUORO-ADB"	2
"5-FLUORO-AMB"	1
"5-HT2A RECEPTOR"	1
"5-HYDROXY-N,N-DIISOPROPYLTRYPTAMINE"	1
"5-HYDROXYINDOLEACETIC ACID"	1
"5-HYDROXYTRYPTOPHOL"	2
"5-HYDROXYTRYPTOPHOL GLUCURONIDE"	2
"5-MAPB"	1
"5-MEO-DALT"	1
"5-MEO-DIPT"	1
"5-METHOXY-N,N-DIISOPROPYLTRYPTAMINE"	1
"5,6-MD-DALT"	1
"5F-ADB"	1
"5F-APICA"	1
"5F-CUMYL-P7AICA"	1
"5F-CUMYL-PEGACLONE"	1
"5F-CUMYL-PICA"	1
"5F-CUMYL-PINACA"	1
"5F-MDMB-PINACA"	4
"5F-PB-22"	2
"5F-PB-22 3-CARBOXYINDOLE"	1
"5F-SGT-151"	1
"5FñADB"	1
"5FñADBICA"	1
"5FñPB-22"	1
"6-ACETYL-MORPHINE"	1
"6-ACETYLMORPHINE"	2
"6-ACETYLMORPHINE (6-AM)"	1
"6-AM SCREENING IN DUID"	1
"6-AM SCREENING IN WDT"	1
"6-APB"	1
"6-MAPB"	1
"6-MONOACETHYLMORPHINE"	1
"6-MONOACETYL MORPHINE"	1
"6-MONOACETYLMORPHINE"	1
"6-OHDA"	1
"6-SULFATOXYMELATONIN"	1
"7-AMINOCLONAZEPAM"	2
"7-AMINOFLUNITRAZEPAM"	2
"7-AMINONITRAZEPAM"	1
"7-ME-DALT"	1
"7-OH-QUETIAPINE"	1
"7íN-5F-ADB"	1
"8-OHDG"	1
"96-WELL AUTOMATION"	1
"96-WELL SOLID-PHASE DISK EXTRACTION PLATE"	1
"A-CYANO-4-HYDROXY CINNAMIC ACID"	1
"A-CYANO-4-HYDROXYCINNAMIC ACID"	1
"A-POP"	1
"A-PYRROLIDINOBUTIOPHENONE (A-PBP)"	1
"A-PYRROLIDINOOCTANOPHENONE (PV9)"	1
"A-PYRROLIDINOVALEROPHENONE (A-PVP)"	2
"A-PYRROLIDINOVALEROPHENONE (PVP)"	1
"ìBATH SALTSî"	1
"A2"	1
"AB-001"	1
"AB-CHFUPYCA"	1
"AB-CHMINACA"	5
"AB-FUBINACA"	1
"AB-PINACA"	2
"ABSCESSES"	1
"ABSORBED COMPONENTS"	1
"ABSORPTION"	1
"ABSORPTION KINETICS"	1
"ABSORPTION PHASE"	1
"ABSORPTION RATE"	1
"ABSTINENCE TEST"	1
"ABSTINENCE TESTING"	1
"ABUSE"	6
"ABUSE DRUGS"	1
"ABUSE PATTERNS"	1
"ABUSE POTENTIAL"	1
"ABUSED DRUG SCREENING"	1
"ABUSED DRUGS"	1
"ACCELERATED SOLVENT EXTRACTION"	1
"ACCIDENT"	15
"ACCIDENT (FATAL)"	1
"ACCIDENT RISK"	2
"ACCIDENTAL DEATH"	1
"ACCIDENTAL HYPOTHERMIA"	1
"ACCREDITATION"	2
"ACCURACY"	4
"ACCURACY PROFILE"	1
"ACCURATE MASS SPECTRA LIBRARY"	1
"ACEBUTOLOL"	1
"ACEPROMAZINE"	1
"ACETONE"	1
"ACETYL FENTANYL"	6
"ACETYLATION"	1
"ACETYLCHOLINE"	1
"ACETYLCHOLINESTERASE"	2
"ACETYLFENTANYL"	3
"ACID"	1
"ACID HYDROLYSIS"	1
"ACIDIC"	1
"ACIDIC AND NEUTRAL DRUGS"	1
"ACIDIC DRUGS"	1
"ACIDOSIS"	1
"ACONITE POISONING"	7
"ACONITE POISONINGS"	1
"ACONITE ROOTS"	7
"ACONITE TINCTURE"	1
"ACONITINE"	6
"ACONITINE POISONING"	1
"ACONITUM"	4
"ACONITUM ALKALOIDS"	12
"ACONITUM CARMICHAELI DEBX."	1
"ACONITUM SPP. POISONING"	1
"ACQUAINTANCE RAPE"	1
"ACQUISITION"	1
"ACQUISITORY CRIME"	1
"ACRYLFENTANYL"	2
"ACRYLOYLFENTANYL"	3
"ACRYLOYLFENTANYL (ACRYLFENTANYL)"	1
"ACTH"	1
"ACTIVE COMPONENTS"	1
"ACTIVE PHARMACEUTICAL INGREDIENTS (API)"	1
"ACTIVIN TYPE II RECEPTORS (ACTRII)"	1
"ACTIVITY-BASED"	1
"ACUTE KIDNEY INJURY"	1
"ACUTE LIVER INJURY"	1
"ACUTE POISONING"	2
"ACUTE PROTRACTED ERROR"	1
"ACUTE TOXICITY"	3
"ADAMANTYL"	1
"ADB-CHMICA"	1
"ADB-CHMINACA"	3
"ADB-FUBINACA"	2
"ADDICTION"	8
"ADDICTIVE BEHAVIOR"	2
"ADHERENCE"	1
"ADIPOSE TISSUE"	3
"ADMA"	1
"ADMINISTRATION ROUTES"	1
"ADMISSIBILITY"	1
"ADOLESCENT"	4
"ADOLESCENT HEALTH"	1
"ADSORPTION"	2
"ADULT"	1
"ADULTERANT"	2
"ADULTERATION"	3
"ADVERSE DRUG REACTION"	1
"ADVERSE EFFECT"	1
"ADVERSE EFFECTS"	2
"ADVERSE REACTION"	1
"AFTER-DRINK"	1
"AGE"	1
"AGRICULTURAL EQUIPMENT"	1
"AH-7921"	2
"AIR-AGITATED LIQUID-LIQUID MICROEXTRACTION (AALLME)"	1
"AIRWAY ALCOHOL EXCHANGE"	1
"AIRWAY MUCUS"	1
"AIRWAYS"	1
"ALACHLOR"	1
"ALBUMIN"	1
"ALBUMIN-ADDUCTS"	2
"ALBUMIN ADDUCT"	1
"ALCOHOL"	99
"ALCOHOL-BREATH ANALYZER"	1
"ALCOHOL-RELATED HARM"	1
"ALCOHOL-RELATED TRAFFIC CRASHES"	1
"ALCOHOL ABSTINENCE"	1
"ALCOHOL ABUSE"	6
"ALCOHOL BIOMARKER"	2
"ALCOHOL BIOMARKERS"	2
"ALCOHOL BY VOLUME"	1
"ALCOHOL CONSUMPTION MARKER"	3
"ALCOHOL CONSUMPTION MARKERS"	1
"ALCOHOL DRINKING"	3
"ALCOHOL DRINKING PATTERNS"	1
"ALCOHOL ELIMINATION"	1
"ALCOHOL HOURS"	1
"ALCOHOL INGESTION"	1
"ALCOHOL INTOXICATION"	2
"ALCOHOL MARKER"	5
"ALCOHOL MARKERS IN HAIR"	2
"ALCOHOL MISUSE"	1
"ALCOHOL OUTLETS"	1
"ALCOHOL PHARMACOKINETICS"	1
"ALCOHOL RISK"	1
"ALCOHOL TECHNICAL DEFENCE"	2
"ALCOHOL USE"	1
"ALCOHOL/DRUG ABUSE"	1
"ALCOHOLIC BEVERAGES"	1
"ALCOHOLISM"	12
"ALCOPOPS"	1
"ALCOTEST 7410"	1
"ALDEHYDE"	1
"ALEXANDRIUM CATENELLA"	1
"ALEXANDRIUM TAMARENSE EXTRACTS"	1
"ALKALINE MOBILE PHASE"	1
"ALKALOIDS"	4
"ALKALOIDS/POISONING"	1
"ALKYL ALKYLPHOSPHONIC ACIDS"	1
"ALKYL CHAIN LENGTH"	1
"ALKYL METHYLPHOSPHONIC ACID"	1
"ALKYLAMINOINDOLE"	1
"ALKYLDIOL"	1
"ALPHA-CATHINONES"	1
"ALPHA-COBRATOXIN"	1
"ALPHA-PVP"	1
"ALPRAZOLAM"	4
"ALTERNATE MATRICES"	1
"ALTERNATIVE MATRICES"	8
"ALTERNATIVE MATRIX"	3
"ALTERNATIVE SAMPLES"	1
"ALTERNATIVE SAMPLING STRATEGIES"	1
"ALTERNATIVE SPECIMEN"	1
"ALUMINIUM (AL)"	2
"ALVEOLI"	1
"AM-1220"	1
"AM-1241"	1
"AM-1248"	1
"AM-2201"	2
"AM-2233"	1
"AM-694"	1
"AMANITA"	2
"AMANITA BOUDIERI"	1
"AMANITA ECHINOCEPHALA"	1
"AMANITA MUSCARIA"	1
"AMANITA PANTHERINA"	1
"AMANITA PHALLOIDES"	1
"AMANITIN"	2
"AMATOXIN"	2
"AMATOXIN POISONING"	1
"AMATOXINS"	1
"AMBIENT IONIZATION"	2
"AMDIS"	2
"AMFETAMINE"	1
"AMINO ALCOHOLS"	1
"AMINOALKYLINDOLE"	1
"AMINOALKYLINDOLES"	3
"AMINOREX"	1
"AMITRIPTYLINE"	5
"AMOBARBITAL"	1
"AMPHETAMINE-TYPE DRUGS"	1
"AMPHETAMINE AND DERIVATIVES"	54
"AMPHETAMINE ISOMER"	1
"AMPHETAMINE, LIDOCAINE, PROCAINE, AND MEPIVACAINE"	1
"AMPHOTERIC THYROXINES ANALYSIS"	1
"ANABOLIC"	1
"ANABOLIC AND ANDROGENIC STEROIDS"	1
"ANABOLIC STEROID"	2
"ANABOLIC STEROID ESTER"	1
"ANABOLIC STEROIDS"	12
"ANABOLICS"	1
"ANALGESIC DRUGS"	1
"ANALYSIS"	21
"ANALYSIS OF 6-AM FOR CLINICAL AND FORENSIC PURPOSES"	1
"ANALYTICAL CHEMISTRY"	1
"ANALYTICAL CHROMATOGRAPHY"	1
"ANALYTICAL METHOD"	9
"ANALYTICAL METHOD VALIDATION"	1
"ANAPHYLAXIS"	2
"ANCIENT HAIR"	1
"ANDROGENIC AND ANABOLIC STEROIDS (AASS)"	1
"ANDROSTENEDIONE"	1
"ANESTHESIOLOGY"	1
"ANESTHETICS"	3
"ANETHOLE"	1
"ANHYDROECGONINE METHYL ESTER"	1
"ANIMAL EXPERIMENT"	1
"ANODIZED TITANIUM WIRE"	1
"ANOXIA"	1
"ANTE-MORTEM"	2
"ANTEMORTEM"	4
"ANTEMORTEM AND POST-MORTEM BLOOD AND URINE"	1
"ANTEMORTEM BLOOD"	1
"ANTEMORTEM FACTORS"	1
"ANTHRAGLYCOSIDE B"	1
"ANTI-DOPING"	3
"ANTI-DOPING ANALYSIS"	2
"ANTI-EPILEPTIC DRUGS"	1
"ANTI-OESTROGENS"	1
"ANTIALLERGIC DRUGS"	1
"ANTIBIOTICS"	1
"ANTIBODY-DRUG-CONJUGATE"	1
"ANTIBODY-DRUG CONJUGATE"	1
"ANTICANCER DRUGS"	1
"ANTICHOLINERGIC"	1
"ANTICOAGULANT RODENTICIDES"	1
"ANTICONVULSANT"	1
"ANTICONVULSANT DRUG"	1
"ANTIDEPRESSANT"	3
"ANTIDEPRESSANT DRUG"	2
"ANTIDEPRESSANT DRUGS"	1
"ANTIDEPRESSANTS"	4
"ANTIDOPING CONTROLS"	1
"ANTIDOTE"	1
"ANTIEPILEPTIC DRUGS"	1
"ANTIHISTAMINE"	1
"ANTIHISTAMINES"	1
"ANTIMALARIALS"	1
"ANTIPSYCHOTIC"	1
"ANTIPSYCHOTIC DRUGS"	2
"ANTIPSYCHOTICS"	6
"ANTIPYRINE"	1
"ANTIRETROVIRALS"	1
"ANTITUSSIVE"	1
"APICA"	1
"APINAC"	1
"APINAC METABOLITES"	1
"APOMORPHINE"	1
"APOPTOSIS"	2
"APPLICATIONS"	3
"AQUEOUS DERIVATISATION"	1
"AQUEOUS ETHANOL SOLUTION"	1
"AQUEOUS SAMPLES"	1
"ARABIAN PENINSULA"	1
"ARANESP"	1
"ARGININE"	1
"ARGON"	1
"ARISTOLOCHIA FANGCHI"	1
"ARISTOLOCHIC ACID"	1
"ARISTOLOCHIC ACID I"	2
"ARTEMETHER"	1
"ARTESUNATE"	1
"ARTESUNIC ACID"	1
"ARTIFACT"	1
"ARTIFACT PRODUCTION"	1
"ARYLALKYLAMINES"	1
"ARYLCYCLOHEXYLAMINE"	2
"ARYLCYCLOHEXYLAMINES"	1
"ASEPTIC URINE COLLECTION KIT"	1
"ASIA"	2
"ASPHYXIA"	2
"ASSAILANT"	1
"ASSAY VALIDATION"	1
"ASSESSMENT"	1
"ASTRAGALOSIDE III"	1
"ATHLETE"	1
"ATHLETE BIOLOGICAL PASSPORT"	2
"ATHLETE TESTING"	1
"ATHLETES"	3
"ATHLETES' SAMPLES"	1
"ATHLETICS"	1
"ATMOSPHERIC CO"	1
"ATMOSPHERIC PRESSURE CHEMICAL IONIZATION"	2
"ATMOSPHERIC PRESSURE PHOTOIONIZATION"	1
"ATOMIC ABSORPTION SPECTROSCOPY"	2
"ATROPINE"	1
"ATTITUDES"	1
"AUC"	1
"AUSTRALIA"	4
"AUSTRALIAN/NEW ZEALAND STANDARD"	1
"AUTHENTIC HUMAN URINE SAMPLES"	1
"AUTHENTIC HUMAN URINE SPECIMEN"	3
"AUTHENTICATION"	1
"AUTOLYSIS"	1
"AUTOMATED DATABASE SEARCH"	1
"AUTOMATED EXTRACTION"	1
"AUTOMATED HOLLOW FIBER LIQUID-PHASE MICROEXTRACTION (HF-LPME)"	1
"AUTOMATED LIQUID-PHASE MICROEXTRACTION"	1
"AUTOMATED SAMPLE PREPARATION"	6
"AUTOMATED SOLID-PHASE EXTRACTION"	1
"AUTOMATED SUPPORTED LIQUID EXTRACTION"	1
"AUTOMATED SUPPORTED LIQUID EXTRACTION (SLE)"	1
"AUTOMATION"	9
"AUTOMOBILE"	1
"AUTOMOBILE DRIVING"	42
"AUTOMOTIVE SAFETY"	1
"AUTONOMIC DISORDERS"	1
"AUTONOMIC NERVOUS SYSTEM"	1
"AUTOPSY"	67
"AUTOPSY CASES"	1
"AUTOPSY MATERIAL"	2
"AUTOPSY SERIES"	1
"AVIAN INFLUENZA"	1
"AVIATION"	1
"AVOXIMETER 4000"	1
"AWARENESS"	1
"AXSYM"	1
"ßK-MBDB"	1
"AYURVEDA"	1
"BA?E"	1
"BAC IN INJURED DRIVERS"	1
"BAC LIMIT"	1
"BAC/BRAC CONVERSION FACTOR"	1
"BAC/BRAC QUOTIENT"	1
"BAC/BRAC RATIOS"	1
"BACK-CALCULATIONS"	1
"BACK CALCULATION"	2
"BACK CALCULATIONS"	1
"BACLOFEN"	1
"BACTERIAL DECOMPOSITION"	2
"BACTERIAL DEGRADATION"	1
"BAR ADSORPTIVE MICROEXTRACTION"	1
"BAR ADSORPTIVE MICROEXTRACTION (BA?E)"	1
"BARBITAL"	1
"BARBITURATES"	3
"BAROTRAUMA"	1
"BASAL GANGLIA"	1
"BASIC COMPOUNDS"	1
"BASIC DRUG OF ABUSE"	1
"BASIC DRUGS"	4
"BATH SALTS"	11
"BAYESIAN MODEL"	1
"BAYESIAN NETWORK"	1
"BAYESIAN STATISTICS"	1
"BB-22"	2
"BCHE"	1
"BEARD"	1
"BEARD HAIR"	1
"BEER"	1
"BEHAVIOUR"	2
"BENZOCAINE"	1
"BENZODIAZEPINE AND DERIVATIVES"	52
"BENZODIAZEPINE DEPENDENCE"	1
"BENZOYLECGONINE"	10
"BENZYLPIPERAZINE"	3
"BENZYLPIPERAZINE (BZP)"	1
"BEST PRACTICE"	1
"BETA-ADRENERGIC DRUGS"	1
"BETA-KETONE ANALOGUES"	2
"BETA-TRYPTASE"	1
"BIAS"	2
"BICYCLE"	1
"BICYCLISTS"	2
"BILE"	3
"BILE AS A USEFUL SPECIMEN"	1
"BILE PHYSIOLOGY"	1
"BINDING CONSTANT"	1
"BINGE DRINKING"	1
"BIO-ANALYTICAL METHOD"	1
"BIOANALYSIS"	4
"BIOANALYTICAL"	1
"BIOANALYTICAL ANALYSIS"	1
"BIOANALYTICAL AND CLINICAL ANALYSIS"	1
"BIOANALYTICAL APPLICATIONS"	1
"BIOANALYTICAL METHOD DEVELOPMENT"	1
"BIOANALYTICAL METHOD VALIDATION"	1
"BIOANALYTICAL METHODS"	1
"BIOANALYTICAL SAMPLE PREPARATION"	1
"BIOASSAY"	1
"BIOAVAILABILITY"	3
"BIOCHIP"	1
"BIOENERGY"	1
"BIOFLUIDS"	1
"BIOLOGICAL FACTORS"	1
"BIOLOGICAL FLUID"	1
"BIOLOGICAL FLUIDS"	2
"BIOLOGICAL MATERIAL"	1
"BIOLOGICAL MATRIX"	1
"BIOLOGICAL MONITORING"	1
"BIOLOGICAL PASSPORT"	1
"BIOLOGICAL SAMPLE"	1
"BIOLOGICAL SAMPLES"	8
"BIOLOGICAL SPECIMENS"	1
"BIOLOGICS"	1
"BIOLOGY"	1
"BIOMARKER DISCOVERY"	1
"BIOMARKER IDENTIFICATION"	1
"BIOMARKERS"	20
"BIOMARKERS OF EXPOSURE"	2
"BIOMEDICAL SAMPLE"	1
"BIOMEDICINE"	1
"BIOMONITORING"	2
"BIOPSY"	1
"BIOSAMPLES"	1
"BIOSCAVENGER"	1
"BIOSENSOR"	2
"BIOSIMILARS"	1
"BIOTECHNOLOGY"	1
"BIOTHERAPEUTICS"	1
"BISPHENOL A"	1
"BK-MBDB"	1
"BK-MDEA"	1
"BLACK HENBANE"	1
"BLEACH"	1
"BLEACHING"	3
"BLIND STICK"	2
"BLOOD"	50
"BLOOD-AMPHETAMINE"	1
"BLOOD-CONCENTRATION"	1
"BLOOD-ETHANOL"	1
"BLOOD-PLASMA RATIO"	1
"BLOOD-RETINAL BARRIER"	1
"BLOOD ALCOHOL"	3
"BLOOD ALCOHOL ANALYSIS"	2
"BLOOD ALCOHOL CALCULATION"	1
"BLOOD ALCOHOL CONCENTRATION"	33
"BLOOD ALCOHOL STABILITY"	2
"BLOOD ANALYSIS"	3
"BLOOD AND URINE"	1
"BLOOD CELLS"	1
"BLOOD CONCENTRATION"	5
"BLOOD CONCENTRATIONS"	6
"BLOOD CYANIDE CONCENTRATIONS"	1
"BLOOD DOPING"	3
"BLOOD LEVELS"	1
"BLOOD PASS"	1
"BLOOD SAMPLES"	4
"BLOOD TEST"	1
"BLOOD TOXICOLOGY"	1
"BLOOD TRANSFUSION"	2
"BLOOD VOLUME"	1
"BLOOD/BREATH ALCOHOL RATIO"	1
"BLOOD/BREATH RATIO"	1
"BLOOD/SERUM"	1
"BLUEBERRY SPICE"	1
"BM PHYSIOLOGY"	1
"BMAA"	1
"BMD"	1
"BODY BURDEN"	1
"BODY FLUID"	4
"BODY MASS INDEX"	1
"BODY PACKER"	1
"BODYBUILDERS"	1
"BOLDENONE"	1
"BONE"	7
"BONE CHEMISTRY"	1
"BONE MARKERS"	1
"BONE MARROW"	3
"BONE SCRAPING"	1
"BOTANICAL"	1
"BOTTOM-UP"	1
"BOTULINUM NEUROTOXIN"	1
"BOTULINUM NEUROTOXIN A"	1
"BOTULINUM TOXIN"	3
"BOTULISM"	3
"BOTULISM ANTITOXIN"	1
"BOX-BEHNKEN DESIGN"	1
"BOX SERIES"	1
"BRAC/BAC QUOTIENT"	1
"BRAC/BREATH ALCOHOL CONCENTRATION"	1
"BRAIN"	2
"BRAIN DEATH"	1
"BRAIN MEASUREMENT"	1
"BRAIN TISSUE"	1
"BRAZIL"	3
"BREAST FEEDING"	1
"BREAST MILK"	4
"BREATH"	7
"BREATH-ALCOHOL ANALYSIS"	1
"BREATH-ALCOHOL INSTRUMENTS"	1
"BREATH ALCOHOL"	8
"BREATH ALCOHOL ANALYSIS"	1
"BREATH ALCOHOL CONCENTRATION"	6
"BREATH ALCOHOL CONCENTRATION (BRAC)"	2
"BREATH ALCOHOL CONCENTRATION BRAC"	1
"BREATH ALCOHOL CONTENT"	1
"BREATH ALCOHOL MEASURING"	1
"BREATH ALCOHOL SENSITIVE IGNITION INTERLOCK DEVICES"	1
"BREATH ANALYSIS"	2
"BREATH ANALYZER"	1
"BREATH ETHANOL CONCENTRATION"	1
"BREATH SAMPLE ALCOHOL LEVELS"	1
"BREATH STRIPS"	1
"BREATH TEST"	1
"BREATH TESTS"	2
"BRIQUETTE"	1
"BROAD-SPECTRUM DRUG SCREENING"	1
"BROAD SPECIFICITY"	1
"BRODIFACOUM"	1
"BROMADIOLONE"	1
"BROMAZEPAM"	2
"BROMO-DRAGONFLY"	1
"BRONCHIAL CIRCULATION"	1
"BRUCINE"	2
"BUFADIENOLIDE"	1
"BUFALIN"	1
"BUFO BUFO GARGARIZANS"	1
"BUFO MELANOSTICTUS"	1
"BUFOGENIN"	1
"BUFOTOXIN"	1
"BULLEYACONITINE A"	1
"BUPRENORPHINE"	5
"BURIAL"	1
"BUSHFIRE"	1
"BUSULFAN"	2
"BUTALBITAL"	1
"BUTANE"	2
"BUTANE ABUSE"	1
"BUTANOL/HCL"	1
"BUTYLONE"	1
"BUTYRFENTANYL"	2
"BUTYRFENTANYL POISONING"	1
"BUTYROBETAINE"	1
"BUTYRYLCHOLINESTERASE"	1
"BZP"	4
"C-PEPTIDE"	2
"C-REACTIVE PROTEIN"	1
"C AFFEINE"	1
"CADAVER DECOMPOSITION"	1
"CADAVER IDENTIFICATION"	1
"CAFFEINE"	1
"CALCIUM"	2
"CALCULATIONS"	1
"CALIBRATION"	1
