Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
"Kusuma Y.S., Babu B.V., Naidu J.M.",6603012710;35944672000;7003666193;,"Asymmetry of finger ridge counts among four tribal populations of Andhra Pradesh, India",2001,HOMO- Journal of Comparative Human Biology,52,2,,110,116,,5,10.1078/0018-442X-00023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035756422&doi=10.1078%2f0018-442X-00023&partnerID=40&md5=3be2be7e198b0d43e3c61329aa1197b4,"Department of Anthropology, Andhra University, Visakhapatnam, India; Regional Medical Research Centre, Bhubaneswar, India; Division of Epidemiology, Regional Medical Research Centre, Indian Council of Medical Research, Bhubaneswar - 751 023, India","Kusuma, Y.S., Department of Anthropology, Andhra University, Visakhapatnam, India; Babu, B.V., Regional Medical Research Centre, Bhubaneswar, India, Division of Epidemiology, Regional Medical Research Centre, Indian Council of Medical Research, Bhubaneswar - 751 023, India; Naidu, J.M., Department of Anthropology, Andhra University, Visakhapatnam, India",,Aborigine; anthropometry; article; dermatoglyphics; environment; ethnic group; female; hemispheric dominance; histology; human; India; male; race; thumb; Anthropometry; Continental Population Groups; Dermatoglyphics; Environment; Ethnic Groups; Female; Functional Laterality; Humans; India; Male; Oceanic Ancestry Group; Thumb,"Babu, B.V.; Division of Epidemiology, Regional Medical Research Centre, Indian Council of Medical Research, Bhubaneswar - 751 023, India; email: babubv@satyam.net.in",Article,Final,,Scopus,2-s2.0-0035756422,,IFSMS 2004,Fingermark Composition,Fingermarks
McKasson S.,55402721900;,I think therefore I probably am,2001,Journal of Forensic Identification,51,3,,217,221,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034999403&partnerID=40&md5=e9169fdf3a95b16b20c2082ba26c2848,,"McKasson, S.",,accuracy; data base; finger dermatoglyphics; forensic identification; note; probability,,Note,Final,,Scopus,2-s2.0-0034999403,,IFSMS 2004,Fingermark Composition,Fingermarks
"Miskelly G.M., Kelderman M.R.",6602688637;6507793727;,Interference of ninhydrin pretreatment on leuco crystal violet visualization of bloodstains,2001,Journal of the Canadian Society of Forensic Science,34,3,,109,116,,3,10.1080/00085030.2001.10757522,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035667261&doi=10.1080%2f00085030.2001.10757522&partnerID=40&md5=9cf903515ba16a6d25f437450e2821d0,"Department of Chemistry, University of Auckland, Private Bag 92019, Auckland, New Zealand; Institute for Environmental Science and Research Ltd, Private Bag 92021, Auckland, New Zealand","Miskelly, G.M., Department of Chemistry, University of Auckland, Private Bag 92019, Auckland, New Zealand; Kelderman, M.R., Institute for Environmental Science and Research Ltd, Private Bag 92021, Auckland, New Zealand",,amino acid; crystal violet; hydrogen peroxide; ninhydrin; sulfosalicylic acid; acidity; article; blood stain; catalysis; color; human; reaction analysis,,Article,Final,,Scopus,2-s2.0-0035667261,,IFSMS 2004,Fingermark Composition,Fingermarks
Mnookin J.L.,,Fingerprint evidence in an age of DNA profiling,2001,Brooklyn Law Review,67,1,,13,70,,41,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=292087,"University of California, Los Angeles (UCLA)","Mnookin, J.L.",,,"Jennifer Mnookin, University of California, Los Angeles (UCLA) - School of Law, 385 Charles E. Young Dr. East, Room 1242, Los Angeles, CA 90095-1476, United States. Email: mnookin@law.ucla.edu",Article,Final,,Scopus,2-s2.0-0037735710,,IFSMS 2004,Fingermark Composition,Fingermarks
"Mong G., Walter S., Cantu T., Ramotowski R.S.",,The chemistry of latent prints from children and adults,2001,Fingerprint World,27,104,,66,69,,6,,,,"Mong, G.; Walter, S.; Cantu, T.; Ramotowski, R.",,,,Article,,,Scopus,2-s2.0-25144501161,,IFSMS 2004,Fingermark Composition,Fingermarks
"Olsen R.D., Lee H.C.",,Identification of Latent Prints,2001,Advances in Fingerprint Technology,,,,41,61,,,,,,"Olsen R.D., Lee, H.C.",,,,Book Chapter,,,,,,IFSMS 2004,Fingermark Composition,Fingermarks
Ramotowski R.S.,,Composition of latent print residue,2001,Advances in Fingerprint Technology,,,,63,104,,141,,,,"Ramotowski, R.S.",,,,Book Chapter,,,Scopus,2-s2.0-3042758991,,IFSMS 2004,Fingermark Composition,Fingermarks
Stoney D.A.,,Measurement of fingerprint individuality,2001,Advances in Fingerprint Technology,,,,327,387,,41,,,,"Stoney, D.A.",,,,Book Chapter,Final,,Scopus,2-s2.0-33646051911,,IFSMS 2004,Fingermark Composition,Fingermarks
"Stücker M., Geil M., Kyeck S., Hoffman K., Röchling A., Memmel U., Altmeyer P.",7004328738;6601942492;6506272439;12786837400;6602791892;6603103902;36038918700;,Interpapillary lines - The variable part of the human fingerprint,2001,Journal of Forensic Sciences,46,4,,857,861,,17,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034962523&partnerID=40&md5=1f5c2559839ac80061691b5fa676ec66,"Department of Dermatology, Ruhr-University Bochum, Germany; Police Department, Bochum, Germany","St¸cker, M., Department of Dermatology, Ruhr-University Bochum, Germany; Geil, M., Department of Dermatology, Ruhr-University Bochum, Germany; Kyeck, S., Police Department, Bochum, Germany; Hoffman, K., Department of Dermatology, Ruhr-University Bochum, Germany; Rˆchling, A., Department of Dermatology, Ruhr-University Bochum, Germany; Memmel, U., Department of Dermatology, Ruhr-University Bochum, Germany; Altmeyer, P., Department of Dermatology, Ruhr-University Bochum, Germany",Dermatoglyphic; Fingerprint; Forensic science; Interpapillary lines; Palm; Papillar lines; Skin; Sole,age; conference paper; degeneration; finger; finger dermatoglyphics; forensic identification; forensic science; palmar dermatoglyphics; priority journal; Adolescent; Adult; Age Factors; Aging; Dermatoglyphics; Female; Forensic Medicine; Humans; Male; Sex Factors; Touch,"St¸cker, M.; Department of Dermatology, Ruhr-University Bochum, Gudrunstr. 56, 44791 Bochum, Germany; email: M.Stucker@derma.de",Conference Paper,Final,,Scopus,2-s2.0-0034962523,,IFSMS 2004,Fingermark Composition,Fingermarks
Tietze S.,6602792897;,Spurenauswertung: Daktyloskopische und DNA-Untersuchungen am selben Spurentr‰ger,2001,Kriminalistik,55,2,,109,112,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345858021&partnerID=40&md5=9659477829d6efe548625eae709119fd,"LKA Sachsen, Germany","Tietze, S., LKA Sachsen, Germany",,,LKA SachsenGermany,Review,Final,,Scopus,2-s2.0-0345858021,,IFSMS 2004,Fingermark Composition,Fingermarks
"Tietze S., Witthuhn K.",,[No title available],2001,Papillarleisten-Struktur Der Menschlichen Handinnenfl‰che,9,,,,,,1,,,,"Tietze, S.; Witthuhn, K.",,,,Article,Final,,Scopus,2-s2.0-85061466467,,IFSMS 2004,Fingermark Composition,Fingermarks
Ramotowski R.S.,,Composition of latent print residue,2001,Advances in Fingerprint Technology,,,,63,104,,141,,,,"Ramotowski, R.S.",,,,Book Chapter,,,Scopus,2-s2.0-3042758991,,IFSMS 2010,Fingermark Composition,Fingermarks
[No author name available],,"US v Llera Plaza, Acosta and Rodriguez",2002,US District Court of the Eastern District of Pennsylvania,,,"98-362-10,11,12",,,,,,http://www.paed.uscourts.gov/documents/opinions/02D0046P.pdf,,,,,,Court Document,,,,,,IFSMS 2004,Fingermark Composition,Fingermarks
"Anthonioz A., Aguzzi A., Girod A., Egli N., Ribaux O.",6506301781;7102605628;54786517400;6507373206;6602502926;,Potential use of fingerprints in forensic intelligence: Crime scene linking,2002,Z Zagadnien Nauk Sadowych,51,,,166,170,,5,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037998156&partnerID=40&md5=7ed78e77e09de3c99197f07c667ff454,"Inst. de Police Sci./de Criminologie, UniversitÈ de Lausanne, Lausanne, Switzerland","Anthonioz, A., Inst. de Police Sci./de Criminologie, UniversitÈ de Lausanne, Lausanne, Switzerland; Aguzzi, A., Inst. de Police Sci./de Criminologie, UniversitÈ de Lausanne, Lausanne, Switzerland; Girod, A., Inst. de Police Sci./de Criminologie, UniversitÈ de Lausanne, Lausanne, Switzerland; Egli, N., Inst. de Police Sci./de Criminologie, UniversitÈ de Lausanne, Lausanne, Switzerland; Ribaux, O., Inst. de Police Sci./de Criminologie, UniversitÈ de Lausanne, Lausanne, Switzerland",AFIS system; Crime scene linking; Databases; Fingerprints; Forensic intelligence,automated fingerprint identification system; conference paper; crime; criminal behavior; criminal investigation; diagnostic value; finger dermatoglyphics; forensic identification; forensic medicine; human; law enforcement; major clinical study; methodology,"Anthonioz, A.; Inst. de Police Sci./de Criminologie, UniversitÈ de Lausanne, Lausanne, Switzerland",Conference Paper,Final,,Scopus,2-s2.0-0037998156,,IFSMS 2004,Fingermark Composition,Fingermarks
"Asano K.G., Bayne C.K., Horsman K.M., Buchanan M.V.",35613691700;56243258400;6603130844;7201968784;,Chemical composition of fingerprints for gender determination,2002,Journal of Forensic Sciences,47,4,,805,807,,66,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036317641&partnerID=40&md5=ff9901811bd290bd868c171ca344e312,"Chemical Sciences Division, Oak Ridge National Laboratory, Oak Ridge, TN, United States; Computer Science and Mathematics Division, Oak Ridge National Laboratory, Oak Ridge, TN, United States; Department of Chemistry, University of Virginia, Charlottesville, VA, United States","Asano, K.G., Chemical Sciences Division, Oak Ridge National Laboratory, Oak Ridge, TN, United States; Bayne, C.K., Computer Science and Mathematics Division, Oak Ridge National Laboratory, Oak Ridge, TN, United States; Horsman, K.M., Department of Chemistry, University of Virginia, Charlottesville, VA, United States; Buchanan, M.V., Chemical Sciences Division, Oak Ridge National Laboratory, Oak Ridge, TN, United States",Chemical characterization; Fingerprints; Forensic science; Gas chromatography/mass spectrometry,chloroform; cholesterol; fatty acid; long chain fatty acid; squalene; age; article; chemical composition; criminology; female; finger dermatoglyphics; gas chromatography; gender identity; habit; human; human experiment; male; mass spectrometry; normal human; personality; priority journal; Age Factors; Cholesterol; Dermatoglyphics; Esters; Fatty Acids; Female; Gas Chromatography-Mass Spectrometry; Humans; Male; Sensitivity and Specificity; Sex Determination (Analysis); Sex Factors; Solvents; Squalene,"Asano, K.G.; Oak Ridge National Laboratory, Building 5510, MS-6365, 1 Bethel Valley Road, Oak Ridge, TN 37831-6365, United States; email: asanokg@ornl.gov",Article,Final,,Scopus,2-s2.0-0036317641,,IFSMS 2004,Fingermark Composition,Fingermarks
"Azoury M., Zamir A., Oz C., Wiesner S.",56007307100;7006701678;6602538028;7004625661;,"The effect of 1,2-indanedione, a latent fingerprint reagent on subsequent DNA profiling",2002,Journal of Forensic Sciences,47,3,,586,588,,26,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036112887&partnerID=40&md5=ac096dc8ab976a605500c6fa4e131dc8,"Latent Fingerprint Devmt. Laboratory, Division of Identification Science, Israel Police, Jerusalem 91906, Israel","Azoury, M., Latent Fingerprint Devmt. Laboratory, Division of Identification Science, Israel Police, Jerusalem 91906, Israel; Zamir, A., Latent Fingerprint Devmt. Laboratory, Division of Identification Science, Israel Police, Jerusalem 91906, Israel; Oz, C., Latent Fingerprint Devmt. Laboratory, Division of Identification Science, Israel Police, Jerusalem 91906, Israel; Wiesner, S., Latent Fingerprint Devmt. Laboratory, Division of Identification Science, Israel Police, Jerusalem 91906, Israel","1,2-indanediones; CSFPO; D13S317; D16S539; D7S820; DNA profiling; F3A; FESFPS; Forensic science; Latent fingerprints; Polymerase chain reaction (PCR); Saliva; Short tandem repeat (STR); Stamp; THO; TPOX; VWA","indan 1,2 dione; indanone derivative; unclassified drug; article; DNA determination; DNA extraction; DNA fingerprinting; drug formulation; finger dermatoglyphics; forensic science; polymerase chain reaction; priority journal; tandem repeat; Dermatoglyphics; DNA; DNA Fingerprinting; Forensic Medicine; Humans; Indans; Microsatellite Repeats","Azoury, M.; Latent Fingerprint Devmt. Laboratory, Division of Identification Science, Israel Police, Jerusalem 91906, Israel",Article,Final,,Scopus,2-s2.0-0036112887,,IFSMS 2004,Fingermark Composition,Fingermarks
Beeton M.,,Scientific Methodology and the Friction Ridge Identification Process,2002,Ident. Canada,25,3,,4,8,,,,,,"Beeton, M.",,,,Article,,,,,,IFSMS 2004,Fingermark Composition,Fingermarks
Blain B.,,Automated Palm Identification-Why Palm Prints?,2002,Fingerprint Whorld,28,108,,102,107,,,,,,"Blain, B.",,,,Article,,,,,,IFSMS 2004,Fingermark Composition,Fingermarks
"Bokhari A., Coull B.A., Holmes L.B.",23108394600;7005844847;8098105200;,Effect of prenatal exposure to anticonvulsant drugs on dermal ridge patterns of fingers,2002,Teratology,66,1,,19,23,,15,10.1002/tera.10044,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036019262&doi=10.1002%2ftera.10044&partnerID=40&md5=d505d528b1580f082b757c0877ec90ab,"Genetics and Teratology Unit, Pediatric Service, Massachusetts General Hospital, Boston, MA 02114, United States; Department of Pediatrics, Harvard Medical School and Department of Biostatistics, Harvard School of Public Health, Boston, MA 02115, United States; Genetics and Teratology Unit, Pediatric Service, Massachusetts General Hospital, Warren 801, 55 Fruit Street, Boston, MA 02114-2606, United States","Bokhari, A., Genetics and Teratology Unit, Pediatric Service, Massachusetts General Hospital, Boston, MA 02114, United States; Coull, B.A., Department of Pediatrics, Harvard Medical School and Department of Biostatistics, Harvard School of Public Health, Boston, MA 02115, United States; Holmes, L.B., Genetics and Teratology Unit, Pediatric Service, Massachusetts General Hospital, Boston, MA 02114, United States, Genetics and Teratology Unit, Pediatric Service, Massachusetts General Hospital, Warren 801, 55 Fruit Street, Boston, MA 02114-2606, United States",,"anticonvulsive agent; phenobarbital; phenytoin; anticonvulsive agent; phenobarbital; phenytoin; adolescent; adult; article; child; drug effect; female; finger nail; human; major clinical study; male; nail hypoplasia; prenatal drug exposure; priority journal; sex difference; skin; skin defect; teratogenicity; congenital malformation; dermatoglyphics; epilepsy; finger; pregnancy; pregnancy complication; prenatal exposure; preschool child; Abnormalities, Drug-Induced; Adolescent; Adult; Anticonvulsants; Child; Child, Preschool; Dermatoglyphics; Epilepsy; Female; Fingers; Human; Male; Phenobarbital; Phenytoin; Pregnancy; Pregnancy Complications; Prenatal Exposure Delayed Effects; Support, Non-U.S. Gov't; Adolescent; Adult; Child; Child, Preschool; Epilepsy; Female; Humans; Male; Pregnancy; Pregnancy Complications; Prenatal Exposure Delayed Effects; Dudleya edulis","Holmes, L.B.; Teratology Unit, Pediatric Service, Massachusetts General Hospital, 55 Fruit Street, Boston, MA 02114-2606, United States; email: teratology@mgh.harvard.edu",Article,Final,,Scopus,2-s2.0-0036019262,,IFSMS 2004,Fingermark Composition,Fingermarks
Cho A.,35200363400;,Judge reverses decision on fingerprint evidence,2002,Science,295,5563,,2195,2197,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037155568&partnerID=40&md5=a41b84e030774a662e7600a129eb4ff8,,"Cho, A.",,court; error; finger dermatoglyphics; forensic medicine; homicide; justice; medical decision making; note; priority journal; witness; article; DNA fingerprinting; legal aspect; peer review; reproducibility; science; standard; United States; DNA Fingerprinting; Peer Review; Philadelphia; Reproducibility of Results; Science,,Note,Final,,Scopus,2-s2.0-0037155568,,IFSMS 2004,Fingermark Composition,Fingermarks
Cho A.,35200363400;,Fingerprinting doesn't hold up as a science in court,2002,Science,295,5554,,418,,,6,10.1126/science.295.5554.418,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037127061&doi=10.1126%2fscience.295.5554.418&partnerID=40&md5=9a8c8e4aa0e898ecacef93364ea97893,,"Cho, A.",,"ballistics; court; finger dermatoglyphics; forensic identification; note; observer variation; priority journal; technique; article; dermatoglyphics; gunshot injury; human; jurisprudence; United States; Dermatoglyphics; Humans; Jurisprudence; United States; Wounds, Gunshot",,Note,Final,,Scopus,2-s2.0-0037127061,,IFSMS 2004,Fingermark Composition,Fingermarks
Clark J.D.,57213818417;,ACE-V: Is it scientifically reliable and accurate?,2002,Journal of Forensic Identification,52,4,,401,408,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036300419&partnerID=40&md5=a1f23234d52d192f0b8e5a91f789ca51,"Western Identification Network Inc., Sacramento, CA, United States","Clark, J.D., Western Identification Network Inc., Sacramento, CA, United States",,accuracy; finger dermatoglyphics; forensic identification; forensic medicine; intermethod comparison; note; printing; reliability; validation process,"Clark, J.D.; Western Identification Network Inc., Sacramento, CA, United States",Note,Final,,Scopus,2-s2.0-0036300419,,IFSMS 2004,Fingermark Composition,Fingermarks
Epstein R.,36842288700;,"Fingerprints meet daubert: The myth of fingerprint ""science"" is revealed",2002,Southern California Law Review,75,3,,605,657,,45,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035995667&partnerID=40&md5=54727efe5b08e98dcc712d0a39e3ddb7,"Defender Association of Philadelphia, Federal Court Division, Philadelphia, PA, United States","Epstein, R., Defender Association of Philadelphia, Federal Court Division, Philadelphia, PA, United States",,,"Epstein, R.; Defender Association of Philadelphia, Federal Court Division, Philadelphia, PA, United States",Review,Final,,Scopus,2-s2.0-0035995667,,IFSMS 2004,Fingermark Composition,Fingermarks
Faigman D.L.,6603082496;,Is science different for lawyers?,2002,Science,297,5580,,339,340,,34,10.1126/science.1072515,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037135053&doi=10.1126%2fscience.1072515&partnerID=40&md5=7b1b40a5a9ed3b5507d3547589627135,"Hastings College of the Law, University of California, San Francisco, CA 94102, United States","Faigman, D.L., Hastings College of the Law, University of California, San Francisco, CA 94102, United States",,law enforcement; analytic method; court; decision making; finger dermatoglyphics; law; priority journal; professional practice; science; short survey; article; dermatoglyphics; expert witness; human; jurisprudence; science; Dermatoglyphics; Expert Testimony; Humans; Jurisprudence; Science,"Faigman, D.L.; Hastings College of the Law, University of California, San Francisco, CA 94102, United States; email: faigmand@uchastings.edu",Short Survey,Final,,Scopus,2-s2.0-0037135053,,IFSMS 2004,Fingermark Composition,Fingermarks
"Haber L., Haber R.",,Double-Blind procedures in Forensic Identification and Verification,2002,,,,,,,,,,,,"Geller, B.",,,,Working Draft,,,,,,IFSMS 2004,Fingermark Composition,Fingermarks
"Harich N., Esteban E., Chafik A., Moral P.",6603426976;35291958100;23033859200;7006300482;,Dermatoglyphic characterization of Berbers from Morocco: Qualitative and quantitative digital and palm data,2002,Annals of Human Biology,29,4,,442,456,,6,10.1080/03014460110102205,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035984457&doi=10.1080%2f03014460110102205&partnerID=40&md5=fc9877ef1fc5f5c04c3897eee45183d2,"Dept. Biologia Animal-Antropologia, Facultat de Biologia, Universitat de Barcelona, Av. Diagonal 645, 08028 Barcelona, Spain","Harich, N., Dept. Biologia Animal-Antropologia, Facultat de Biologia, Universitat de Barcelona, Av. Diagonal 645, 08028 Barcelona, Spain; Esteban, E., Dept. Biologia Animal-Antropologia, Facultat de Biologia, Universitat de Barcelona, Av. Diagonal 645, 08028 Barcelona, Spain; Chafik, A., Dept. Biologia Animal-Antropologia, Facultat de Biologia, Universitat de Barcelona, Av. Diagonal 645, 08028 Barcelona, Spain; Moral, P., Dept. Biologia Animal-Antropologia, Facultat de Biologia, Universitat de Barcelona, Av. Diagonal 645, 08028 Barcelona, Spain",,"genetics; Arab; article; classification; dermatoglyphics; ethnic group; ethnology; female; gene frequency; genetics; human; male; Morocco; population genetics; sex difference; Southern Europe; Arabs; Dermatoglyphics; Ethnic Groups; Female; Gene Frequency; Genetics, Population; Humans; Male; Mediterranean Region; Morocco; Sex Factors","Moral, P.; Dept. Biologia Animal-Antropologia, Facultat de Biologia, Universitat de Barcelona, Av. Diagonal 645, 08028 Barcelona, Spain; email: pmoral@bio.ub.es",Article,Final,,Scopus,2-s2.0-0035984457,,IFSMS 2004,Fingermark Composition,Fingermarks
Imwinkelried E.J.,,Fingerprint science,2002,National Law Journal,26,,,18,19,,2,,,,"Imwinkelried, E.J.",,,,Article,Final,,Scopus,2-s2.0-82955209902,,IFSMS 2004,Fingermark Composition,Fingermarks
