"raw.x","raw.y","pass"
"CAPILLARY ELECTROPHORESIS","CAPILLARY ELECTROPHORESIS","Duplicate"
"CAPILLARY ELECTROPHORESIS","CAPILLARY ELECTROPHORESIS","Duplicate"
"CLOUD POINT EXTRACTION","CLOUD POINT EXTRACTION","Duplicate"
"COLUMN SWITCHING","COLUMN SWITCHING","Duplicate"
"CRIMINALISTIC","CRIMINALISTIC","Duplicate"
"CRIMINALISTICS","CRIMINALISTICS","Duplicate"
"CRIMINALISTICS","CRIMINALISTICS","Duplicate"
"CYBER CRIME","CYBER CRIME","Duplicate"
"CYBER CRIME","CYBER CRIME","Duplicate"
"CYBER CRIME","CYBER CRIME","Duplicate"
"CYBER CRIME","CYBER CRIME","Duplicate"
"CYBER FORENSICS","CYBER FORENSICS","Duplicate"
"CYCLIC VOLTAMMETRY","CYCLIC VOLTAMMETRY","Duplicate"
"CYCLIC VOLTAMMETRY","CYCLIC VOLTAMMETRY","Duplicate"
"DATE RAPE","DATE RAPE","Duplicate"
"DECISION MAKING","DECISION MAKING","Duplicate"
"DECISION MAKING","DECISION MAKING","Duplicate"
"DESIGNER DRUGS","DESIGNER DRUGS","Duplicate"
"DESIGNER DRUGS","DESIGNER DRUGS","Duplicate"
"DESIGNER DRUGS","DESIGNER DRUGS","Duplicate"
"DESIGNER DRUGS","DESIGNER DRUGS","Duplicate"
"DESIGNER DRUGS","DESIGNER DRUGS","Duplicate"
"DESIGNER DRUGS","DESIGNER DRUGS","Duplicate"
"DESIGNER DRUGS","DESIGNER DRUGS","Duplicate"
"DESIGNER DRUGS","DESIGNER DRUGS","Duplicate"
"DESIGNER DRUGS","DESIGNER DRUGS","Duplicate"
"DESIGNER DRUGS","DESIGNER DRUGS","Duplicate"
"DESIGNER DRUGS","DESIGNER DRUGS","Duplicate"
"DEVICE","DEVICE","Duplicate"
"DEVICES","DEVICES","Duplicate"
"DOPING CONTROL","DOPING CONTROL","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRIVING UNDER THE INFLUENCE","DRIVING UNDER THE INFLUENCE","Duplicate"
"DRUG SUBSTANCE","DRUG SUBSTANCE","Duplicate"
"ENANTIOSEPARATION","ENANTIOSEPARATION","Duplicate"
"FLOW INJECTION","FLOW INJECTION","Duplicate"
"FOLLOW UP","FOLLOW UP","Duplicate"
"FORENSIC","FORENSIC","Duplicate"
"FORENSIC","FORENSIC","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FORENSIC TOXICOLOGY","FORENSIC TOXICOLOGY","Duplicate"
"FOURIER TRANSFORM RAMAN SPECTROSCOPY","FOURIER TRANSFORM RAMAN SPECTROSCOPY","Duplicate"
"GAS PHASE","GAS PHASE","Duplicate"
"GENERAL UNKNOWN SCREENING","GENERAL UNKNOWN SCREENING","Duplicate"
"GRAPHENE OXIDE","GRAPHENE OXIDE","Duplicate"
"GUNSHOT WOUND","GUNSHOT WOUND","Duplicate"
"GUNSHOT WOUND","GUNSHOT WOUND","Duplicate"
"GUNSHOT WOUND","GUNSHOT WOUND","Duplicate"
"HEAVY METALS","HEAVY METALS","Duplicate"
"HERBAL PRODUCT","HERBAL PRODUCT","Duplicate"
"HERBAL PRODUCT","HERBAL PRODUCT","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH RISK BEHAVIOR","HIGH RISK BEHAVIOR","Duplicate"
"HIGH THROUGHPUT SEQUENCING","HIGH THROUGHPUT SEQUENCING","Duplicate"
"HIGH THROUGHPUT SEQUENCING","HIGH THROUGHPUT SEQUENCING","Duplicate"
"HIGH THROUGHPUT SEQUENCING","HIGH THROUGHPUT SEQUENCING","Duplicate"
"INSTANT MESSAGING","INSTANT MESSAGING","Duplicate"
"INSTANT MESSAGING","INSTANT MESSAGING","Duplicate"
"ISOTOPE","ISOTOPE","Duplicate"
"ISOTOPES","ISOTOPES","Duplicate"
"JWH 019","JWH 019","Duplicate"
"JWH 019","JWH 019","Duplicate"
"LASER ABLATION INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY","LASER ABLATION INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY","Duplicate"
"LASER ABLATION INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY","LASER ABLATION INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY","Duplicate"
"LASER ABLATION INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY","LASER ABLATION INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY","Duplicate"
"LATENT FINGERPRINT","LATENT FINGERPRINT","Duplicate"
"LATENT FINGERPRINTS","LATENT FINGERPRINTS","Duplicate"
"LATENT FINGERPRINTS","LATENT FINGERPRINTS","Duplicate"
"LATENT FINGERPRINTS","LATENT FINGERPRINTS","Duplicate"
"LEAD","LEAD","Duplicate"
"LEAD","LEAD","Duplicate"
"LEAD","LEAD","Duplicate"
"LEAD","LEAD","Duplicate"
"LEAD","LEAD","Duplicate"
"LEAD","LEAD","Duplicate"
"LEAD","LEAD","Duplicate"
"LEAD","LEAD","Duplicate"
"LEAD","LEAD","Duplicate"
"LEAD ISOTOPE","LEAD ISOTOPE","Duplicate"
"LEGAL HIGHS","LEGAL HIGHS","Duplicate"
"LEGAL HIGHS","LEGAL HIGHS","Duplicate"
"LEGAL HIGHS","LEGAL HIGHS","Duplicate"
"LEGAL HIGHS","LEGAL HIGHS","Duplicate"
"LIMIT OF QUANTITATION","LIMIT OF QUANTITATION","Duplicate"
"LIMIT OF QUANTITATION","LIMIT OF QUANTITATION","Duplicate"
"LIMIT OF QUANTITATION","LIMIT OF QUANTITATION","Duplicate"
"LIMIT OF QUANTITATION","LIMIT OF QUANTITATION","Duplicate"
"LIMIT OF QUANTITATION","LIMIT OF QUANTITATION","Duplicate"
"LIMIT OF QUANTITATION","LIMIT OF QUANTITATION","Duplicate"
"LIMIT OF QUANTITATION","LIMIT OF QUANTITATION","Duplicate"
"LIQUID LIQUID EXTRACTION","LIQUID LIQUID EXTRACTION","Duplicate"
"LIQUID LIQUID EXTRACTION","LIQUID LIQUID EXTRACTION","Duplicate"
"LIQUID LIQUID EXTRACTION","LIQUID LIQUID EXTRACTION","Duplicate"
"LIQUID LIQUID EXTRACTION","LIQUID LIQUID EXTRACTION","Duplicate"
"LIQUID LIQUID EXTRACTION","LIQUID LIQUID EXTRACTION","Duplicate"
"LIQUID LIQUID EXTRACTION","LIQUID LIQUID EXTRACTION","Duplicate"
"LIQUID LIQUID EXTRACTION","LIQUID LIQUID EXTRACTION","Duplicate"
"LIQUID LIQUID EXTRACTION","LIQUID LIQUID EXTRACTION","Duplicate"
"LIQUID LIQUID EXTRACTION","LIQUID LIQUID EXTRACTION","Duplicate"
"LIQUID LIQUID EXTRACTION","LIQUID LIQUID EXTRACTION","Duplicate"
"LIQUID LIQUID EXTRACTION","LIQUID LIQUID EXTRACTION","Duplicate"
"LIQUID LIQUID EXTRACTION","LIQUID LIQUID EXTRACTION","Duplicate"
"MICELLAR ELECTROKINETIC CHROMATOGRAPHY","MICELLAR ELECTROKINETIC CHROMATOGRAPHY","Duplicate"
"MIDDLE AGE","MIDDLE AGE","Duplicate"
"MIDDLE AGED","MIDDLE AGED","Duplicate"
"MIDDLE AGED","MIDDLE AGED","Duplicate"
"MOLECULAR IMPRINTING","MOLECULAR IMPRINTING","Duplicate"
"MULTIVARIATE STATISTICAL ANALYSIS","MULTIVARIATE STATISTICAL ANALYSIS","Duplicate"
"NEURAL NETWORK","NEURAL NETWORK","Duplicate"
"NEURAL NETWORK","NEURAL NETWORK","Duplicate"
"ONLINE SPE","ONLINE SPE","Duplicate"
"PHARMACEUTICAL PREPARATIONS","PHARMACEUTICAL PREPARATIONS","Duplicate"
"POSTMORTEM CHANGE","POSTMORTEM CHANGE","Duplicate"
"POSTMORTEM CHANGE","POSTMORTEM CHANGE","Duplicate"
"POSTMORTEM CHANGES","POSTMORTEM CHANGES","Duplicate"
"QUESTIONNAIRE","QUESTIONNAIRE","Duplicate"
"QUESTIONNAIRES","QUESTIONNAIRES","Duplicate"
"RAMAN SCATTERING","RAMAN SCATTERING","Duplicate"
"RAMAN SPECTROMETRY","RAMAN SPECTROMETRY","Duplicate"
"RAMAN SPECTROMETRY","RAMAN SPECTROMETRY","Duplicate"
"RAMAN SPECTROMETRY","RAMAN SPECTROMETRY","Duplicate"
"RAMAN SPECTROMETRY","RAMAN SPECTROMETRY","Duplicate"
"RAMAN SPECTROSCOPY","RAMAN SPECTROSCOPY","Duplicate"
"RAMAN SPECTROSCOPY","RAMAN SPECTROSCOPY","Duplicate"
"RAMAN SPECTROSCOPY","RAMAN SPECTROSCOPY","Duplicate"
"RAMAN SPECTROSCOPY","RAMAN SPECTROSCOPY","Duplicate"
"RAMAN SPECTROSCOPY","RAMAN SPECTROSCOPY","Duplicate"
"RAMAN SPECTROSCOPY","RAMAN SPECTROSCOPY","Duplicate"
"RAMAN SPECTROSCOPY","RAMAN SPECTROSCOPY","Duplicate"
"RAMAN SPECTROSCOPY","RAMAN SPECTROSCOPY","Duplicate"
"RAMAN SPECTROSCOPY","RAMAN SPECTROSCOPY","Duplicate"
"RAMAN SPECTROSCOPY","RAMAN SPECTROSCOPY","Duplicate"
"RAMAN SPECTROSCOPY","RAMAN SPECTROSCOPY","Duplicate"
"RAMAN SPECTROSCOPY","RAMAN SPECTROSCOPY","Duplicate"
"RAMAN SPECTROSCOPY","RAMAN SPECTROSCOPY","Duplicate"
"SHOOTING DISTANCE DETERMINATION","SHOOTING DISTANCE DETERMINATION","Duplicate"
"SHOOTING DISTANCE DETERMINATION","SHOOTING DISTANCE DETERMINATION","Duplicate"
"SHOOTING DISTANCE DETERMINATION","SHOOTING DISTANCE DETERMINATION","Duplicate"
"SHOOTING DISTANCE DETERMINATION","SHOOTING DISTANCE DETERMINATION","Duplicate"
"SHOOTING DISTANCE DETERMINATION","SHOOTING DISTANCE DETERMINATION","Duplicate"
"SHOOTING DISTANCE DETERMINATION","SHOOTING DISTANCE DETERMINATION","Duplicate"
"SHOOTING DISTANCE DETERMINATION","SHOOTING DISTANCE DETERMINATION","Duplicate"
"SHOOTING DISTANCE DETERMINATION","SHOOTING DISTANCE DETERMINATION","Duplicate"
"SHOOTING DISTANCE DETERMINATION","SHOOTING DISTANCE DETERMINATION","Duplicate"
"SPECTROPHOTOMETRY","SPECTROPHOTOMETRY","Duplicate"
"SPECTROPHOTOMETRY","SPECTROPHOTOMETRY","Duplicate"
"SUPPORT VECTOR MACHINE","SUPPORT VECTOR MACHINE","Duplicate"
"TAPE LIFT","TAPE LIFT","Duplicate"
"TAPE LIFT","TAPE LIFT","Duplicate"
"TETRAHYDROCANNABINOL","TETRAHYDROCANNABINOL","Duplicate"
"TETRAHYDROCANNABINOL","TETRAHYDROCANNABINOL","Duplicate"
"TETRAHYDROCANNABINOL","TETRAHYDROCANNABINOL","Duplicate"
"THREE DIMENSIONAL IMAGING","THREE DIMENSIONAL IMAGING","Duplicate"
"THREE DIMENSIONAL IMAGING","THREE DIMENSIONAL IMAGING","Duplicate"
"THREE DIMENSIONAL IMAGING","THREE DIMENSIONAL IMAGING","Duplicate"
"TRACE ELEMENT","TRACE ELEMENT","Duplicate"
"TRACE ELEMENT","TRACE ELEMENT","Duplicate"
"TRACE ELEMENT","TRACE ELEMENT","Duplicate"
"TRACE ELEMENT","TRACE ELEMENT","Duplicate"
"ULTRAVIOLET SPECTROPHOTOMETRY","ULTRAVIOLET SPECTROPHOTOMETRY","Duplicate"
"VOLATILE ORGANIC COMPOUND","VOLATILE ORGANIC COMPOUND","Duplicate"
"VOLATILE ORGANIC COMPOUNDS","VOLATILE ORGANIC COMPOUNDS","Duplicate"
"VOLATILE ORGANIC COMPOUNDS","VOLATILE ORGANIC COMPOUNDS","Duplicate"
