TitleAbrevated	Fulltitle
ACTA SCI. NAT. ACAD. SCI. BOHEMOSLOV.	ACTA SCIENTIARUM NATURALIUM ACADEMIAE SCIENTIARUM BOHEMOSLOVACA
ACTA SOC. BOT. POL.	ACTA SOCIETATIS BOTANICORUM POLONIAE
ACTA SOC. FAUNA FLORA FENN.	ACTA SOCIETATIS PRO FAUNA ET FLORA FENNICA
ACTA THERIOL.	ACTA THERIOLOGICA
ACTA UNIV. CAROL. BIOL.	ACTA UNIVERSITATIS CAROLINAE BIOLOGICA
ACTA ZOOL. CRACOV.	ACTA ZOOLOGICA CRAKOVIENSIA
ACTA ZOOL. FENN.	ACTA ZOOLOGICA FENNICA
ACTA ZOOL. HUNG.	ACTA ZOOLOGICA HUNGARICA
ACTA ZOOL. LITUAN.	ACTA ZOOLOGICA LITUANICA
ACTES SOC. HELV. SCI. NAT.	ACTES DE LA SOCIÉTÉ HELVÉTIQUE DES SCIENCES NATURELLES
ACTES SOC. JURA. ÉMUL.	ACTES DE LA SOCIÉTÉ JURASSIENNE D'ÉMULATION
ADAPT. CLIM. CHANG. ALP. SPACE, ADAPTALP	ADAPTATION TO CLIMATE CHANGE IN THE ALPINE SPACE, ADAPTALP
ADV. AGRON.	ADVANCES IN AGRONOMY
ADV. ATMOS. SCI.	ADVANCES IN ATMOSPHERIC SCIENCES
ADV. CHEM. SER.	ADVANCES IN CHEMISTRY SERIES
ADV. ECOL. RES.	ADVANCES IN ECOLOGICAL RESEARCH
ADV. ETHOL.	ADVANCES IN ETHOLOGY
ADV. GEOSCI.	ADVANCES IN GEOSCIENCES
ADV. INSECT PHYSIOL.	ADVANCES IN INSECT PHYSIOLOGY
ADV. PLANT PATHOL.	ADVANCES IN PLANT PATHOLOGY
ADV. SPACE RES.	ADVANCES IN SPACE RESEARCH
ADV. WATER RESOUR.	ADVANCES IN WATER RESOURCES
AEOLIAN RES.	AEOLIAN RESEARCH
AEROSOL AIR QUAL. RES.	AEROSOL AND AIR QUALITY RESEARCH
AFR. J. SCI. TECHNOL. INNOV. DEV.	AFRICAN JOURNAL OF SCIENCE, TECHNOLOGY, INNOVATION AND DEVELOPMENT
AFZ/WALD	AFZ/DER WALD
AGRARFORSCHUNG	AGRARFORSCHUNG (AB 2010 NEU AGRARFORSCHUNG SCHWEIZ)
AGRARFORSCH. SCHWEIZ	AGRARFORSCHUNG SCHWEIZ (VOR 2010 AGRARFORSCHUNG)
AGRIC. TICIN.	AGRICOLTORE TICINESE
AGRIC. ITAL.	AGRICOLTURA ITALIANA
AGRIC. FOR. ENTOMOL.	AGRICULTURAL AND FOREST ENTOMOLOGY
AGRIC. FOR. METEOROL.	AGRICULTURAL AND FOREST METEOROLOGY
AGRIC. INF. BULL. USDA FOR. SERV.	AGRICULTURAL INFORMATION BULLETIN USDA FOREST SERVICE
AGRIC. METEOROL.	AGRICULTURAL METEOROLOGY
AGRIC. SYST.	AGRICULTURAL SYSTEMS
AGRIC. WATER MANAGE.	AGRICULTURAL WATER MANAGEMENT
AGRIC. ECOSYST. ENVIRON.	AGRICULTURE, ECOSYSTEMS AND ENVIRONMENT
AGRIC. HANDB.	AGRICULTURE HANDBOOK
AGRO-ECOSYST.	AGRO-ECOSYSTEMS
AGROFOR. SYST.	AGROFORESTRY SYSTEMS
AGRON. SUSTAINABLE DEV.	AGRONOMY FOR SUSTAINABLE DEVELOPMENT
AGRON. J.	AGRONOMY JOURNAL
ALLG. BOT. ZTG.	ALLGEMEINE BOTANISCHE ZEITUNG
ALLG. FORST- JAGDZTG.	ALLGEMEINE FORST- UND JAGDZEITUNG
ALLG. FORST Z. WALDWIRTSCH. UMWELTVORSORGE	ALLGEMEINE FORST ZEITSCHRIFT FÜR WALDWIRTSCHAFT UND UMWELTVORSORGE [AFZ-DER WALD]
ALLG. FORSTZTG. (WIEN)	ALLGEMEINE FORSTZEITUNG
ALLG. SCHWEIZ. MIL.Z.	ALLGEMEINE SCHWEIZERISCHE MILLITÄRZEITSCHRIFT
ALLIONIA	ALLIONIA
ALPEN	ALPEN
ALPES	ALPES
ALP. BOT.	ALPINE BOTANY
AL SERV. BOSCO PAESAGGIO	AL SERVIZIO DEL BOSCO E DEL PAESAGGIO
AMBIO	AMBIO
AMÉNAGE. TERRIT.	AMÉNAGEMENT DU TERRITOIRE
AM. ANTIQU.	AMERICAN ANTIQUITY
AM. J. AGRIC. ECON.	AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS
AM. J. ARCHAEOL.	AMERICAN JOURNAL OF ARCHAEOLOGY
AM. J. BOT.	AMERICAN JOURNAL OF BOTANY
AM. J. COMMUNITY PSYCHOL.	AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY
AM. J. PHYSIOL.	AMERICAN JOURNAL OF PHYSIOLOGY
AM. J. POLIT. SCI.	AMERICAN JOURNAL OF POLITICAL SCIENCE
AM. J. PREV. MED.	AMERICAN JOURNAL OF PREVENTIVE MEDICINE
AM. J. PUBLIC HEALTH	AMERICAN JOURNAL OF PUBLIC HEALTH
AM. J. SCI.	AMERICAN JOURNAL OF SCIENCE
AM. MIDL. NAT.	AMERICAN MIDLAND NATURALIST
AM. MUS. NOVIT.	AMERICAN MUSEUM NOVITATES
AM. NAT.	AMERICAN NATURALIST
AM. POLIT. SCI. REV.	AMERICAN POLITICAL SCIENCE REVIEW
AM. PSYCHOL.	AMERICAN PSYCHOLOGIST
AM. ZOOL.	AMERICAN ZOOLOGIST
ANAL. CHIM. ACTA	ANALYTICA CHIMICA ACTA
ANAL. BIOANAL. CHEM.	ANALYTICAL AND BIOANALYTICAL CHEMISTRY
ANAL. BIOCHEM.	ANALYTICAL BIOCHEMISTRY
ANAL. CHEM.	ANALYTICAL CHEMISTRY
ANAT. ANZ.	ANATOMISCHER ANZEIGER
ANGEW. BOT.	ANGEWANDTE BOTANIK
ANGEW. ENTOMOL.	ANGEWANDTE ENTOMOLOGIE
ANGEW. LANDSCH.ÖKOL.	ANGEWANDTE LANDSCHAFTSÖKOLOGIE
ANGEW. PFLANZENSOZIOL.	ANGEWANDTE PFLANZENSOZIOLOGIE
ANIM. BEHAV.	ANIMAL BEHAVIOUR
ANIM. CONSERV.	ANIMAL CONSERVATION
ANIM. GENET.	ANIMAL GENETICS
ANIM. RES.	ANIMAL RESEARCH
ANIM. WELF.	ANIMAL WELFARE
ANLIEGEN NAT.	ANLIEGEN NATUR
ANN. METEOROL.	ANNALEN DER METEOROLOGIE
ANN. SCHWEIZ. METEOROL. ANST.	ANNALEN DER SCHWEIZERISCHEN METEOROLOGISCHEN ANSTALT
ANN. NAT.HIST. MUS. WIEN	ANNALEN DES NATURHISTORISCHEN MUSEUMS IN WIEN
ANN. ACAD. SCI. FENN.	ANNALES ACADEMIAE SCIENTIARUM FENNICAE
ANN. AGRON.	ANNALES AGRONOMIQUES
ANN. BOT. FENN.	ANNALES BOTANICI FENNICI
ANN. SOC. ENTOMOL. FR.	ANNALES DE LA SOCIÉTÉ ENTOMOLOGIQUE DE FRANCE
ANN. ÉC. NATL. EAUX FOR.	ANNALES DE LÉCOLE NATIONALE DES EAUX ET FORÊTS ET DE LA STATION DE RECHERCHES ET EXPÉRIENCES FORESTIÈRES
ANN. PHYTOPATHOL.	ANNALES DE PHYTOPATHOLOGIE
ANN. SCI. FOR.	ANNALES DES SCIENCES FORESTIÈRES
ANN. ENTOMOL. FENN.	ANNALES ENTOMOLOGICI FENNICI
ANN. HIST.-NAT. MUS. NATL. HUNG.	ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI
ANN. SCI. UNIV. BESANCON BIOL. VEG.	ANNALES SCIENTIFIQUES DE LUNIVERSITÉ DE BESANCON, BIOLOGIE VÉGÉTALE
ANN. ZOOL. FENN.	ANNALES ZOOLOGICI FENNICI
ANN. ACCAD. ITAL. SCI. FOR.	ANNALI ACCADEMIA ITALIANA DI SCIENZE FORESTALI
ANN. SPER. AGRAR.	ANNALI DELLA SPERIMENTAZIONE AGRARIA
ANN. IST. SPER. SELVIC.	ANNALI DELLISTITUTO SPERIMENTALE PER LA SELVICOLTURA
ANN. IST. SPER. ASSEST. FOR. ALPIC.	ANNALI DELLISTITUTO SPERIMENTALE PER LASSESTAMENTO FORESTALE E PER LALPICOLTURA
ANN. AGRAR. SCI.	ANNALS OF AGRARIAN SCIENCE
ANN. APPL. BIOL.	ANNALS OF APPLIED BIOLOGY
ANN. BOT.	ANNALS OF BOTANY
ANN. FOR. SCI.	ANNALS OF FOREST SCIENCE
ANN. GLACIOL.	ANNALS OF GLACIOLOGY
ANN. MATH. STAT.	ANNALS OF MATHEMATICAL STATISTICS
ANN. STAT.	ANNALS OF STATISTICS
ANN. ASSOC. AM. GEOGR.	ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS
ANN. ENTOMOL. SOC. AM.	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA
ANN. INST. STAT. MATH.	ANNALS OF THE INSTITUE OF STATISTICAL MATHEMATICS
ANN. MO. BOT. GARD.	ANNALS OF THE MISSOURI BOTANICAL GARDEN
ANN. N. Y. ACAD. SCI.	ANNALS OF THE NEW YORK ACADEMY OF SCIENCES
ANN. TOUR. RES.	ANNALS OF TOURISM RESEARCH
ANNU. REV. EARTH PLANET. SCI. LETT.	ANNUAL REVIEW OF EARTH AND PLANETARY SCIENCE LETTERS
ANNU. REV. ECOL. SYST.	ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS
ANNU. REV. ECOL. EVOL. SYST.	ANNUAL REVIEW OF ECOLOGY, EVOLUTION, AND SYSTEMATICS
ANNU. REV. ENTOMOL.	ANNUAL REVIEW OF ENTOMOLOGY
ANNU. REV. GENET.	ANNUAL REVIEW OF GENETICS
ANNU. REV. PHYTOPATHOL.	ANNUAL REVIEW OF PHYTOPATHOLOGY
ANNU. REV. PLANT BIOL.	ANNUAL REVIEW OF PLANT BIOLOGY
ANNU. REV. PLANT PHYSIOL.	ANNUAL REVIEW OF PLANT PHYSIOLOGY
ANNU. REV. PSYCHOL.	ANNUAL REVIEW OF PSYCHOLOGY
ANTHOS	ANTHOS
ANTIPODE	ANTIPODE
ANTIQUA	ANTIQUA
ANZ. SCHÄDL.KD. PFLANZENSCHUTZ UMWELTSCHUTZ	ANZEIGER FÜR SCHÄDLINGSKUNDE, PFLANZENSCHUTZ, UMWELTSCHUTZ
AOB PLANTS	AOB PLANTS
APIDOLOGIE	APIDOLOGIE
APPL. PLANT SCI.	APPLICATIONS IN PLANT SCIENCES
APPL. ENVIRON. MICROBIOL.	APPLIED AND ENVIRONMENTAL MICROBIOLOGY
APPL. ANIM. BEHAV. SCI.	APPLIED ANIMAL BEHAVIOUR SCIENCE
APPL. ECOL. ABSTR.	APPLIED ECOLOGY ABSTRACTS
APPL. ENERGY	APPLIED ENERGY
APPL. GEOCHEM.	APPLIED GEOCHEMISTRY
APPL. GEOGR. DEV.	APPLIED GEOGRAPHY AND DEVELOPMENT
APPL. GEOGR.	APPLIED GEOGRAPHY
APP.. MICROBIOL. BIOTECHNOL.	APPLIED MICROBIOLOGY AND BIOTECHNOLOGY
APPL. OPT.	APPLIED OPTICS
APPL. PHYS. LETT.	APPLIED PHYSICS LETTERS
APPL. PSYCHOL. INT. REV.	APPLIED PSYCHOLOGY: AN INTERNTIONAL REVIEW
APPL. RADIAT. ISOT.	APPLIED RADIATION AND ISOTOPES
APPL. SOIL ECOL.	APPLIED SOIL ECOLOGY
APPL. SPAT. ANAL. POLICY	APPLIED SPATIAL ANALYSIS AND POLICY
APPL. STAT.	APPLIED STATISTICS
APPL. VEG. SCI.	APPLIED VEGETATION SCIENCE
AQUAT. BOT.	AQUATIC BOTANY
AQUAT. CONSERV. MAR. FRESHW. ECOSYS.	AQUATIC CONSERVATION MARINE AND FRESHWATER ECOSYSTEMS
AQUAT. GEOCHEM.	AQUATIC GEOCHEMISTRY
AQUAT. SCI.	AQUATIC SCIENCES
ARACHNOL. MITT.	ARACHNOLOGISCHE MITTEILUNGEN
ARBORIC. J.	ARBORICULTURAL JOURNAL
ARCHÄOL. SCHWEIZ	ARCHÄOLOGIE DER SCHWEIZ
ARCHÄOL. MITT. NORDWESTDTSCHL.	ARCHÄOLOGISCHE MITTEILUNGEN AUS NORWESTDEUTSCHLAND
ARCHÉOL. NEUCHÂTEL.	ARCHÉOLOGIE NEUCHÂTELOISE
ARCHI	ARCHI
ARCH. ENVIRON. CONTAM. TOXICOL.	ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY
ARCH. FORSTWES.	ARCHIV FÜR FORSTWESEN
ARCH. FORSTWES. LANDSCHAFTSÖKOL.	ARCHIV FÜR FORSTWESEN UND LANDSCHAFTSÖKOLOGIE
ARCH. HYDROBIOL.	ARCHIV FÜR HYDROBIOLOGIE
ARCH. METEOROL. GEOPHYS. BIOKLIMATOL., SER. B	ARCHIV FÜR METEOROLOGIE, GEOPHYSIK UND BIOKLIMATOLOGIE, SERIE B
ARCH. NAT.SCHUTZ LANDSCH.FORSCH.	ARCHIV FÜR NATURSCHUTZ UND LANDSCHAFTSFORSCHUNG
ARCH. SOC. ZOOL. BOT. FENN. VANAMO	ARCHIVUM SOCIETATIS ZOOLOGICAE BOTANICAE FENNICAE VANAMO
ARCT., ANTARC., ALP. RES.	ARCTIC, ANTARCTIC, AND ALPINE RESEARCH
ARDEA	ARDEA
AREALSTAT. SCHWEIZ	AREALSTATISTIK DER SCHWEIZ
ASIAN J. CONSERV. BIOL.	ASIAN JOURNAL OF CONSERVATION BIOLOGY
ASP. APPL. BIOL.	ASPECTS OF APPLIED BIOLOGY
ATMOS. CHEM. PHYS.	ATMOSPHERIC CHEMISTRY AND PHYSICS
ATMOS. ENVIRON.	ATMOSPHERIC ENVIRONMENT
ATMOS. RES.	ATMOSPHERIC RESEARCH
ATMOS. SCI. LETT.	ATMOSPHERIC SCIENCE LETTERS
AUGSBG. ÖKOL. SCHR.	AUGSBURGER ÖKOLOGISCHE SCHRIFTEN
AUK	AUK
AUSTRALAS. PLANT PATHOL.	AUSTRALASIAN PLANT PATHOLOGY
AUSTRAL ECOL.	AUSTRAL ECOLOGY
AUST. GEOGR.	AUSTRALIA GEOGRAPHER
AUST. FOR. RES.	AUSTRALIAN FOREST RESEARCH
AUST. J. BOT.	AUSTRALIAN JOURNAL OF BOTANY
AUST. J. ECOL.	AUSTRALIAN JOURNAL OF ECOLOGY
AUST. J. MAR. FRESHW. RES.	AUSTRALIAN JOURNAL OF MARINE AND FRESHWATER RESEARCH
AUST. J. SOIL RES.	AUSTRALIAN JOURNAL OF SOIL RESEARCH
AUST. J. ENVIRON. EDUC.	AUSTRALIEN JOURNAL OF ENVIRONMENTAL EDUCATION
AUSTRIAN J. EARTH SCI.	AUSTRIAN JOURNAL OF EARTH SCIENCES
AUSTRIAN J. FOR. SCI.	AUSTRIAN JOURNAL OF FOREST SCIENCE
AVALANCHE J.	AVALANCHE JOURNAL
AVALANCHE REV.	AVALANCHE REVIEW
AVIC. MAG.	AVICULTURAL MAGAZINE
BADEN. NEUJAHRSBL.	BADENER NEUJAHRSBLÄTTER
BALT. FOR.	BALTIC FORESTRY
BASIC APPL. ECOL.	BASIC AND APPLIED ECOLOGY
BASL. BEITR. GEOGR.	BASLER BEITRÄGE ZUR GEOGRAPHIE
BASL. BEITR. GESCH.WISS.	BASLER BEITRÄGE ZUR GESCHICHTSWISSENSCHAFT
BAUHINIA	BAUHINIA
BAUTECH. NAT.GEFAHREN	BAUTECHNIK UND NATURGEFAHREN
BAYER. LANDWIRTSCH. JAHRB.	BAYERISCHES LANDWIRTSCHAFTLICHES JAHRBUCH
BEHAV. ECOL. SOCIOBIOL.	BEHAVIOURAL ECOLOGY AND SOCIOBIOLOGY
BEHAV. ECOL.	BEHAVIOURAL ECOLOGY
BEIH. BOT. CENT.BL.	BEIHEFTE ZUM BOTANISCHEN CENTRALBLATT
BEIH. ANN. SCHWEIZ. METEOROL. ANST.	BEIHEFT ZU DEN ANNALEN DER SCHWEIZERISCHEN METEOROLOGISCHEN ANSTALT
BEIH. Z. SCHWEIZ. FORSTVER.	BEIHEFT ZU DEN ZEITSCHRIFTEN DES SCHWEIZ. FORSTVEREINS
BEIH. JAHRB. SCHWEIZ. NAT.FORSCH. GES.	BEIHEFT ZUM JAHRBUCH DER SCHWEIZERISCHEN NATURFORSCHENDEN GESELLSCHAFT
BEIH. NOVA HEDWIGIA	BEIHEFT ZU NOVA HEDWIGIA
BEIH. SCHWEIZ. Z. FORST.WES.	BEIHEFT ZUR SCHWEIZERISCHEN ZEITSCHRIFT FÜR FORSTWESEN
BEIH. Z. MYKOL.	BEIHEFT ZUR ZEITSCHRIFT FÜR MYKOLOGIE
BEITR. FORSTWIRTSCH.	BEITRÄGE FÜR DIE FORSTWIRTSCHAFT
BEITR. FORSTWIRTSCH. LANDSCH.ÖKOL.	BEITRÄGE FÜR FORSTWIRTSCHAFT UND LANDSCHAFTSÖKOLOGIE
BEITR. NAT.SCHUTZ SCHWEIZ	BEITRÄGE ZUM NATURSCHUTZ IN DER SCHWEIZ
BEITR. AVIFAUNA RHEINL.	BEITRÄGE ZUR AVIFAUNA DES RHEINLANDES
BEITR. BIOL. PFLANZEN	BEITRÄGE ZUR BIOLOGIE DER PFLANZEN
BEITR. GEOBOT. LANDESAUFN. SCHWEIZ	BEITRÄGE ZUR GEOBOTANISCHEN LANDESAUFNAHME DER SCHWEIZ
BEITR. GEOL. SCHWEIZ: HYDROL.	BEITRÄGE ZUR GEOLOGIE DER SCHWEIZ: HYDROLOGIE
BEITR. HYDROL. SCHWEIZ	BEITRÄGE ZUR HYDROLOGIE DER SCHWEIZ
BEITR. JAGD- WILDFORSCH.	BEITRÄGE ZUR JAGD- UND WILDFORSCHUNG
BEITR. KRYPTOGAMENFLORA SCHWEIZ	BEITRÄGE ZUR KRYPTOGAMENFLORA DER SCHWEIZ
BEITR. NAT.KDL. FORSCH. SÜDWESTDTSCHL.	BEITRÄGE ZUR NATURKUNDLICHEN FORSCHUNG IN SÜDWESTDEUTSCHLAND
BELG. J. BOT.	BELGIAN JOURNAL OF BOTANY
BELG. J. ZOOL.	BELGIAN JOURNAL OF ZOOLOGY
BERGUNDSTEIGEN	BERGUNDSTEIGEN
BER. AKAD. NAT.SCHUTZ LANDSCH.PFL.	BERICHTE DER AKADEMIE FÜR NATURSCHUTZ UND LANDSCHAFTSPFLEGE
BER. BAYER. BOT. GES.	BERICHTE DER BAYERISCHEN BOTANISCHEN GESELLSCHAFT
BER. BAYER. LANDESANST. WALD FORSTWIRTSCH.	BERICHTE DER BAYERISCHEN LANDESANSTALT FÜR WALD UND FORSTWIRTSCHAFT
BER. BOT.-ZOOL. GES. LIECHT.-SARGANS-WERDENBERG	BERICHTE DER BOTANISCH-ZOOLOGISCHEN GESELLSCHAFT LIECHTENSTEIN- SARGANS-WERDENBERG
BER. DTSCH. BOT. GES.	BERICHTE DER DEUTSCHEN BOTANISCHEN GESELLSCHAFT
BER. EIDGENÖSS. FORSCH.ANST. WALD SCHNEE LANDSCH.	BERICHTE DER EIDG. FORSCHUNGSANSTALT FÜR WALD, SCHNEE UND LANDSCHAFT
BER. NAT.FORSCH. GES. FREIBG. I.B.	BERICHTE DER NATURFORSCHENDEN GESELLSCHAFT FREIBURG IM BREISGAU
BER. REINHOLD-TÜXEN-GES.	BERICHTE DER REINHOLD-TÜXEN-GESELLSCHAFT
BER. SCHWEIZ. BOT. GES.	BERICHTE DER SCHWEIZERISCHEN BOTANISCHEN GESELLSCHAFT
BER. SCHWYZERISCHE NAT.FORSCH. GES.	BERICHTE DER SCHWYZERISCHEN NATURFORSCHENDEN GESELLSCHAFT
BER. ST.GALL. NAT.WISS. GES.	BERICHTE DER ST. GALLISCHEN NATURWISSENSCHAFTLICHEN GESELLSCHAFT
BER. VERS.ANST. WASSERBAU HYDROL. GLAZIOL. EIDGENÖSS. TECH. HOCHSCH. ZÜR.	BERICHTE DER VERSUCHSANSTALT FÜR WASSERBAU, HYDROLOGIE UND GLAZIOLOGIE AN DER EIDG. TECHNISCHEN HOCHSCHULE ZÜRICH
BER. VOGELWARTE HIDDENSEE	BERICHTE DER VOGELWARTE HIDDENSEE
BER. BUNDESAMT WASSER GEOL.	BERICHTE DES BUNDESAMTES FÜR WASSER UND GEOLOGIE
BER. DTSCH. WETTERD.	BERICHTE DES DEUTSCHEN WETTERDIENSTES
BER. FORSCH.ZENT. WALDÖKOSYST.	BERICHTE DES FORSCHUNGSZENTRUMS WALDÖKOSYSTEME
BER. GEOBOT. INST. EIDGENÖSS. TECH. HOCHSCH., STIFT. RÜBEL	BERICHTE DES GEOBOTANISCHEN INSTITUTES DER EIDG. TECHNISCHEN HOCHSCHULE, STIFTUNG RÜBEL
BER. EIDGENÖSS. ANST. FORSTL. VERS.WES.	BERICHTE EIDG. ANSTALT FÜR DAS FORSTLICHE VERSUCHSWESEN
BER. FREIBG. FORSTL. FORSCH.	BERICHTE FREIBURGER FORSTLICHE FORSCHUNG
BER. VOGELSCHUTZ	BERICHTE ZUM VOGELSCHUTZ
BERN. WALD	BERNER WALD
BERN. Z. GESCH. HEIM.KD.	BERNER ZEITSCHRIFT FÜR GESCHICHTE UND HEIMATKUNDE
BERN. ZTG.	BERNER ZEITUNG
BIBLIOGR. SCI. NAT. HELV.	BIBLIOGRAPHIA SCIENTIAE NATURALIS HELVETICA
BIBL. BOT.	BIBLIOTHECA BOTANICA
BIBL. LICHENOL.	BIBLIOTHECA LICHENOLOGICA
BIBL. MYCOL.	BIBLIOTHECA MYCOLOGICA
BILANZ	BILANZ
BILD WISS.	BILD DER WISSENSCHAFT
BILDMESS. LUFTBILDWES.	BILDMESSUNG UND LUFTBILDWESEN
BI-MON. RES. NOTES	BI-MONTHLY RESEARCH NOTES
BIOCHEM. SYST. ECOL.	BIOCHEMICAL SYSTEMATICS AND ECOLOGY
BIOCONTROL	BIOCONTROL
BIOCONTROL SCI. TECHNOL.	BIOCONTROL SCIENCE AND TECHNOLOGY
BIODIVERS. CONSERV.	BIODIVERSITY AND CONSERVATION
BIODIVERS. ECOL.	BIODIVERSITY & ECOLOGY
BIODIVERS. LETT.	BIODIVERSITY LETTERS
BIOGEOCHEMISTRY	BIOGEOCHEMISTRY
BIOGEOSCI. DISCUSS.	BIOGEOSCIENCES DISCUSSIONS
BIOGEOSCIENCES	BIOGEOSCIENCES
BIOL. GALLO-HELLENICA	BIOLOGIA GALLO-HELLENICA
BIOL. PLANT.	BIOLOGIA PLANTARUM
BIOL. CONSERV.	BIOLOGICAL CONSERVATION
BIOL. CONTROL	BIOLOGICAL CONTROL
BIOL. INVASIONS	BIOLOGICAL INVASIONS
BIOL. J. LINN. SOC.	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY
BIOL. REV.	BIOLOGICAL REVIEWS
BIOL. TRACE ELEM. RES.	BIOLOGICAL TRACE ELEMENT RESEARCH
BIOL. RUNDSCH.	BIOLOGISCHE RUNDSCHAU
BIOL. ZENT.BL.	BIOLOGISCHES ZENTRALBLATT
BIOL. FERTIL. SOILS	BIOLOGY AND FERTILITY OF SOILS
BIOL. LETT.	BIOLOGY LETTERS
BIOMASS BIOENERGY	BIOMASS AND BIOENERGY
BIOM. J.	BIOMETRICAL JOURNAL
BIOMETRICS	BIOMETRICS
BIOM. INFORM. BIOL. MED.	BIOMETRIE UND INFORMATIK IN DER BIOLOGIE UND MEDIZIN
BIOMETRIKA	BIOMETRIKA
BIORESOUR. TECHNOL.	BIORESOURCE TECHNOLOGY
BIOSCIENCE	BIOSCIENCE
BIOTECHNOL. LETT.	BIOTECHNOLOGY LETTERS
BIOTROPICA	BIOTROPICA
BIRD STUD.	BIRD STUDY
BL. VER. PRO SIHLTAL	BLÄTTER DER VEREINIGUNG PRO SIHLTAL
BLAUE	BLAUE
BMC MOL. BIOL.	BMC MOLECULAR BIOLOGY
BNC PLANT BIOL.	BMC PLANT BIOLOGY
BMC PUBLIC HEALTH	BMC PUBLIC HEALTH
BODENKULTUR	BODENKULTUR
BOIS FOR. TROP.	BOIS ET FORÊTS DES TROPIQUES
BOLL. SOC. ITALIANA SCI. SUOLO	BOLLETINO DELLA SOCIETÀ ITALIANA DELLA SCIENZA DEL SUOLO
BOLL. SOC. TICIN. SCI. NAT.	BOLLETINO DELLA SOCIETÀ TICINESE DI SCIENZE NATURALI
BONN. GEOGR. ABH.	BONNER GEOGRAPHISCHE ABHANDLUNGEN
BONN. ZOOL. BEITR.	BONNER ZOOLOGISCHE BEITRÄGE
BOREAL ENVIRON. RES.	BOREAL ENVIRONMENT RESEARCH
BOREAS	BOREAS
BOT. ACTA	BOTANICA ACTA
