AIKeywords,CorrectedAIKeywords,CorAIKeywordsAcronym
"3,4 METHYLENEDIOXYETHYLAMPHETAMINE","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4- METHYLENEDIOXYMETHAMPHETAMINE","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-(METHYLENEDIOXY)METHYLAMPHETAMINE","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETAMPHETAMINE","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETHAMPHET AMINE","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETHAMPHETAMINE","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETHAMPHETAMINE (3,4-MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXY-METHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENE-DIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIXOYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
4-METHYLENEDIOXYMETHAMPHETAMINE,"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
MDMA,"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
METHYLENEDIOXAMPHETAMINE,"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
METHYLENEDIOXYAMPHETAMINE,"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
METHYLENEDIOXYAMPHETAMINES,"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETHYLAMPHETAMINE","3,4-METHYLENEDIOXYMETHYLAMPHETAMINE (MDMA, ECSTASY)","3,4-METHYLENEDIOXYMETHYLAMPHETAMINE (MDMA, ECSTASY)"
"3,4-METHYLENEDIOXYMETHYLAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXYMETHYLAMPHETAMINE (MDMA, ECSTASY)","3,4-METHYLENEDIOXYMETHYLAMPHETAMINE (MDMA, ECSTASY)"
"3,4-METHYLENEDIOXY-N-METHYL AMPHETAMINE","3,4-METHYLENEDIOXY-N-METHYLAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXY-N-METHYLAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXY-N-METHYLAMPHETAMINE","3,4-METHYLENEDIOXY-N-METHYLAMPHETAMINE (MDMA)","3,4-METHYLENEDIOXY-N-METHYLAMPHETAMINE (MDMA)"
4-METHYLTHIOAMPHETAM INE,4-METHYLTHIOAMPHETAMINE (4-MTA),4-METHYLTHIOAMPHETAMINE (4-MTA)
4-METHYLTHIOAMPHETAMINE,4-METHYLTHIOAMPHETAMINE (4-MTA),4-METHYLTHIOAMPHETAMINE (4-MTA)
4-MTA,4-METHYLTHIOAMPHETAMINE (4-MTA),4-METHYLTHIOAMPHETAMINE (4-MTA)
5-HT2A RECEPTORS,5-HT2A RECEPTOR,5-HT2A RECEPTOR
AB INITIO CALCULATIONS,AB INITIO CALCULATION,AB INITIO CALCULATION
ABLATION OF ORGANIC MATERIALS,ABLATION,ABLATION
"SPECTROSCOPY, ABSORPTION",ABSORPTION SPECTROSCOPY,ABSORPTION SPECTROSCOPY
ABUSE DRUG,ABUSED DRUG,ABUSED DRUG
ABUSED DRUGS,ABUSED DRUG,ABUSED DRUG
ABUSE DETERRENT,ABUSE-DETERRENT,ABUSE-DETERRENT
ABUSE DETERRENT FORMULATION,ABUSE-DETERRENT FORMULATION,ABUSE-DETERRENT FORMULATION
ABUSE-DETERRENT FORMULATIONS,ABUSE-DETERRENT FORMULATION,ABUSE-DETERRENT FORMULATION
ACCIDENTS,ACCIDENT,ACCIDENT
"ACCIDENTS, AVIATION",ACCIDENT,ACCIDENT
"ACCIDENTS, OCCUPATIONAL",ACCIDENT,ACCIDENT
"ACCIDENTS, TRAFFIC",ACCIDENT,ACCIDENT
COLLISION,ACCIDENT,ACCIDENT
CRASH,ACCIDENT,ACCIDENT
CRASHES,ACCIDENT,ACCIDENT
ACCIDENT PREVENTION - LEGISLATION,ACCIDENT PREVENTION,ACCIDENT PREVENTION
ACCIDENT PREVENTION - STANDARDS,ACCIDENT PREVENTION,ACCIDENT PREVENTION
ACCIDENT PREVENTION - TESTING,ACCIDENT PREVENTION,ACCIDENT PREVENTION
ACCIDENT PREVENTION--HUMAN FACTORS,ACCIDENT PREVENTION,ACCIDENT PREVENTION
ACCIDENT PREVENTION--INSTRUMENTS,ACCIDENT PREVENTION,ACCIDENT PREVENTION
ACCIDENT PREVENTION--STANDARDS,ACCIDENT PREVENTION,ACCIDENT PREVENTION
ACCURACY ASSESSMENT,ACCURACY,ACCURACY
ACCURACY ESTIMATION,ACCURACY,ACCURACY
ACCURATE ESTIMATION,ACCURACY,ACCURACY
ACCURATE MEASUREMENT,ACCURACY,ACCURACY
ACETAMINOPHEN,ACETAMINOPHEN (PARACETAMOL),ACETAMINOPHEN (PARACETAMOL)
ACETONITRILE,ACETIC ACID DERIVATIVE,ACETIC ACID DERIVATIVE
ACETYLENE,ACETIC ACID DERIVATIVE,ACETIC ACID DERIVATIVE
ACETONE SOLUTION,ACETONE,ACETONE
"MICROSCOPY, ACOUSTIC",ACOUSTIC MICROSCOPY,ACOUSTIC MICROSCOPY
ACRYLIC FIBER,ACRYLIC,ACRYLIC
ACRYLIC FIBERS,ACRYLIC,ACRYLIC
ACRYLIC POLYMERS,ACRYLIC,ACRYLIC
ACRYLICS,ACRYLIC,ACRYLIC
ACRYLOYLFENTANYL,ACRYLOYLFENTANYL (ACRYLFENTANYL),ACRYLOYLFENTANYL (ACRYLFENTANYL)
ACTIVATED CARBON CLOTH,ACTIVATED CARBON,ACTIVATED CARBON
ACTIVATED CARBONS,ACTIVATED CARBON,ACTIVATED CARBON
ACTIVATION ENERGIES (EA),ACTIVATION ENERGY,ACTIVATION ENERGY
ACTIVATION ENERGY (EA),ACTIVATION ENERGY,ACTIVATION ENERGY
ACTIVATION ENERGY DEPENDENCE,ACTIVATION ENERGY,ACTIVATION ENERGY
ACTIVATION ENERGY DISTRIBUTION,ACTIVATION ENERGY,ACTIVATION ENERGY
ACTIVATION ENERGY OF DESORPTIONS,ACTIVATION ENERGY,ACTIVATION ENERGY
ACTIVE PHARMACEUTICAL INGREDIENT,ACTIVE PHARMACEUTICAL INGREDIENT (API),ACTIVE PHARMACEUTICAL INGREDIENT (API)
ACTIVE PHARMACEUTICAL INGREDIENTS,ACTIVE PHARMACEUTICAL INGREDIENT (API),ACTIVE PHARMACEUTICAL INGREDIENT (API)
ADDICTION (ALCOHOL/DRUG),ADDICTION,ADDICTION
ADDICTIVE DISORDERS,ADDICTION,ADDICTION
ADDICTIVE DISORDERS AS AN INTEGRAL PART OF THE PRACTICE OF MEDICINE,ADDICTION,ADDICTION
DEPENDENCE,ADDICTION,ADDICTION
DRUG DEPENDENCE,ADDICTION,ADDICTION
ADDITIVES,ADDITIVE,ADDITIVE
ADHESIVE LIFTS,ADHESIVE LIFTER,ADHESIVE LIFTER
ADOLESCENCE,ADOLESCENT,ADOLESCENT
ADOLESCENTS,ADOLESCENT,ADOLESCENT
"ADOLESCENTS, MALE",ADOLESCENT,ADOLESCENT
TEEN,ADOLESCENT,ADOLESCENT
TEENAGERS,ADOLESCENT,ADOLESCENT
YOUNG ADULT,ADOLESCENT,ADOLESCENT
YOUNG ADULTHOOD,ADOLESCENT,ADOLESCENT
YOUNG ADULTS,ADOLESCENT,ADOLESCENT
YOUNG PEOPLE,ADOLESCENT,ADOLESCENT
YOUNGSTERS,ADOLESCENT,ADOLESCENT
YOUTH,ADOLESCENT,ADOLESCENT
ADSORBABILITIES,ADSORPTION,ADSORPTION
ADSORBANTS,ADSORPTION,ADSORPTION
ADSORBENT,ADSORPTION,ADSORPTION
ADSORPTION ABILITY,ADSORPTION,ADSORPTION
ADSORPTION ISOTHERMS,ADSORPTION ISOTHERM,ADSORPTION ISOTHERM
ADULT POPULATION,ADULT,ADULT
ADULTHOOD,ADULT,ADULT
ADULTS,ADULT,ADULT
AGED ADULTS,ADULT,ADULT
ADULTERANTS,ADULTERANT,ADULTERANT
AEROSOLS,AEROSOL,AEROSOL
VERY ELDERLY,"AGED, 80 AND OVER","AGED, 80 AND OVER"
AGING,AGEING,AGEING
AIRBAGS,AIRBAG,AIRBAG
AIRBORNE PARTICLES,AIRBORNE PARTICLE,AIRBORNE PARTICLE
ALCOHOLIC BEVERAGE,ALCOHOL,ALCOHOL
ALCOHOLS,ALCOHOL,ALCOHOL
ETHYL ALCOHOL,ALCOHOL,ALCOHOL
ETHYL-ALCOHOL,ALCOHOL,ALCOHOL
ALCOHOL CONSUMPTION,ALCOHOL DRINKING,ALCOHOL DRINKING
ALCOHOL INTAKE,ALCOHOL DRINKING,ALCOHOL DRINKING
DRINKING,ALCOHOL DRINKING,ALCOHOL DRINKING
ALCOHOL IMPAIRMENT,ALCOHOL INTOXICATION,ALCOHOL INTOXICATION
ALCOHOLIC INTOXICATION,ALCOHOL INTOXICATION,ALCOHOL INTOXICATION
ALCOHOLIC INTOXICATION/DIAGNOSIS,ALCOHOL INTOXICATION,ALCOHOL INTOXICATION
DRUNK,ALCOHOL INTOXICATION,ALCOHOL INTOXICATION
DRUNKENNESS,ALCOHOL INTOXICATION,ALCOHOL INTOXICATION
ALCOHOL ABUSE AND DEPENDENCE,ALCOHOLISM,ALCOHOLISM
ALCOHOL ADDICTION,ALCOHOLISM,ALCOHOLISM
ALCOHOL DEPENDENCE,ALCOHOLISM,ALCOHOLISM
ALCOHOL DEPENDENCES,ALCOHOLISM,ALCOHOLISM
ALCOHOL DEPENDENT,ALCOHOLISM,ALCOHOLISM
ALCOHOL USE DISORDER,ALCOHOLISM,ALCOHOLISM
ALCOHOL USE DISORDER (AUD),ALCOHOLISM,ALCOHOLISM
ALCOHOL USE DISORDERS,ALCOHOLISM,ALCOHOLISM
ALCOHOLICS,ALCOHOLISM,ALCOHOLISM
CHRONIC ALCOHOL ABUSE,ALCOHOLISM,ALCOHOLISM
CHRONIC ALCOHOL CONSUMPTION,ALCOHOLISM,ALCOHOLISM
ALGORITHMS,ALGORITHM,ALGORITHM
ALGORITHMS,ALGORITHM,ALGORITHM
ALIZARIN RED S,ALIZARIN RED S (ARS),ALIZARIN RED S (ARS)
ALKALOID BIOSYNTHESI,ALKALOID BIOSYNTHESIS,ALKALOID BIOSYNTHESIS
ALKALOID,ALKALOIDS,ALKALOIDS
ALKANES,ALKANE,ALKANE
ALLELES,ALLELE,ALLELE
ALLOYS,ALLOY,ALLOY
ALLYLATIONS,ALLYLATION,ALLYLATION
ALUMINIUM,ALUMINIUM (AL),ALUMINIUM (AL)
ALUMINUM,ALUMINIUM (AL),ALUMINIUM (AL)
ALUMINUM,ALUMINIUM (AL),ALUMINIUM (AL)
AMATOXINS,AMATOXIN,AMATOXIN
AMBIENTMASS SPECTROMETRY,AMBIENT MASS SPECTROMETRY,AMBIENT MASS SPECTROMETRY
AMEL,AMELOGENIN GENE,AMELOGENIN GENE
AMEL GENE,AMELOGENIN GENE,AMELOGENIN GENE
AMELOGENIN,AMELOGENIN GENE,AMELOGENIN GENE
AMELOGENIN GENE (AMEL),AMELOGENIN GENE,AMELOGENIN GENE
AMELOGENINE,AMELOGENIN GENE,AMELOGENIN GENE
AMELOGENINS,AMELOGENIN GENE,AMELOGENIN GENE
AMIDES,AMIDE,AMIDE
AMINES,AMINE,AMINE
AMINO ACID ANALYSIS,AMINO ACID,AMINO ACID
AMINO ACID COMPOSITION,AMINO ACID,AMINO ACID
AMINO ACID COMPOSITIONS,AMINO ACID,AMINO ACID
AMINO ACID DERIVATIVE,AMINO ACID,AMINO ACID
AMINO ACID METABOLISM,AMINO ACID,AMINO ACID
AMINO ACID SEQUENCE,AMINO ACID,AMINO ACID
"AMINO ACID, EXTRA- AND INTRACELLULAR",AMINO ACID,AMINO ACID
"AMINO ACID, RELEASE AND UPTAKE",AMINO ACID,AMINO ACID
AMINO ACIDS,AMINO ACID,AMINO ACID
AMINO ACIDS COMPOSITION,AMINO ACID,AMINO ACID
"AMINO ACIDS, AROMATIC",AMINO ACID,AMINO ACID
"AMINO ACIDS, BRANCHED-CHAIN",AMINO ACID,AMINO ACID
AMMONIUM NITRATES,AMMONIUM NITRATE,AMMONIUM NITRATE
AMMUNITIONS,AMMUNITION,AMMUNITION
AMPHETAMINE ANALOGS,AMPHETAMINE ANALOGUE,AMPHETAMINE ANALOGUE
AMPHETAMINE ANALOGUES,AMPHETAMINE ANALOGUE,AMPHETAMINE ANALOGUE
AMPHETAMINE,AMPHETAMINE AND DERIVATIVES,AMPHETAMINE AND DERIVATIVES
AMPHETAMINE (A),AMPHETAMINE AND DERIVATIVES,AMPHETAMINE AND DERIVATIVES
AMPHETAMINE (AM),AMPHETAMINE AND DERIVATIVES,AMPHETAMINE AND DERIVATIVES
AMPHETAMINE AND AMPHETAMINE DERIVATIVE,AMPHETAMINE AND DERIVATIVES,AMPHETAMINE AND DERIVATIVES
AMPHETAMINE DERIVATIVE,AMPHETAMINE AND DERIVATIVES,AMPHETAMINE AND DERIVATIVES
AMPHETAMINE DERIVATIVES,AMPHETAMINE AND DERIVATIVES,AMPHETAMINE AND DERIVATIVES
AMPHETAMINE HEXADEUTERATE,AMPHETAMINE AND DERIVATIVES,AMPHETAMINE AND DERIVATIVES
AMPHETAMINE STIMULANTS,AMPHETAMINE AND DERIVATIVES,AMPHETAMINE AND DERIVATIVES
AMPHETAMINES,AMPHETAMINE AND DERIVATIVES,AMPHETAMINE AND DERIVATIVES
AMPHETAMINES/METHAMPHETAMINES,AMPHETAMINE AND DERIVATIVES,AMPHETAMINE AND DERIVATIVES
AMPHETAMINE-TYPE STIMULANTS,AMPHETAMINE AND DERIVATIVES,AMPHETAMINE AND DERIVATIVES
AMPHETAMINE-TYPE STIMULANTS (ATS),AMPHETAMINE AND DERIVATIVES,AMPHETAMINE AND DERIVATIVES
AMPHETAMINE-TYPE STIMULANTS (ATSS),AMPHETAMINE AND DERIVATIVES,AMPHETAMINE AND DERIVATIVES
AMPHETAMINE-TYPE SUBSTANCES,AMPHETAMINE AND DERIVATIVES,AMPHETAMINE AND DERIVATIVES
AMPHETAMINE HYDROCLORIDE,AMPHETAMINE HYDROCHLORIDE,AMPHETAMINE HYDROCHLORIDE
AMPLICONS,AMPLICON,AMPLICON
ANABOLIC STEROID,ANABOLIC STEROIDS,ANABOLIC STEROIDS
ANALGESICS,ANALGESIC,ANALGESIC
ANALOG,ANALOGUE,ANALOGUE
ANALOGS,ANALOGUE,ANALOGUE
ANALOGUES,ANALOGUE,ANALOGUE
ANALYSES,ANALYSIS,ANALYSIS
ANALYSIS INTERPRETATION,ANALYSIS,ANALYSIS
ANALYTE,ANALYTES,ANALYTES
ANALYTICAL AND FORENSIC TOXICOLOGY,ANALYTES,ANALYTES
